Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Iaspire Care Services Limited,1302116,,,,29/05/2024,2200396233,"5,292.14",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Iaspire Care Services Limited,1302116,,,,28/06/2024,2200402640,"4,500.00",,Internal Fostering : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Iaspire Care Services Limited,1302116,,,,28/06/2024,2200402642,"5,121.43",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,18/04/2024,2200388543,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,17/05/2024,2200394126,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,17/05/2024,2200394128,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,30/05/2024,2200396524,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,11/06/2024,2200399039,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,11/06/2024,2200399040,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,20/06/2024,2200401028,662.93,,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Silver Birch Care Ltd ,1231126,,,,20/06/2024,2200401029,662.93,,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,11/04/2024,2200386993,630,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,T/A Lextox ,1234050,,,,10/05/2024,2200392785,575.84,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,New Court Chambers ,1253792,,,,20/05/2024,2200394520,850,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,New Court Chambers ,1253792,,,,20/05/2024,2200394521,700,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,New Court Chambers ,1253792,,,,10/06/2024,2200398874,700,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Carefirst Recruitment Ltd ,1233286,,,,19/06/2024,2200400953,528,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Carefirst Recruitment Ltd ,1233286,,,,26/06/2024,2200402120,726,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Compass Fostering London Ltd,1233641,,,,11/04/2024,2200386961,"3,658.00",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Compass Fostering London Ltd,1233641,,,,17/05/2024,2200394136,"3,540.00",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Compass Fostering London Ltd,1233641,,,,03/06/2024,2200397044,"3,658.00",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Her Majestys Prison and Probation Service,1230801,,,,26/04/2024,2200390308,"10,168.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Her Majestys Prison and Probation Service,1230801,,,,24/05/2024,2200395617,"9,870.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Her Majestys Prison and Probation Service,1230801,,,,27/06/2024,2200402374,"10,199.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Keys Education & Care Ltd,1258556,,,,20/05/2024,2200394443,"21,407.14",,Children's Homes with Education,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Keys Education & Care Ltd,1258556,,,,28/05/2024,2200395925,"22,120.71",,Children's Homes with Education,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Keys Education & Care Ltd,1258556,,,,26/06/2024,2200402174,"21,407.14",,Children's Homes with Education,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Redacted,1310258,,,,15/04/2024,3500047222,500,,Section 17 : Other,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Redacted,1310258,,,,28/05/2024,3500048343,750,,Internal Fostering : Other Allowances,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Solidarity Sports ,1235374,,,,19/04/2024,2200388882,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,07/05/2024,2200391752,"5,571.30",,Internal Fostering : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,07/05/2024,2200391753,"3,157.07",,Internal Fostering : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,17/05/2024,2200394132,"5,757.01",,Internal Fostering : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,17/06/2024,2200400401,"5,571.30",,Internal Fostering : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Redacted,1300236,,,,29/04/2024,3500047629,"1,712.00",,Adoption Allowances,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,24 Seven Companies Ltd,1260952,,,,10/06/2024,2200398712,"1,000.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,01/04/2024,2200387037,555,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,01/04/2024,2200387078,600,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,01/04/2024,2200387079,"1,700.00",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,01/04/2024,2200387937,945,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Redacted,1302005,,,,09/04/2024,3500047029,690.27,,Section 17 : NRPF Allowance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,County Private Client LTD,1258777,,,,16/04/2024,2200387835,"2,015.00",,Section 17 : NRPF Allowance,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Field Court Chambers ,1252497,,,,03/06/2024,2200397158,500,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Family and Care Resources,,Cupaz ,1233737,,,,13/05/2024,2200393215,"1,026.60",,Furniture,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Family and Care Resources,,Posturite (Uk) Ltd ,1235186,,,,12/06/2024,2200399566,"1,772.10",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Family and Care Resources,,Thames Water Utilities Ltd ,1235478,,,,01/05/2024,2200391000,621.94,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Compass Fostering London Ltd,1233641,,,,21/05/2024,2200394765,"2,459.94",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Greater London Fostering Ltd ,1234670,,,,13/05/2024,2200392937,"3,942.68",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Greater London Fostering Ltd ,1234670,,,,03/06/2024,2200397065,"4,074.11",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Hestia Housing & Support ,1230406,,,,28/05/2024,2200396030,"3,661.00",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,NEXUS FOSTERING LIMITED,1321989,,,,18/06/2024,2200400604,"3,968.10",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,National Fostering Agency,1230738,,,,13/05/2024,2200392899,"3,953.10",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,National Fostering Agency,1230738,,,,03/06/2024,2200397118,"4,084.87",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Redacted,1231500,,,,08/04/2024,3110638537,"1,870.01",,Other Allowances,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Redacted,1231682,,,,08/04/2024,3110638554,941.91,,Other Allowances,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,PERSONAL PAYMENTS,1291402,,,,08/04/2024,3110638645,814.38,,Other Allowances,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389192,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389197,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389201,"3,964.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389204,"3,852.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389224,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389229,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389231,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389233,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389234,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389241,"3,596.00",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,22/04/2024,2200389243,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,13/05/2024,2200392886,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394775,"3,764.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394777,"3,764.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394778,"3,764.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394780,607.14,,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394781,"4,096.43",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394782,"3,764.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394791,"3,981.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394792,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394804,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,21/05/2024,2200394806,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,28/05/2024,2200396058,"3,981.28",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,13/06/2024,2200399758,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400571,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400572,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400573,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400575,"3,642.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400576,"3,852.86",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400577,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400578,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400580,"3,852.85",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Silver Birch Care Ltd ,1231126,,,,18/06/2024,2200400587,"3,964.29",,Semi Independent : Placements,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Sunbeam Fostering Agency ,1235444,,,,13/05/2024,2200393193,"1,549.22",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Sunbeam Fostering Agency ,1235444,,,,13/05/2024,2200393194,"3,575.14",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,"UASC, Asylum LC and NRPF",,Sunbeam Fostering Agency ,1235444,,,,03/06/2024,2200397116,"1,906.73",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,City Of Westminster ,1231771,,,,02/04/2024,2200384686,"55,086.17",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Working Transitions Ltd,1320884,,,,03/04/2024,2200384917,"6,000.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Anchor Tutors ,1232394,,,,27/06/2024,2200402387,600,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Ark Burlington Danes Academy,1236057,,,,17/04/2024,2200388191,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Ark Burlington Danes Academy,1236057,,,,17/04/2024,2200388192,"1,000.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Book Trust ,1232948,,,,12/06/2024,2200399397,"2,743.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Book Trust ,1232948,,,,12/06/2024,2200399399,"1,007.50",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Book Trust ,1232948,,,,12/06/2024,2200399400,930.02,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Chelsea Academy ,1232792,,,,17/04/2024,2200388112,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Chelsea Academy ,1232792,,,,17/04/2024,2200388112,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,City Of Westminster ,1231771,,,,02/04/2024,2200384686,"9,009.74",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Earnest Tutors Ltd,1264726,,,,14/05/2024,2200393288,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Shaftesbury High School,1300014,,,,23/05/2024,2200395233,"1,365.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,St Mary's CE Primary School,1321863,,,,02/04/2024,2200384503,915,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,The Fulham Boys School ,1255777,,,,12/04/2024,2200387064,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,"	Queen Charlotte Education Special Trust",1278550,,,,19/04/2024,2200388812,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,"	Queen Charlotte Education Special Trust",1278550,,,,19/04/2024,2200388812,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,"	Queen Charlotte Education Special Trust",1278550,,,,19/04/2024,2200388813,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,"	Queen Charlotte Education Special Trust",1278550,,,,19/04/2024,2200388813,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Welfare Call (Looked After,1235643,,,,21/06/2024,2200401314,"7,500.00",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Education,Virtual School,,Woodlane High School,1255431,,,,18/04/2024,2200388443,500,,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Carefirst Recruitment Ltd ,1233286,,,,29/05/2024,2200396255,552,,Additional Support,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Kasper Ltd,1324267,,,,30/05/2024,2200396532,"3,304.64",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Kasper Ltd,1324267,,,,06/06/2024,2200398053,"4,310.40",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Lotus Foster Care Ltd,1304159,,,,01/05/2024,2200391210,"2,603.70",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Lotus Foster Care Ltd,1304159,,,,03/06/2024,2200397103,"2,690.49",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,National Fostering Agency,1230738,,,,11/06/2024,2200399164,666,,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,Redhill Baptiste Church Pre-School,1324244,,,,06/06/2024,2200398050,510,,Additional Support,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,16/04/2024,2200387789,"5,571.30",,Children's Homes,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,15/05/2024,2200393627,"5,757.01",,Children's Homes,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St.Christophers Fellowship (Putney High Street),1231556,,,,17/06/2024,2200400469,"5,571.30",,Children's Homes,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,4 Brick Court Chambers ,1232080,,,,01/04/2024,2200386983,"6,714.50",,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,C Moxon Ltd ,1233034,,,,25/04/2024,2200390132,650,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Social Work for Families,,St Cuthbert St Matthias Ce Primary Sch.,1232832,,,,24/04/2024,2200389690,"1,235.00",,Section 17 : Other,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Operations and Programmes,Short Breaks & Resources,,City Of Westminster ,1231771,,,,02/04/2024,2200384685,"6,957.31",,Creditors Control : AP GRIR,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,4 Brick Court Chambers ,1232080,,,,10/05/2024,2200392786,867,,Legal Costs,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Acorn Care & Education Ltd ,1232308,,,,22/05/2024,2200395024,"83,333.33",,Placement Fee,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Apex Fostering Limited,1322463,,,,20/05/2024,2200394474,"5,010.00",,Fostering Agency : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Apex Fostering Limited,1322463,,,,20/05/2024,2200394488,"6,357.86",,Fostering Agency : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Apex Fostering Limited,1322463,,,,20/05/2024,2200394489,"6,569.79",,Fostering Agency : Fees,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Blandford House UK Ltd,1319298,,,,22/05/2024,2200395036,"35,892.86",,Children's Homes,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Blandford House UK Ltd,1319298,,,,18/06/2024,2200400569,"37,089.29",,Children's Homes,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Integrated Services Programme,1230478,,,,30/04/2024,2200390797,"6,587.14",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Integrated Services Programme,1230478,,,,13/05/2024,2200393183,"6,806.71",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Integrated Services Programme,1230478,,,,24/06/2024,2200401707,"6,587.14",,Independent Fostering Agencies,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,Linden Lodge School ,1232810,,,,24/06/2024,2200401695,"38,472.00",,Short Breaks Care Packages,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Family Services,Children With Disabilities,,London Borough Of Hounslow ,1231811,,,,08/05/2024,2200392064,"7,200.00",,Residential Children's Homes : Respite,,,,,,No
