Directorate,Service,Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594360,07/01/2025,28/01/2025,"1,785.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594361,07/01/2025,28/01/2025,"3,254.91",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594362,07/01/2025,28/01/2025,"13,584.89",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594363,07/01/2025,28/01/2025,"2,820.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594367,07/01/2025,28/01/2025,"3,810.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594370,07/01/2025,28/01/2025,"3,690.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55594372,07/01/2025,28/01/2025,"2,625.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,BEACHCROFT LLP,55592937,08/01/2025,09/01/2025,800,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165774,21/01/2025,21/01/2025,"13,584.89",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165775,21/01/2025,21/01/2025,"2,820.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165772,21/01/2025,21/01/2025,"1,785.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165773,21/01/2025,21/01/2025,"3,254.91",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165776,21/01/2025,21/01/2025,"3,810.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165777,21/01/2025,21/01/2025,"3,690.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,11165778,21/01/2025,21/01/2025,"2,625.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55593760,15/01/2025,17/01/2025,"1,305.00",General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,MAIDENDALE NURSERY,55594119,20/01/2025,22/01/2025,"1,178.80",General Credits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PUBLIC SECTOR LIVE,55592048,16/12/2024,07/01/2025,"1,000.00",Brokerage - Long Term Loans,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PUBLIC SECTOR LIVE,55592048,16/12/2024,07/01/2025,"6,250.00",Brokerage - Long Term Loans,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55593030,11/12/2024,14/01/2025,532,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55593707,11/12/2024,17/01/2025,"20,991.33",General Debits,NON-BUDGETED,NON BUDGETED
CHILDREN'S SERVICES,EDUCATION,HARROWGATE HILL PRIMARY,55594126,20/01/2025,22/01/2025,"2,700.00","Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction
ECONOMIC GROWTH,Corporate Landlord,BGP CONSULTING LIMITED,55593940,31/12/2024,28/01/2025,"2,850.00",Consultants - Other,Capital Expenditure,Capital Fees
