Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ROBBIE GRATTON,79518,07/11/2024,8207774,845.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,26/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,STAINSBY SCHOOL OF GYMNASTICS,61119,07/11/2024,8207775,630.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,28/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,JENNIFER BARRON,78311,07/11/2024,8207776,630.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,31/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DANCEFUZION,49141,07/11/2024,8207777,540.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,04/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,07/11/2024,8207780,3210.50,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,04/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,13/11/2024,8207903,1200.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,28/10/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,13/11/2024,8207905,2100.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,01/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,SPORT AND ACTIVITY SERVICES LTD,77122,15/11/2024,8208008,1119.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,05/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,STONE TECHNOLOGIES LTD,35619,20/11/2024,8208141,1860.96,271200,Information Communication Technology,Hardware,Not Classified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,11/11/2024,0,0,2024,202408,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DURHAM UNIVERSITY,33280,21/11/2024,8208143,680.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,14/11/2024,0,0,2024,202408,SBC,
