Transaction Date,Cost Centre,Cost Centre (T),Merchant Name,Gross Amount,Account,Account (T),MCC,MCC Description
02/04/2024,LB18,Libraries-Maidenhead,Sainsburys.Co.Uk,184.34,J47,Events & Activities,5411,Grocery Stores and Supermarkets
02/04/2024,LF10,Sustainability and Climate Strategy,Sainsburys Smkts,97.00,J46,Other Expenses,5411,Grocery Stores and Supermarkets
03/04/2024,AK81,Postage - Rechargeable,Stationeryu,"1,222.38",H70,Postage,5943,"Office, School Supply, and Stationery Stores"
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,545.00,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
03/04/2024,MB01,Centralised Stationery,Amazon* 204-1590402-04,17.80,H45,Stationery,5399,Miscellaneous General Merchandise
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,206.95,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,206.95,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,206.95,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
03/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,315.00,H16,Furniture,5311,Department Stores
04/04/2024,LR10,Braywick Nature Centre,Amazon* 204-0630922-47,64.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
04/04/2024,PQ41,Burial of the Dead,Clr*www.Rbwm.Gov.Uk,11.00,J46,Other Expenses,9399,Government Services
04/04/2024,MB01,Centralised Stationery,The Works,10.00,H45,Stationery,5310,Discount Stores
05/04/2024,MJ20,Civic & Mayoral Costs,Ringgo Parking,3.40,G11,Vehicle Supplies,7523,Automobile Parking Lots and Garages
08/04/2024,MB01,Centralised Stationery,Stationeryu,253.94,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
08/04/2024,LB18,Libraries-Maidenhead,Lockstation,316.27,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
08/04/2024,LB18,Libraries-Maidenhead,Security Industry Auth,184.00,J46,Other Expenses,9399,Government Services
08/04/2024,LB18,Libraries-Maidenhead,Amazon* 206-3243374-73,5.98,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
08/04/2024,LT80,Guildhall-Meetings & Events,Windsor And Eton Brewery,26.36,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
08/04/2024,LB18,Libraries-Maidenhead,Amazon* 206-1440765-27,6.00,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
08/04/2024,LT80,Guildhall-Meetings & Events,Windsor And Eton Brewery,129.60,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
09/04/2024,MJ49,Elections-Police & Crime,Booker Ltd - 38603524,56.96,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
09/04/2024,MJ49,Elections-Police & Crime,Booker Ltd - 38603524,30.79,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
09/04/2024,LT80,Guildhall-Meetings & Events,Booker Ltd - 38603524,84.55,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
10/04/2024,MB01,Centralised Stationery,Stationeryu,72.20,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
10/04/2024,MT49,Community Warden Scheme,Sp Patrolstore,71.98,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
10/04/2024,CD97,Cycling Action,Crowd Control Company,118.80,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
10/04/2024,LE10,Economic Development,Facebk Nxaug2gvp2,50.00,J46,Other Expenses,7311,Advertising Services
10/04/2024,EC26,"Information, Advice and Support Service",Eig*constantcontact.Com,21.60,H80,Communication,5968,Direct Marketing Continuity Subscription Merchants
10/04/2024,MK20,Hackney Carriage Licences,Amazon* 204-4584457-16,41.69,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
11/04/2024,LB18,Libraries-Maidenhead,Sainsburys.Co.Uk,229.38,J47,Events & Activities,5411,Grocery Stores and Supermarkets
12/04/2024,LB18,Libraries-Maidenhead,Homebase Ltd,15.00,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
12/04/2024,LB18,Libraries-Maidenhead,B & Q 1262,16.32,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
12/04/2024,LF10,Sustainability and Climate Strategy,My.Morrisons.Com,20.00,J46,Other Expenses,5411,Grocery Stores and Supermarkets
12/04/2024,SVHM,Homelessness,Royal Courts Of Justice,275.00,J46,Other Expenses,9222,Fines
12/04/2024,LF10,Sustainability and Climate Strategy,Marks&spencer Plc,33.00,J46,Other Expenses,5411,Grocery Stores and Supermarkets
12/04/2024,LF10,Sustainability and Climate Strategy,Marks&spencer Plc,152.00,J46,Other Expenses,5411,Grocery Stores and Supermarkets
14/04/2024,ML15,Public Relations,Eig*constantcontact.Com,196.00,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
15/04/2024,MB01,Centralised Stationery,Stationeryu,214.58,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
15/04/2024,MJ49,Elections-Police & Crime,Booker Ltd - 38603524,47.98,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
15/04/2024,NA11,Town Hall- Operations,Booker Ltd - 38603524,107.93,H10,Equipment Purchase,5411,Grocery Stores and Supermarkets
15/04/2024,LB18,Libraries-Maidenhead,Amazon* 204-0398808-24,35.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
16/04/2024,LR10,Braywick Nature Centre,Amazon* 204-7164826-26,89.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
16/04/2024,LR10,Braywick Nature Centre,Amazon* 204-7164826-26,31.99,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
16/04/2024,LF10,Sustainability and Climate Strategy,Wm Morrisons Store,30.74,J46,Other Expenses,5411,Grocery Stores and Supermarkets
16/04/2024,SVHM,Homelessness,Royal Courts Of Justice,275.00,J46,Other Expenses,9222,Fines
16/04/2024,MA69,Facilities Management,Premier Inn,129.00,J46,Other Expenses,3811,Premier Inn
17/04/2024,EC26,"Information, Advice and Support Service",Sainsburys S/mkts,3.13,H35,Refreshments,5411,Grocery Stores and Supermarkets
18/04/2024,SFRG,Social Fund Reform Grant,Www.Argos.Co.Uk,-200.00,H16,Furniture,5311,Department Stores
18/04/2024,LR10,Braywick Nature Centre,Homebase Ltd,53.00,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
19/04/2024,MJ49,Elections-Police & Crime,A1 Loo Hire Ltd,120.00,J46,Other Expenses,7394,Equipment Rental and Leasing Services
19/04/2024,MT10,Legal Services,Combined Court,275.00,J46,Other Expenses,9222,Fines
19/04/2024,CD97,Cycling Action,Hermeq,938.99,Q04,Purchase of Equipment (P & R) (Capital Only),5200,Home Supply Warehouse Stores
19/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
19/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
19/04/2024,LB18,Libraries-Maidenhead,Amazon Prime*hd9pt60t4,8.99,J46,Other Expenses,5968,Direct Marketing Continuity Subscription Merchants
19/04/2024,MJ49,Elections-Police & Crime,A1 Loo Hire Ltd,120.00,J46,Other Expenses,7394,Equipment Rental and Leasing Services
20/04/2024,LR10,Braywick Nature Centre,Vmo*vimeo Plus+ Monthl,9.54,J44,Marketing/Promotions,5968,Direct Marketing Continuity Subscription Merchants
22/04/2024,MT49,Community Warden Scheme,Amazon* 204-5206493-73,17.97,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
22/04/2024,MT49,Community Warden Scheme,Amazon* 204-4808062-81,33.03,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
22/04/2024,HE01,"MD/Strategic Director A,C & H",Amznmktplace*hd4fb7714,8.99,H45,Stationery,5999,Miscellaneous and Specialty Retail Stores
23/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/04/2024,LB82,S E Library Management,Se Online Web,48.50,G40,Staff Public Transport,4112,Passenger Railways
23/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
23/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,3.00,J46,Other Expenses,9399,Government Services
23/04/2024,MB01,Centralised Stationery,Amazon.Co.Uk*hd8cz2934,21.94,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
24/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
24/04/2024,MA51,Democratic Services,Zoom.Us 888-799-9666,116.94,H92,Software,4814,Telecommunication Services
24/04/2024,LB18,Libraries-Maidenhead,Amznmktplace*h55yk1f54,52.38,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
24/04/2024,EC26,"Information, Advice and Support Service",Amazon* 204-0667289-48,20.06,H45,Stationery,5399,Miscellaneous General Merchandise
24/04/2024,LB82,S E Library Management,Se Strood Sst,61.80,G40,Staff Public Transport,4112,Passenger Railways
24/04/2024,MJ20,Civic & Mayoral Costs,Newton Newton Flag & Bann,57.60,J46,Other Expenses,5999,Miscellaneous and Specialty Retail Stores
24/04/2024,EC26,"Information, Advice and Support Service",Amazon* 204-5732128-69,23.88,H45,Stationery,5399,Miscellaneous General Merchandise
25/04/2024,LB80,Libraries-Replacement System,Contstant Contact,171.00,H80,Communication,5968,Direct Marketing Continuity Subscription Merchants
25/04/2024,LB18,Libraries-Maidenhead,Amazon Prime*h50ow1n14,95.00,J46,Other Expenses,5968,Direct Marketing Continuity Subscription Merchants
25/04/2024,MT10,Legal Services,Eb *cornerstone Climat,27.10,J46,Other Expenses,7399,Other Business Services
25/04/2024,MA51,Democratic Services,Amazon.Co.Uk*h569d8tz4,17.34,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
25/04/2024,MJ20,Civic & Mayoral Costs,Powerbell Services Limite,600.83,G10,Vehicle Servicing & Repairs,7538,Automotive Service Shops
28/04/2024,MJ20,Civic & Mayoral Costs,Waitrose 177,102.48,J46,Other Expenses,5411,Grocery Stores and Supermarkets
28/04/2024,MJ20,Civic & Mayoral Costs,Waitrose 177,-102.48,J46,Other Expenses,5411,Grocery Stores and Supermarkets
28/04/2024,MJ20,Civic & Mayoral Costs,Waitrose 177,102.48,J46,Other Expenses,5411,Grocery Stores and Supermarkets
28/04/2024,MJ20,Civic & Mayoral Costs,Laithwaites,501.12,J46,Other Expenses,5921,"Package Stores, Beer, Wine, Liquor"
29/04/2024,LB18,Libraries-Maidenhead,Clr*www.Rbwm.Gov.Uk,21.00,J47,Events & Activities,9399,Government Services
29/04/2024,LB18,Libraries-Maidenhead,Amazon* 204-1569105-10,142.45,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
29/04/2024,LT80,Guildhall-Meetings & Events,Booker Ltd - 38603524,136.25,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
30/04/2024,MT49,Community Warden Scheme,Amazon* 202-3309081-65,29.73,H10,Equipment Purchase,5399,Miscellaneous General Merchandise
30/04/2024,MB06,Planning Enforcement,Land Registry Ecom Ccc,6.00,J46,Other Expenses,9399,Government Services
30/04/2024,MT49,Community Warden Scheme,Amazon.Co.Uk*h513t9yz4,69.00,H10,Equipment Purchase,5969,Other Direct Marketing-Other Direct Marketers
30/04/2024,LE10,Economic Development,Facebk*,2.47,J46,Other Expenses,7311,Advertising Services
01/05/2024,NA11,Town Hall- Operations,Homebase Ltd,11.05,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
01/05/2024,MJ49,Elections-Police & Crime,Waitrose 190,7.40,H30,Catering (taxable benefit),5411,Grocery Stores and Supermarkets
01/05/2024,LT80,Guildhall-Meetings & Events,Laithwaites,79.98,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
01/05/2024,NA11,Town Hall- Operations,Homebase Ltd,14.83,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
