Transaction Date,Cost Centre,Cost Centre (T),Merchant Name, Gross Amount ,Account,Account (T),MCC,MCC Description
03/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
03/04/2023,MJ20,Civic & Mayoral Costs,Ascot Cars, 40.00 ,G40,Staff Public Transport,4121,Taxi Services
03/04/2023,MJ20,Civic & Mayoral Costs,Ascot Cars, 40.00 ,G40,Staff Public Transport,4121,Taxi Services
03/04/2023,LB18,Libraries-Maidenhead,Sp Caratech, 149.97 ,H10,Equipment Purchase,5085,Other Industrial Supplies
04/04/2023,LR10,Braywick Nature Centre,Www.Screwfix.Com, 17.99 ,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
04/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 24.75 ,H70,Postage,9402,Postal Services - Government Only
04/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 94.24 ,H70,Postage,9402,Postal Services - Government Only
06/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 18.95 ,H70,Postage,9402,Postal Services - Government Only
06/04/2023,MA74,Digital Printing IGEN,Sp Springboard, 158.26 ,H22,Materials,5691,Mens and Womens Clothing Stores
06/04/2023,MT10,Legal Services,Www.Barprofessionaltra, 426.00 ,J60,Professional Fees,8111,"Attorneys, Legal Services"
07/04/2023,MJ20,Civic & Mayoral Costs,Ascot Cars, 35.00 ,G40,Staff Public Transport,4121,Taxi Services
07/04/2023,MJ20,Civic & Mayoral Costs,Ascot Cars, 50.00 ,G40,Staff Public Transport,4121,Taxi Services
10/04/2023,EC26,"Information, Advice and Support Service",Eig*constantcontact.Com, 18.00 ,J11,Corporate Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
11/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
11/04/2023,LR10,Braywick Nature Centre,Www.Screwfix.Com, 11.79 ,J46,Other Expenses,5211,Lumber & Building Materials Stores
11/04/2023,LR10,Braywick Nature Centre,Wp-Pakatak Ltd, 12.00 ,H10,Equipment Purchase,5732,Electronic Sales
12/04/2023,MH41,L & RS F2F Libraries,B & Q 1262, 37.28 ,H10,Equipment Purchase,5200,Home Supply Warehouse Stores
12/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 44.39 ,H70,Postage,9402,Postal Services - Government Only
12/04/2023,LR10,Braywick Nature Centre,Amznmktplace, 44.95 ,H10,Equipment Purchase,5999,Miscellaneous and Specialty Retail Stores
12/04/2023,MJ20,Civic & Mayoral Costs,Beaconsfield Sstp, 45.90 ,G40,Staff Public Transport,4112,Passenger Railways
13/04/2023,MJ40,Elections -District,Wh Smith Maidenhead, 14.99 ,H10,Equipment Purchase,5994,News Dealers and Newsstands
13/04/2023,LR10,Braywick Nature Centre,Toolstation Uk, 49.98 ,H10,Equipment Purchase,5251,Hardware Stores
13/04/2023,LR10,Braywick Nature Centre,Travis Perkins, 96.38 ,J46,Other Expenses,5211,Lumber & Building Materials Stores
14/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
14/04/2023,LR10,Braywick Nature Centre,Www.Screwfix.Com, 26.29 ,H10,Equipment Purchase,5211,Lumber & Building Materials Stores
14/04/2023,AK81,Postage - Rechargeable,Post Office Self Serve, 38.10 ,H70,Postage,9402,Postal Services - Government Only
14/04/2023,ML15,Public Relations,Contstant Contact, 169.00 ,A77,Professional Subscriptions,5968,Direct Marketing Continuity Subscription Merchants
17/04/2023,LB18,Libraries-Maidenhead,Amazon Music*d91yf4bx5, 8.99 ,H80,Communication,5735,Record Shops
17/04/2023,SVHM,Homelessness,Travelodge Gb0000, 78.52 ,K77,Client Temporary Accommodation,3615,Travelodge
17/04/2023,PG46,Parking Permits and Vouchers,Sp Herman Miller Uk," 1,180.80 ",H10,Equipment Purchase,5712,"Equipment, Furniture, and Home Furnishings Stores "
18/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 47.09 ,H70,Postage,9402,Postal Services - Government Only
18/04/2023,AJ22,S E Library Management System,Se Online Web, 71.10 ,G40,Staff Public Transport,4112,Passenger Railways
18/04/2023,MJ40,Elections -District,Www.Ukwristbands.Com, 115.34 ,H10,Equipment Purchase,5699,Miscellaneous Accessory and Apparel Stores
18/04/2023,MA42,Business Development,Www.Groupon.Co.Uk, 339.00 ,H46,Books & Publications,7278,"Shopping Clubs, Services"
18/04/2023,SVRT,Disabled Facilites Grant (Revenue),Hurley Riverside P, 550.00 ,F61,Service Charges,7033,Campgrounds and Trailer Parks
18/04/2023,MA74,Digital Printing IGEN,Stationeryu," 1,391.44 ",H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
19/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 11.65 ,H70,Postage,9402,Postal Services - Government Only
19/04/2023,AJ22,S E Library Management System,Se Trains Onboard, 12.80 ,G40,Staff Public Transport,4112,Passenger Railways
19/04/2023,LR10,Braywick Nature Centre,E Pardoe & Son, 39.50 ,J46,Other Expenses,7251,"Hat Cleaning Shops, Shoe Repair Shops, Shoe Shine "
19/04/2023,LT80,Guildhall-Meetings & Events,Marks&spencer Plc, 60.60 ,H31,Catering (non-taxable benefit),5411,Grocery Stores and Supermarkets
19/04/2023,MC36,Pensions Administration,Gwr Maidenhead To, 87.80 ,G39,Client Public Transport,4112,Passenger Railways
19/04/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine, 100.00 ,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
19/04/2023,MJ40,Elections -District,Www.Nisbets.Com, 125.80 ,H31,Catering (non-taxable benefit),5964,Direct Marketing Catalog Merchants
19/04/2023,MB01,Centralised Stationery,Stationeryu, 205.57 ,H45,Stationery,5943,"Office, School Supply, and Stationery Stores"
19/04/2023,LT80,Guildhall-Meetings & Events,Laithwaites Wine, 840.20 ,H30,Catering (taxable benefit),5921,"Package Stores, Beer, Wine, Liquor"
20/04/2023,EC26,"Information, Advice and Support Service",Sainsburys S/mkts, 1.55 ,H35,Refreshments,5411,Grocery Stores and Supermarkets
20/04/2023,HE01,"MD/Strategic Director A,C & H",Amznmktplace, 27.98 ,H94,IT Consumables,5999,Miscellaneous and Specialty Retail Stores
20/04/2023,LR10,Braywick Nature Centre,Homebase Ltd, 40.00 ,J46,Other Expenses,5200,Home Supply Warehouse Stores
21/04/2023,MB30,Planning Development Control,Land Registry Ecom Ccc, 6.00 ,J46,Other Expenses,9399,Government Services
21/04/2023,AK81,Postage - Rechargeable,Post Office Counter, 36.00 ,H70,Postage,9402,Postal Services - Government Only
21/04/2023,LB18,Libraries-Maidenhead,Ebay O*16-09966-19810, 51.99 ,H10,Equipment Purchase,5311,Department Stores
21/04/2023,LB03,Libraries-Service Promotion,Ebay O*26-09961-96769, 55.80 ,J47,Events & Activities,5311,Department Stores
