Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,1453.14,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,1453.14,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45077.440406828704,673.54,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,519.22,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,915.56,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,537.17,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,888.8,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,975.74,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,975.74,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,519.22,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,551.02,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45061.47304733796,693.5,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,519.22,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,915.56,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,888.8,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,519.22,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,528.24,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,642.86,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,734.7,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45077.440406828704,2422.8,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45077.440406828704,726.84,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45077.440406828704,513.19,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45049.40149447916,530.47,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,581.04,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,606.24,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,1086.24,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45056.422727743055,866.16,Redacted
Adult Social Care,Transfer Payment,Adult Placement Allowances,45068.64802947917,866.16,Redacted
Adult Social Care,Employees,Agency & Temporary Staff,45055.61553545139,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45065.65035413195,1500,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45069.55321770834,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45050.52519552084,1298,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45050.52519552084,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45077.647966666664,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45077.650569791665,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45077.66909618056,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45077.67138105324,1328,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45050.62917299769,1355.13,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45064.59916574074,1155.6,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45071.65048880787,1482.66,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45077.532512881946,1125,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45055.53666369213,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45055.539141319445,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45055.66409452546,1740,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45061.594777280094,830.72,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45061.633886724536,1400,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45061.650413344905,1020,T.C. SOCIAL WORK SOLUTIONS
