Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45168.75368275463,402500,Royal Borough of Windsor & Maidenhead
Adult Social Care,Employees,Agency & Temporary Staff,45139.499639201385,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45145.60783318287,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45152.70822357639,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45160.54446145833,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45168.4471059375,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45139.416399849535,1721.25,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45142.67328538194,1440,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45145.51053429398,1620,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45154.64841670139,1720.96,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45161.526426041666,1362.57,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45167.54040019676,1785.66,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45139.499639201385,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45139.499639201385,1520,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45145.60361759259,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45152.645426585645,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45152.70822357639,1088,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45152.70822357639,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45160.53730775463,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45167.676663275466,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45168.3986940625,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45168.4084678588,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45168.4084678588,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45139.503771261574,1617.6,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45139.50658707176,1657.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45145.60361759259,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45145.60783318287,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45152.61462071759,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45152.61766469907,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45160.54446145833,1491.75,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45167.70407442129,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45168.3986940625,1462.5,TADAYO LIMITED
Children & Family Services,Employees,Agency & Temporary Staff,45145.60062445602,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45145.60361759259,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45153.69298329861,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45154.62349336805,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45161.5512909375,1312.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45139.62473267361,2121,Gemma Read-Keith
Children & Family Services,Employees,Agency & Temporary Staff,45139.628628819446,756.6,Fisher Social Work Consulting Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45141.60835185185,542.15,MILTON KEYNES COUNCIL
Children & Family Services,Employees,Agency & Temporary Staff,45141.65937515046,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45141.659478472226,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45141.58999788194,1575,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45145.43693121528,706.15,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45145.441250034724,916.25,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45145.60062445602,1151.5,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45145.61057642361,999.55,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45145.614515127316,880,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45145.614515127316,1341.15,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45146.443978090276,2185,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45146.61497037037,575,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45147.371571724536,2090.23,Red Sector Recruitment Ltd
