Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45371.75384236111,402500,Royal Borough of Windsor and Maidenhead
Adult Social Care,Employees,Agency & Temporary Staff,45379.65064540509,1080.56,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45379.652835960645,633.94,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45379.652835960645,831.78,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45379.65761832176,588.72,Nursdoc Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45379.65761832176,511.75,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45379.699077199075,831.78,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45379.699077199075,730.08,Nursdoc Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45364.576019988424,800,C4F CIC
Children & Family Services,Employees,Agency & Temporary Staff,45371.48334869213,1761.4,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45371.53884548611,604.85,ISW Assessment and Consultancy Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45376.49320570602,837,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45376.49320570602,678,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45377.45598908565,575.75,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45377.46524861111,564.4,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45378.65714707176,4469.9,ISWP Assessment Services Ltd
Development & Regulation,Employees,Agency & Temporary Staff,45358.62415146991,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45365.37213295139,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45369.673296215275,1046.73,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45372.51796550926,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45378.42825146991,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45355.61675613426,1155.18,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45365.513566319445,1060.88,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45370.43029988426,1060.89,Hays
Commissioning & Procurement,Employees,Agency & Temporary Staff,45356.67645072917,60507.23,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45356.67645072917,101343.09,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45378.42371380787,151711.24,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45378.42825146991,158586.04,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45378.42825146991,188589.95,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45378.62995277778,141975.19,Comensura Ltd
Finance & Property,Employees,Agency & Temporary Staff,45355.38062210648,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45359.60103857639,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45364.59686130787,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45372.70112665509,1500,Integris Financial Recruitment Limited
