Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45342.753720023145,402500,Royal Borough of Windsor and Maidenhead
Children & Family Services,Employees,Agency & Temporary Staff,45336.48879915509,603.75,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45336.48879915509,654.4,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45343.62412943287,5306.76,SHELDON PHILLIPS
Children & Family Services,Employees,Agency & Temporary Staff,45336.516579247684,6309.5,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45336.516579247684,6560.3,CALL US
Development & Regulation,Employees,Agency & Temporary Staff,45323.640526076386,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45334.65788846065,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45344.63804236111,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45350.65626704861,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45328.53973298611,1108.03,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45329.59281041667,895.86,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45348.44783278935,1108.04,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45348.44783278935,1060.88,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45348.504769907406,1108.04,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45334.52596550926,1782.6,OYSTER
Commissioning & Procurement,Employees,Agency & Temporary Staff,45327.61306111111,188225.54,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45334.70646736111,159155.91,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45342.594054629626,171793.79,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45348.512883414354,188191.84,Comensura Ltd
Finance & Property,Employees,Agency & Temporary Staff,45341.62858579861,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45342.53123799768,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45343.6008465625,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45343.662920601855,3750,Integris Financial Recruitment Limited
Finance & Property,Employees,Agency & Temporary Staff,45336.544668599534,3345.1,Hays
