Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Employees,Agency & Temporary Staff,44931.587942708335,1025,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44943.39284783565,1500,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44943.39284783565,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44949.65541450232,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44932.63271697917,5934.89,AJANA LTD
Adult Social Care,Employees,Agency & Temporary Staff,44949.36371334491,5263.38,AJANA LTD
Adult Social Care,Employees,Agency & Temporary Staff,44951.565464548614,1530.63,AJANA LTD
Adult Social Care,Employees,Agency & Temporary Staff,44929.625267905096,1578.87,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44929.625267905096,641.25,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44939.646713738424,1383.75,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44942.67061408565,1624.14,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44951.51956458333,1662.57,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44931.587942708335,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44931.601673958336,1180,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,44935.70949849537,1037,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44935.70949849537,1200,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,44936.5427,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44936.5455,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44936.559433333336,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44937.45921142361,580.73,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44937.46634814815,580.73,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44942.69141079861,1700,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,44942.698411840276,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44943.39710636574,810.32,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44949.60686875,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,44949.65152488426,1292,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44956.62142982639,1700,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,44956.623892905096,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44931.53501284722,693,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44931.53903804398,817,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44935.70949849537,1320,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44936.54953105324,1268.5,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44942.70933846065,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44943.39001177083,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44949.60984765046,1402.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44949.66238422454,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44956.623892905096,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44956.62864340278,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44939.43142542824,936.87,Independent Clinical Services Ltd t/a: Thornbury Nursing Services
Adult Social Care,Employees,Agency & Temporary Staff,44939.43142542824,1248.47,Independent Clinical Services Ltd t/a: Thornbury Nursing Services
Adult Social Care,Employees,Agency & Temporary Staff,44939.490032291666,939.95,Independent Clinical Services Ltd t/a: Thornbury Nursing Services
Adult Social Care,Employees,Agency & Temporary Staff,44929.428038541664,1123.19,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44935.40655436343,694.56,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44935.40655436343,938.33,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44939.67745983796,1199.59,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44939.67745983796,575.27,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44939.68180925926,550.1,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44951.42240373843,1320.71,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44951.426612731484,882.13,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44957.37388668981,1001.37,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44929.3931130787,532.82,Nursdoc Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44943.70535408565,551.4,Nursdoc Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44946.626524039355,532.8,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44946.626524039355,532.8,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,44957.69333769676,551.4,Nursdoc Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44931.58359957176,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44939.44553229167,984.38,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44939.44553229167,1312.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44929.68485208333,1711.25,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44936.677430868054,1017.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44943.52888819444,1406,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44943.52888819444,1406,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44943.53606446759,760,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44957.66429702546,1711.25,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44957.70030390046,1711.25,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44957.70444811343,1711.25,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44942.49437986111,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,44942.494494363425,1290.63,NonStop Recruitment Ltd
