Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Employees,Agency & Temporary Staff,45082.45164771991,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45082.63913611111,1514.4,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45086.49707646991,1475,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45091.49421582176,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45096.68195443287,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45105.61226767361,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45083.64340170139,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45105.63339398148,1660.83,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45105.633523993056,1649.3,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45079.49537175926,1721.25,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45084.54889533565,1441.41,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45091.50125563658,1358.19,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45098.5566903588,1687.5,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45105.61949019676,1413.27,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45078.710282291664,1540,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45079.57423287037,623.03,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45082.45565358796,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45086.43306967593,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45086.44153831019,1100,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45089.59817916666,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45090.41060771991,1054,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45090.61279348379,1500,MARGARET NORRIS DESIGNS LTD
