Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45189.754118784724,402500,Local Government Pension
Adult Social Care,Employees,Agency & Temporary Staff,45175.58644105324,1475,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45181.530722337964,1877,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45188.621136030095,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45198.48535945602,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45183.58234846065,2073.33,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45170.49881068287,830.72,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45175.53789082176,1037,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45175.53789082176,1200,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45176.586616238426,830.72,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45181.530722337964,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45188.5796991088,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45188.61458912037,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45188.69751709491,1207,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45191.44070648148,1224,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45196.55908684028,983.02,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45198.47144502315,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45198.47547508102,1460,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45175.58644105324,1170,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45175.58644105324,1298.51,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45181.5267466088,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45181.56576327547,1462.5,TADAYO LIMITED
