Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Employees,Agency & Temporary Staff,45238.51971207176,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45246.65562476852,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45251.68042896991,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45259.50977986111,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45238.517188460646,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45238.51971207176,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45238.596108564816,1224,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45246.637418171296,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45246.648744791666,1860,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45251.705607523145,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45251.70819741898,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45259.50977986111,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45259.51237503472,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45238.517188460646,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45246.648744791666,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45251.71297681713,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45259.50977986111,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45231.523669131944,559.44,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45231.5335690162,620.3,AMBITION 24 HOURS
Adult Social Care,Employees,Training,45247.68340825231,875,EDGE TRAINING AND CONSULTANCY LTD
Adult Social Care,Employees,Training,45250.708159525464,650,DAWN REVELL T/A DR TRAINING LTD
Adult Social Care,Employees,Training,45244.42620771991,2200,EDGE SERVICES
Adult Social Care,Employees,Training,45247.68340825231,700,EDGE TRAINING AND CONSULTANCY LTD
Adult Social Care,Employees,Lease car costs re employees,45251.66393283565,5653.26,LEASEPLAN UK LTD
Adult Social Care,Employees,Lease car costs re employees,45251.671258449074,848.79,LEASEPLAN UK LTD
Children & Family Services,Employees,Agency & Temporary Staff,45244.551097951386,4000,Sarp Consult
Children & Family Services,Employees,Agency & Temporary Staff,45245.50956327546,1256,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45245.51648229166,923.75,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45253.63628371528,1344.65,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45253.671048923614,1532.95,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45253.673476157404,767.65,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45253.67793128472,2729.45,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45257.53202291667,1904.83,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45257.545711493054,1896.43,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45257.677287847226,1860.73,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45257.700982407405,1860.73,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45252.55540153935,2240,CHILDREN'S CONTACT SERVICES LTD
Children & Family Services,Employees,Agency & Temporary Staff,45252.56237126157,516.25,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45252.569352164355,3959.25,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45252.569352164355,3449.89,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45252.57375563657,4607.9,ISWP Assessment Services Ltd
Children & Family Services,Employees,Training,45259.5372834838,675,THAMES VALLEY POLICE
Commissioning & Procurement,Employees,Agency & Temporary Staff,45239.62155679398,161348.85,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45245.422074849535,128438.51,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45253.49300335648,122398.93,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45259.37337167824,129698.29,Comensura Ltd
Commissioning & Procurement,Employees,Agency & Temporary Staff,45259.377861608795,159500.32,Comensura Ltd
Development & Regulation,Employees,Agency & Temporary Staff,45233.60298553241,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45233.60298553241,1018.63,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45240.47112329861,1194.25,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45240.61414359954,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45246.52363761574,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45253.49300335648,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45253.53907372685,1440.13,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45253.61172792824,1352.31,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45244.53768761574,990.15,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45246.595765590275,1108.03,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45243.6997880787,1290,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45251.50686064815,750,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45244.42897800926,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45244.435876585645,542.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45244.440339155095,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45244.440339155095,744.88,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45233.516738391205,1593.2,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45233.57978920139,1570,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45243.47492734954,1570.8,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45244.57902392361,660,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45245.408124421294,1540,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45246.551394988426,1586.8,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45232.70025335648,1517,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45238.482188738424,1758.13,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45243.47757326389,1778.66,OYSTER
