Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Employees,Agency & Temporary Staff,44991.59884097222,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44999.52520744213,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45002.608257210646,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45007.51867638889,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45014.465595104164,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44987.709381863424,1872.72,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44992.55732384259,1528.8,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45005.41406628472,1454.22,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45014.490367673614,1438.65,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,44991.640744675926,1012.88,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44998.629828275465,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,44998.629828275465,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45000.643206712964,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45002.608257210646,1740,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45002.611176736114,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45002.61524097222,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45005.44906600694,1740,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45007.525675,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45007.54190170139,1275,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45007.546339120374,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45014.43088290509,1020,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45014.43088290509,1740,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45014.47952515046,810.32,Hays
Adult Social Care,Employees,Agency & Temporary Staff,44991.5921153125,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44998.63198738426,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,44998.63627369213,1402.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45002.60431631944,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45002.608257210646,1913.5,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45007.52112025463,1913.5,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45007.55989733796,1402.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45012.64349621528,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45014.43479293981,1913.49,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45014.490367673614,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,44986.61501241898,1232.45,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44986.61501241898,1169.4,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44986.62676304398,1186.23,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44986.62676304398,785.66,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,44994.647997534725,984.54,Support Ethics
Adult Social Care,Employees,Agency & Temporary Staff,45002.48346805556,952.35,Support Ethics
