Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45219.75297337963,402500,Royal Borough of Windsor & Maidenhead
Adult Social Care,Employees,Agency & Temporary Staff,45203.595351006945,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45215.366470520836,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45216.69720555555,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45225.47779857639,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45229.523864814815,1100,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45201.634079780095,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45203.59370563657,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45203.59370563657,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45215.370511574074,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45215.370511574074,1258,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45215.370511574074,1038.4,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45215.39826728009,1530,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45216.69005922454,1003,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45216.69005922454,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45225.475034490744,1037,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45226.5998247338,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45229.53338518518,900,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45203.59370563657,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45203.59370563657,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45212.68984594908,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45216.69293923611,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45225.470843055555,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45229.53083425926,1462.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45204.67674710648,862.79,AMBITION 24 HOURS
Children & Family Services,Employees,Agency & Temporary Staff,45203.688310185185,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45211.62996319444,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45201.48415674768,1910.23,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45201.48415674768,1288,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45201.49510266204,907.25,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45201.60621508102,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45208.675802233796,1942.5,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45209.518766469904,1131.53,Red Sector Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45209.66897453704,2588.75,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45229.373671180554,946.75,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45229.37791805556,1096.65,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45229.37791805556,877.75,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45216.49157824074,2011.45,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45217.627954166666,1138.5,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45217.627954166666,2009.25,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45217.627954166666,4759.15,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45217.627954166666,3792.25,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45218.34986577546,5665.35,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45222.35966956019,2650,CHILDREN'S CONTACT SERVICES LTD
Children & Family Services,Employees,Agency & Temporary Staff,45210.48169822917,4299.8,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45210.59967241898,5105.9,CALL US
