Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Adult Social Care,Employees,Agency & Temporary Staff,45027.64943506944,1850,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45029.704698298614,1500,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45035.62450061343,1500,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45041.36456021991,2320.5,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45041.46961412037,1958,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45041.46961412037,1958,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45041.46961412037,1628,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45041.46961412037,1320,C M OKONJI LTD
Adult Social Care,Employees,Agency & Temporary Staff,45027.552139467596,1844.55,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45030.677199652775,1395,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45035.68002083333,1395,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45042.55516400463,1591.47,Barber Therapists Ltd
Adult Social Care,Employees,Agency & Temporary Staff,45021.365490625,799,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45027.63830424769,782,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45027.65216142361,1500,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45028.441163310184,1012.9,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45029.61050459491,1440,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45029.624419988424,1037,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45033.51073394676,1054.57,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45033.55251947917,830.72,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45035.600824155095,1100,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45035.6493318287,1037,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45040.68708545139,1156,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45040.694032060186,623.04,Hays
Adult Social Care,Employees,Agency & Temporary Staff,45040.694032060186,1200,MARGARET NORRIS DESIGNS LTD
Adult Social Care,Employees,Agency & Temporary Staff,45027.603572685184,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45027.64943506944,1237.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45029.62143082176,1365,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45029.628773032404,1290,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45035.62450061343,1365,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45035.62450061343,1268.5,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45040.680120289355,1591,HOPEZONE LTD
Adult Social Care,Employees,Agency & Temporary Staff,45040.69181373843,1657.5,TADAYO LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45020.64773240741,532.8,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45020.64773240741,532.8,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45033.61466119213,550.44,AMBITION 24 HOURS
Adult Social Care,Employees,Agency & Temporary Staff,45040.65930806713,550.44,AMBITION 24 HOURS
Children & Family Services,Employees,Agency & Temporary Staff,45019.41416114583,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45019.41416114583,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45035.58022607639,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45037.4481846412,1618.75,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45021.55998773148,1406,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45021.56010767361,1102,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45021.56420324074,1406,Holly Blue ISW Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45033.6842190625,615,NonStop Recruitment Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45042.61069710648,1493.7,Leaders in Care
Children & Family Services,Employees,Agency & Temporary Staff,45042.61069710648,1468.81,Leaders in Care
Children & Family Services,Employees,Agency & Temporary Staff,45042.6149622338,1860.4,Leaders in Care
Children & Family Services,Employees,Agency & Temporary Staff,45042.61765775463,1842.23,Leaders in Care
Children & Family Services,Employees,Agency & Temporary Staff,45020.67533125,5072.35,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45020.67533125,829.85,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45020.67804475695,736.6,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45020.67804475695,1050.45,Services for Children
