Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45280.75221053241,402500,Royal Borough of Windsor and Maidenhead
Adult Social Care,Employees,Agency & Temporary Staff,45265.620929398145,1500,AHMAD1978 LIMITED
Adult Social Care,Employees,Agency & Temporary Staff,45265.60013599537,1054,T.C. SOCIAL WORK SOLUTIONS
Adult Social Care,Employees,Agency & Temporary Staff,45265.61659505787,1220,MARGARET NORRIS DESIGNS LTD
Children & Family Services,Employees,Agency & Temporary Staff,45265.63051142361,1433,CALL US
Children & Family Services,Employees,Agency & Temporary Staff,45279.6781434375,976,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45279.68313989583,923.05,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45279.68313989583,1015.75,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45279.68962924769,2272,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45280.67812866898,1869.5,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45287.670495833336,635.75,Services for Children
Children & Family Services,Employees,Agency & Temporary Staff,45272.487869097225,6126.5,CALL US
Development & Regulation,Employees,Agency & Temporary Staff,45264.41515914352,1340.37,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45265.496255590275,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45279.53012855324,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45279.53012855324,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45279.699023229165,1498.43,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45279.699023229165,1083.26,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45280.66876076389,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45261.59975509259,1060.88,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45272.57391299769,1037.3,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45272.578411030096,730.83,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45272.58522152778,1037.31,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45287.59374082176,1060.88,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45271.43935744213,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45271.48351142361,752.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45271.48351142361,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45271.48755945602,1638.6,Kenyon Block Consultants Limited
