Service,Expenditure category,Narrative,Date,Net amount,Supplier name
Strategy & Governance,Employees,Employers LGPS Deficit Contribution,45313.75465925926,402500,Royal Borough of Windsor and Maidenhead
Children & Family Services,Employees,Agency & Temporary Staff,45301.45023804398,4000,Sarp Consult
Children & Family Services,Employees,Agency & Temporary Staff,45299.61080069444,1240,Foundations: Supporting Families
Children & Family Services,Employees,Agency & Temporary Staff,45301.447999421296,515,C4F CIC
Children & Family Services,Employees,Agency & Temporary Staff,45301.461722106484,800,C4F CIC
Children & Family Services,Employees,Agency & Temporary Staff,45314.69423295139,902.55,ISWP Assessment Services Ltd
Children & Family Services,Employees,Agency & Temporary Staff,45314.69896631945,857.65,ISWP Assessment Services Ltd
Development & Regulation,Employees,Agency & Temporary Staff,45294.53180405092,1395.64,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45301.47800767361,1046.73,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45313.6988371875,1306.43,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45313.6988371875,648.63,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45315.56703854167,1395.64,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45316.53858005787,1744.55,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45299.62958480324,1037.31,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45300.38176582176,1060.88,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45308.43707607639,1084.46,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45308.524965543984,1013.73,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45308.524965543984,1084.46,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45316.643370868056,990.16,Hays
Development & Regulation,Employees,Agency & Temporary Staff,45299.40940466435,990,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45314.69423295139,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45314.70111875,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45314.70111875,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45314.70123475695,1487.5,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45314.70569818287,991.28,Kenyon Block Consultants Limited
Development & Regulation,Employees,Agency & Temporary Staff,45308.497401423614,1566.8,OYSTER
Development & Regulation,Employees,Agency & Temporary Staff,45322.60848336806,1570,OYSTER
Commissioning & Procurement,Employees,Agency & Temporary Staff,45293.65231400463,90705.03,Comensura Ltd
