Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000316323,CANON UK LIMITED,11/10/2024,"3,614.22",602.37,Office Services,Internal Printing,Printers Lease chg
0000322471,BROXAP LTD,04/10/2024,"1,281.60",213.60,Environment Services,Street Cleaning,Litter Bins
0000322626,NPOWER LTD,01/10/2024,947.71,157.95,Asset Management,Elmsleigh,Electricity
0000322750,CANON UK LIMITED,11/10/2024,"2,540.71",423.45,Office Services,Internal Printing,Printers Lease chg
0000322751,CANON UK LIMITED,11/10/2024,951.65,158.61,Office Services,Internal Printing,Printers Lease chg
0000322752,CANON UK LIMITED,11/10/2024,"3,067.02",511.17,Office Services,Internal Printing,Printers Lease chg
0000322760,CANON UK LIMITED,11/10/2024,"1,033.36",172.23,Office Services,Internal Printing,Printers Lease chg
0000322827,REDACTED PERSONAL INFORMATION,22/10/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000323479,POSTURITE (UK) LTD,15/10/2024,"1,080.18",180.03,Office Services,Environmental Health Admin,Office Furniture Purchase
0000323568,NPOWER LTD,04/10/2024,"1,095.17",182.53,Asset Management,Elmsleigh,Electricity
0000323665,PRODRIVE PERSONNEL LTD,01/10/2024,625.92,104.32,Depot,Grounds Maintenance,Agency Staff
0000323723,BANGHAM & SCRATCHETT OF LONDON LTD,29/10/2024,"1,168.00",194.67,Chief Exec. Dpt,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000323734,RUNNYMEDE BOROUGH COUNCIL,08/10/2024,"41,922.65","6,987.11",Community Safety and Corporate Services,Community Safety CCTV,Other LA Runnymede BC
0000323735,RUNNYMEDE BOROUGH COUNCIL,29/10/2024,"41,922.65","6,987.11",Community Safety and Corporate Services,Community Safety CCTV,Other LA Runnymede BC
0000323807,LUMEN LEARNING TRUST,04/10/2024,"1,148.00",0.00,Leisure,Youth Projects,Playscheme Vouchers
