Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000306904,RUNNYMEDE BOROUGH COUNCIL,05/03/2024,"3,494.40",582.40,Community Safety and Corporate Services,Mobile CCTV Units,Other Grants
0000307453,REDACTED PERSONAL INFORMATION,26/03/2024,"41,643.85","6,848.98",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000307454,REDACTED PERSONAL INFORMATION,26/03/2024,"74,135.79",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000307455,REDACTED PERSONAL INFORMATION,26/03/2024,"73,590.34",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000312288,REDACTED PERSONAL INFORMATION,19/03/2024,"17,175.59","2,862.60",Asset Management,Oast House,Consultants fees
0000312560,REDACTED PERSONAL INFORMATION,26/03/2024,"9,950.29","1,610.74",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000312747,JLL MANAGING AGENTS,19/03/2024,"34,557.50",0.00,Asset Management,Elmsleigh,Service Charge
0000312868,DAVID JOHN PAPERS LTD,19/03/2024,706.62,117.77,Office Services,Internal Printing,PrintUnit Supplies White Paper
0000313174,WEED MANAGEMENT LTD,08/03/2024,954.00,159.00,Depot,Grounds Maintenance,Protective clothing
0000313577,ECOTRICITY GROUP LIMITED,15/03/2024,735.01,35.00,Asset Management,Thameside House,Electricity
0000313631,CANON UK LIMITED,12/03/2024,"3,670.56",611.76,Office Services,Internal Printing,Printers Lease chg
0000313713,SAFEPLAY PLAYGROUND SERVICES LTD,05/03/2024,"5,150.40",858.40,Environmental Health,Grounds Maintenance,Playground Improvements
0000313770,MICROBEE TREE MANAGEMENT LTD,12/03/2024,"2,592.00",432.00,Environmental Health,Allotments,Grounds maintained noncontract
0000313828,NETCALL TECHNOLOGY LTD,22/03/2024,"10,388.40","1,731.40",Office Services,Customer Services,Computer Software
0000313829,NETCALL TECHNOLOGY LTD,22/03/2024,"5,400.00",900.00,Office Services,Customer Services,Computer Software
0000313833,VIVID RESOURCING,08/03/2024,"1,159.20",193.20,Office Services,Environmental Health Admin,Agency Staff
0000313837,THE NATIONAL LEAFLET COMPANY,26/03/2024,"4,704.14",782.07,Community Safety and Corporate Services,Corporate Publicity,Borough Newspaper & annual rep
0000313977,WOKING BOROUGH COUNCIL,05/03/2024,"1,480.00",0.00,Chief Exec. Dpt,Corporate Management,Surrey Local Government Assoc
0000313980,REDACTED PERSONAL INFORMATION,19/03/2024,"1,631.70",0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor
0000313992,REDACTED PERSONAL INFORMATION,26/03/2024,"29,342.02",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313993,REDACTED PERSONAL INFORMATION,12/03/2024,"2,250.00",0.00,Housing Needs,Housing Needs Administration,Other training
0000314011,WEED MANAGEMENT LTD,01/03/2024,810.00,135.00,Environmental Health,Allotments,Grounds maintained noncontract
0000314012,SURREY COUNTY COUNCIL,15/03/2024,"2,935.12",489.19,Chief Exec. Dpt,Local Land Charges,Other LA Surrey County Council
0000314046,FIRST CALL CONTRACT SERVICES,01/03/2024,686.88,114.48,Depot,Street Cleaning,Agency Staff
0000314125,CUSHMAN AND WAKEFIELD,01/03/2024,"70,461.07",0.00,Asset Management,"3 Roundwood Ave, Stockley Park",Service Charge
0000314126,CUSHMAN AND WAKEFIELD,01/03/2024,"69,726.76",0.00,Asset Management,"3 Roundwood Ave, Stockley Park",Service Charge
0000314127,CUSHMAN AND WAKEFIELD,01/03/2024,909.25,0.00,Asset Management,Charter Building,Service Charge
0000314128,CUSHMAN AND WAKEFIELD,01/03/2024,"171,719.58",0.00,Asset Management,Charter Building,Service Charge
0000314129,CUSHMAN AND WAKEFIELD,01/03/2024,729.98,0.00,Asset Management,Charter Building,Service Charge
0000314132,CUSHMAN AND WAKEFIELD,01/03/2024,"9,842.89",0.00,Asset Management,Communications House,Service Charge
0000314133,CUSHMAN AND WAKEFIELD,01/03/2024,"6,551.50",0.00,Asset Management,Summit Centre,Service Charge
0000314134,CUSHMAN AND WAKEFIELD,01/03/2024,"8,224.79",0.00,Asset Management,Charter Building,Service Charge
0000314135,CUSHMAN AND WAKEFIELD,01/03/2024,"27,007.76",0.00,Asset Management,Charter Building,Service Charge
0000314136,CUSHMAN AND WAKEFIELD,01/03/2024,"9,726.68",0.00,Asset Management,Communications House,Service Charge
0000314137,CUSHMAN AND WAKEFIELD,01/03/2024,"9,767.53",0.00,Asset Management,Communications House,Service Charge
0000314141,CUSHMAN AND WAKEFIELD,01/03/2024,"42,707.36",0.00,Asset Management,Thames Tower,Service Charge
0000314142,INSIGHT DIRECT (UK)LTD,08/03/2024,"1,390.88",231.81,Office Services,Applications - CCTV Monitoring,Computer Software
0000314161,REDACTED PERSONAL INFORMATION,19/03/2024,"3,594.36",599.06,Housing Needs,White House,Contract cleaning
0000314183,IDOX SOFTWARE LTD,01/03/2024,"3,600.00",600.00,Planning,Planning Policy and Implement,Computer Software
0000314200,REDACTED PERSONAL INFORMATION,05/03/2024,"2,100.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314231,REDACTED PERSONAL INFORMATION,01/03/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314232,REDACTED PERSONAL INFORMATION,01/03/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314236,MAYDENCROFT LTD,01/03/2024,"3,000.00",500.00,Depot,Hithermoor,Fences and walls
0000314237,BRAY ASSOCIATES,01/03/2024,"8,304.00","1,384.00",Depot,Staines Market,External Contracts
0000314238,REDACTED PERSONAL INFORMATION,26/03/2024,"5,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314239,REDACTED PERSONAL INFORMATION,26/03/2024,"12,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314240,REDACTED PERSONAL INFORMATION,26/03/2024,"5,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314241,REDACTED PERSONAL INFORMATION,26/03/2024,"4,000.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314251,KENT COUNTY COUNCIL (KCS),01/03/2024,"3,024.00",504.00,Asset Management,General Property Expenses,Consultants fees
0000314253,GLOBAL KNOWLEDGE NETWORK TRAINING LTD,01/03/2024,"1,213.80",202.30,Office Services,IT Administration,Qualification training
0000314254,VIVID RESOURCING,01/03/2024,"1,452.96",242.16,Environmental Health,Licensing,Agency Staff
0000314255,REDACTED PERSONAL INFORMATION,01/03/2024,"1,056.00",176.00,Car Parks,Environmental Health Admin,Legal and Court Costs
0000314256,GIFFORD TREE SERVICES,01/03/2024,900.00,150.00,Depot,Grounds Maintenance,Protective clothing
0000314257,INSIDE HOUSING SOLUTIONS LTD,01/03/2024,"3,019.99",503.33,Environmental Health,Noise Control,OutOfHoursCallService
0000314258,GIFFORD TREE SERVICES,01/03/2024,900.00,150.00,Depot,Grounds Maintenance,Protective clothing
0000314259,LUMEN LEARNING TRUST,01/03/2024,"2,700.00",0.00,Depot,Share Prosperity Fund,Urban Garden & Food Growth
0000314262,SOFTCAT,01/03/2024,"1,620.00",270.00,Chief Exec. Dpt,Business Incubator,Networking
0000314266,MORGAN HUNT,01/03/2024,"1,134.00",189.00,Office Services,Customer Services,Agency Staff
0000314268,DECORAMA,01/03/2024,"4,892.40",815.40,Environment Services,Grounds Maintenance,Operational Equipment Maint.
0000314269,THE OYSTER PARTNERSHIP,01/03/2024,"1,579.50",263.25,Planning,Planning Policy and Implement,Agency Staff
0000314270,SURREY RECRUITMENT SERVICES LIMITED,01/03/2024,"8,139.55","1,356.59",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000314271,NOBLE POLYTHENE LTD,01/03/2024,"3,276.00",546.00,Depot,Grounds Maintenance,Grounds maintained noncontract
0000314272,PERTEMPS RECRUITMENT PARTNERSHIP LTD,01/03/2024,"1,963.01",327.17,Depot,Refuse Collection,Agency Staff
0000314273,VANTA STAFFING LTD,01/03/2024,984.38,164.06,Depot,Refuse Collection,Agency Staff
0000314274,PRODRIVE PERSONNEL LTD,01/03/2024,"1,167.36",194.56,Depot,Grounds Maintenance,Agency Staff
0000314278,ERGONOMIC CHAIRS DIRECT LTD,01/03/2024,693.60,115.60,Office Services,Office Services,Office Furniture Purchase
0000314280,FIRST CALL CONTRACT SERVICES,05/03/2024,686.88,114.48,Depot,Street Cleaning,Agency Staff
0000314291,LOCAL GOVERNMENT FUTURES LTD,01/03/2024,"9,486.00","1,581.00",Accounts,Corporate Management,Subscriptions General
0000314292,BEVAN BRITTAN LLP,01/03/2024,"1,053.00",175.50,Human Resources,Corporate Management,Legal and Court Costs
0000314293,ATTGROW LIMITED,01/03/2024,"2,231.52",371.92,Depot,Grounds Maintenance,Operational Training
0000314294,ATTGROW LIMITED,01/03/2024,909.60,151.60,Depot,Grounds Maintenance,Operational equipment leasing
0000314295,PRODRIVE PERSONNEL LTD,05/03/2024,875.52,145.92,Depot,Grounds Maintenance,Agency Staff
0000314297,EVERYONE ACTIVE,01/03/2024,640.00,0.00,Leisure,Sports and Active Lifestyle,Inward Investment
0000314298,REDACTED PERSONAL INFORMATION,01/03/2024,"25,854.20","4,309.03",Leisure,SpelthorneLeisurCenDevelopment,Consultants fees
0000314301,LIFE BUILD SOLUTIONS LTD,01/03/2024,"173,900.00",0.00,Asset Management,Whitehouse Hostel,Other Works
0000314308,REDACTED PERSONAL INFORMATION,01/03/2024,910.00,0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor
0000314309,KINNARPS UK LTD,05/03/2024,"2,958.96",493.16,Office Services,Office Services,Office Furniture Purchase
0000314312,REDACTED PERSONAL INFORMATION,05/03/2024,"2,350.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314315,BACS IDS,01/03/2024,"22,669.19",0.00,Asset Management,JLL Rent Debtor Acc,Amount due
0000314318,ROYAL MAIL,05/03/2024,"4,321.84",719.96,Office Services,Postage Holding Account,Holding Account Expenditure
0000314344,GALE AND SNOWDEN ARCHITECTS LTD,08/03/2024,660.00,110.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000314345,CENTERPRISE INTERNATIONAL LTD,26/03/2024,"1,197.84",199.64,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000314350,REDACTED PERSONAL INFORMATION,05/03/2024,"2,232.00",372.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314351,REDACTED PERSONAL INFORMATION,05/03/2024,"2,610.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314353,ENTITLEDTO LTD,01/03/2024,"2,870.40",478.40,Housing Benefits,HB Administration,Books & publications
0000314355,REDACTED PERSONAL INFORMATION,01/03/2024,649.07,102.85,Human Resources,Electric car scheme,Advances made
0000314356,REDACTED PERSONAL INFORMATION,01/03/2024,918.80,146.93,Human Resources,Electric car scheme,Advances made
0000314357,COMMONPLACE DIGITAL LTD,01/03/2024,"16,672.50","2,778.75",Planning,Planning Policy and Implement,Design Code
0000314360,REDACTED PERSONAL INFORMATION,01/03/2024,972.39,156.55,Human Resources,Electric car scheme,Advances made
0000314361,REDACTED PERSONAL INFORMATION,01/03/2024,794.22,126.87,Human Resources,Electric car scheme,Advances made
0000314363,SAFEPLAY PLAYGROUND SERVICES LTD,01/03/2024,"2,570.40",428.40,Environmental Health,Grounds Maintenance,Playground Inspections
0000314365,MAY HARRIS MULTI SERVICES LTD,01/03/2024,"12,552.83","2,092.14",Office Services,Facilities Management Various,Contract cleaning
0000314368,TECHNE-COMM LTD,08/03/2024,881.10,146.85,Office Services,Mailsafe,Computer Software
0000314369,A J PROCTER CLEANING CONTRACTORS CO LTD,01/03/2024,"1,158.40",193.07,Depot,White House Garage Site,Contract cleaning
0000314372,REDACTED PERSONAL INFORMATION,01/03/2024,"1,000.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000314373,WYBONE LIMITED,01/03/2024,"4,665.07",777.51,Depot,Grounds Maintenance,Protective clothing
0000314374,REDACTED PERSONAL INFORMATION,01/03/2024,"2,360.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000314380,REDACTED PERSONAL INFORMATION,05/03/2024,"1,700.00",0.00,Housing Needs,Rent Assure Scheme,Rents
0000314383,REDACTED PERSONAL INFORMATION,12/03/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000314386,REDACTED PERSONAL INFORMATION,12/03/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
