Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
322192,FIELDFISHER LLP,03/09/2024,"1,465.44",244.24,Car Parks,Legal,Trucks claim
323164,APPLIED RESILIENCE,06/09/2024,"19,128.03","3,188.00",Projects,Emergency Planning,External Contracts
323857,RED KITE CONSERVATION SERVICES,20/09/2024,"4,428.00",738.00,Projects,Water Courses & Land  Drainage,Sweeps Ditch Maintenance
324027,REDACTED PERSONAL INFORMATION,27/09/2024,660.00,110.00,Projects,Corporate Project Management,Consultants fees
0000316042,REDACTED PERSONAL INFORMATION,03/09/2024,"1,176.00",196.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000316043,REDACTED PERSONAL INFORMATION,03/09/2024,"1,019.20",39.20,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000316044,REDACTED PERSONAL INFORMATION,03/09/2024,946.40,36.40,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000316046,REDACTED PERSONAL INFORMATION,03/09/2024,"1,203.20",83.20,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000320285,ETHICAL DIRECT LTD,17/09/2024,526.11,0.00,Office Services,Facilities Management,Operational Equipment Maint.
0000321813,BT REDCARE,03/09/2024,"6,650.72","1,108.45",Community Safety and Corporate Services,Community Safety CCTV,Telephone Maintenance
0000321874,ACTIVE PRINT SERVICES LIMITED,20/09/2024,"1,621.20",270.20,Office Services,External Printing,External printing
0000322131,BARTEC MUNICIPAL TECHNOLOGIES LIMITED,03/09/2024,"28,578.00","4,763.00",Environment Services,Refuse Collection,Computer Software
0000322143,REDACTED PERSONAL INFORMATION,20/09/2024,"34,499.97","5,749.98",Leisure,Spelthorne Leisure Centre,General repairs
0000322195,REDACTED PERSONAL INFORMATION,13/09/2024,630.85,105.14,Housing Needs,Harper House,Grounds maintained noncontract
0000322249,REDACTED PERSONAL INFORMATION,17/09/2024,"28,992.00","4,832.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322276,LAMBERT SMITH HAMPTON,20/09/2024,"5,444.16",907.36,Asset Management,Elmbrook House,Premises Letting Fees
0000322296,VIVID RESOURCING,17/09/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000322548,KINNARPS UK LTD,20/09/2024,"1,682.16",280.36,Office Services,Office Services,Office Furniture Purchase
0000322654,ROYAL MAIL,03/09/2024,"1,212.66",202.11,Financial Support,Electoral Registration,Postage Direct charge
0000322728,ACCESS PAYSUITE,30/09/2024,731.59,121.93,Accounts,Customer Services,Transaction Charges
0000322730,BOTTOMLINE TECHNOLOGIES,30/09/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000322753,BT GLOBAL SERVICES,03/09/2024,"1,577.02",262.83,Information Technology,IT Overheads & Infrastructure,Networking
0000322792,KENT COUNTY COUNCIL (KCS),03/09/2024,"8,103.53","1,190.76",Asset Management,Various,Gas
0000322823,BRITISH GAS TRADING LTD,03/09/2024,654.47,31.16,Asset Management,Summit Centre,Electricity
0000322840,IDOX SOFTWARE LTD,03/09/2024,"5,376.94",896.16,Financial Support,Electoral Registration,Computer Software
0000322852,WATSON FUELS,03/09/2024,"19,080.00","3,180.00",Depot,Depot Fuel & Oils,Purchases
0000322863,FIRST CALL CONTRACT SERVICES,10/09/2024,"1,949.38",324.90,Depot,Street Cleaning,Agency Staff
0000322900,STRUCTURAL RENOVATIONS LTD,13/09/2024,"36,000.00","6,000.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000322913,REDACTED PERSONAL INFORMATION,27/09/2024,"7,800.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322917,AAI MEDIA,03/09/2024,706.36,117.73,Planning,Development Control,Other Advertising
0000322963,MOLE VALLEY DISTRICT COUNCIL,24/09/2024,"4,789.66",798.28,Accounts,Accountancy,Other LA Authority MVDC
0000322964,ATTGROW LIMITED,03/09/2024,"1,434.24",239.04,Depot,Grounds Maintenance,Operational Equipment purchase
0000322965,ATTGROW LIMITED,03/09/2024,"1,065.60",177.60,Depot,Grounds Maintenance,Playground Improvements
0000322967,PRODRIVE PERSONNEL LTD,10/09/2024,625.92,104.32,Depot,Grounds Maintenance,Agency Staff
0000322970,LONDON WARRANT ENFORCEMENT,03/09/2024,"1,552.50",0.00,Office Services,Office Services,Office Services
0000322974,CENTERPRISE INTERNATIONAL LTD,10/09/2024,"1,159.20",193.20,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000322983,SELLICK PARTNERSHIP LTD,03/09/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000322984,ECOTRICITY GROUP LIMITED,13/09/2024,694.82,33.09,Asset Management,Thameside House,Electricity
0000322985,REDACTED PERSONAL INFORMATION,03/09/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322986,REDACTED PERSONAL INFORMATION,03/09/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322987,REDACTED PERSONAL INFORMATION,03/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322988,REDACTED PERSONAL INFORMATION,03/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322989,REDACTED PERSONAL INFORMATION,03/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322990,REDACTED PERSONAL INFORMATION,03/09/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000322991,EVERGREEN EXTERIOR SERVICES LTD,03/09/2024,"2,322.00",387.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000322992,GM CONSTRUCTION MAINTENANCE,03/09/2024,"1,938.00",323.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
