Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000315745,PHS GROUP LTD,29/11/2024,"3,727.28",621.21,Asset Management,Various,Operational Equipment Maint.
0000321884,ASSURA MEDICAL CENTRES LTD,08/11/2024,"1,378.88",229.81,Asset Management,Stanwell Health Centre,Management fees
0000323431,PHS GROUP LTD,29/11/2024,"4,289.10",714.85,Office Services,Various,Operational Equipment Maint.
0000324010,ECOTRICITY GROUP LIMITED,12/11/2024,"1,022.84",48.71,Asset Management,Thameside House,Gas
0000324098,MHR,29/11/2024,"3,002.40",500.40,Human Resources,Human Resources,Other Miscellaneous Expenses
0000324239,SMI GROUP,01/11/2024,615.14,102.52,Depot,Grounds Maintenance,Protective clothing
0000324280,REDACTED PERSONAL INFORMATION,01/11/2024,"14,205.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000324338,NETCALL TECHNOLOGY LTD,19/11/2024,954.00,159.00,Office Services,Customer Services,Other Miscellaneous Expenses
0000324399,SDK ENVIRONMENTAL LTD,01/11/2024,"1,932.00",322.00,Environmental Health,Control of Stray Dogs,Kennel Costs
0000324617,ALEXANDER MARQUEES LTD,01/11/2024,"10,698.61","1,783.11",Community Safety and Corporate Services,Spelthorne Means Business awar,Rechargeable Works Expenditure
0000324733,FIRST CALL CONTRACT SERVICES,01/11/2024,"2,024.35",337.39,Depot,"Refuse Collection, Street Cleaning",Agency Staff
0000324747,POSTURITE (UK) LTD,05/11/2024,690.35,115.06,Office Services,Social Prescribing,Office Furniture Purchase
0000324832,REDACTED PERSONAL INFORMATION,01/11/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents
0000324867,PHS GROUP LTD,29/11/2024,895.46,149.24,Office Services,Facilities Management,Operational Equipment Maint.
0000324895,RUNNYMEDE BOROUGH COUNCIL,12/11/2024,"41,922.65","6,987.11",Community Safety and Corporate Services,Community Safety CCTV,Other LA Runnymede BC
0000324949,ACCESS PAYSUITE,29/11/2024,620.43,103.41,Accounts,Customer Services,Computer Software
0000324950,ACCESS PAYSUITE,29/11/2024,"8,983.15",0.00,Accounts,Customer Services,Computer Software
0000324952,AIB MERCHANT SERVICES,29/11/2024,809.67,0.00,Car Parks,Car Park Administration,Credit Card Charges
0000324953,AIB MERCHANT SERVICES,29/11/2024,962.77,0.00,Car Parks,Car Park Administration,Credit Card Charges
0000324954,BOTTOMLINE TECHNOLOGIES,29/11/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges
0000324959,VIVID RESOURCING,05/11/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000324963,FIRST CALL CONTRACT SERVICES,05/11/2024,749.76,124.96,Depot,Street Cleaning,Agency Staff
0000324972,SOFTCAT,05/11/2024,"5,912.44",985.41,Information Technology,Applications - Email Filtering,Computer Software
0000324980,CTS RECRUITMENT,05/11/2024,"1,871.52",311.92,Depot,Refuse Collection,Agency Staff
0000324984,KENT COUNTY COUNCIL (KCS),01/11/2024,"3,477.64",441.28,Asset Management,Car Park Administration,Electricity
0000324985,CASTLE WATER,01/11/2024,"4,651.19",425.97,Asset Management,Various,Water Charges
0000324997,REDACTED PERSONAL INFORMATION,01/11/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
