EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/03/2024,300000151997382,43656,2660,3LG PRINT LTD,3.00000021632331E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/03/2024,1795128,3419467,49.5,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/03/2024,300000146533604,INV-2159,723,EC4 HOTEL LTD T/A CEDAR COURT HARROGATE,3.00000144449434E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/03/2024,300000146502916,FBF22423,18150,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/03/2024,300000146502876,FBF22424,3782,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/03/2024,300000152166875,19/23,4850,KNOWSLEY CARERS CENTRE,3.00000021628792E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,15/03/2024,300000148003241,3,150000,KNOWSLEY FOODBANK,3.00000115854398E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/03/2024,300000145072593,4125235,2337,MICRO COMPUTER CONSULTANTS,3.00000021630193E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/03/2024,300000151997690,KC-240327-1,15000,SQUARE ONE MEDIA PRODUCTION,3.00000021658425E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,14/03/2024,300000148067240,INV-KMBC-48,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/03/2024,300000150589370,INV-KMBC-49,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
