* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Vehicle Purchase,45140,283205.16,WILKER UK LIMITED
Vehicle Purchase,45140,98767.35,WILKER UK LIMITED
Vehicle Purchase,45140,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
PCC Commissioning - Public Protection,45140,198039.83,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45140,18284.58,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45140,50301.83,VICTIM SUPPORT LANCASHIRE
Police - Scientific Support Equipment,45140,1274.7,VEOLIA WATER PURIFICATION SYSTEMS LTD
Police - FSS,45140,2562.8,THIRD PARTY FORENSIC SERVICES
Police - FSS,45140,18245.92,THIRD PARTY FORENSIC SERVICES
Police - Pathologists Fees,45140,3074.47,THIRD PARTY FORENSIC SERVICES
Police - Qualification Training,45140,1560,THE UNIVERSITY OF BOLTON
Consultant Fees,45140,500,THE EMILY DAVISON CENTRE
Training Expenses (External),45140,23760,THE ATACC GROUP
Training Expenses (External),45140,1980,THE ATACC GROUP
Police - Other Third Party Payments,45140,10000,THE ATACC GROUP
Police Reactive Maintenance - Building Services,45140,5227.46,SECURITY SOLUTIONS
Equipment General,45140,529,SCENESAFE
Computer Maintenance,45140,548.37,SCC
Computer Licences,45140,9362.81,SCC
Equipment General,45140,2784,SAFEQUIP LTD
Equipment General,45140,1288,SAFEQUIP LTD
Vehicle Purchase,45140,26974.33,RENAULT MANCHESTER
Vehicle Purchase,45140,26974.33,RENAULT MANCHESTER
Works Fees (External),45140,10663.58,REED SPECIALIST RECRUITMENT LTD
Works Fees (External),45140,1520.48,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45140,1417.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45140,5600,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45140,5600,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45140,1890,REED SPECIALIST RECRUITMENT LTD
Works Fees (External),45140,28549.4,REED SPECIALIST RECRUITMENT LTD
Police - Superintendents Association,45140,23695,POLICE SUPERINTENDENTS ASSOCIATION OF ENGLAND & WALES
Police - Vehicle Workshop Parts,45140,21025.24,OECONNECTION LTD
Electricity,45140,2018.53,NPOWER LTD
Electricity,45140,1845.36,NPOWER LTD
Electricity,45140,2002.89,NPOWER LTD
Electricity,45140,9562.08,NPOWER LTD
Electricity,45140,9281.39,NPOWER LTD
Electricity,45140,9670.16,NPOWER LTD
Electricity,45140,10012.91,NPOWER LTD
Electricity,45140,9860.18,NPOWER LTD
Petrol,45140,39556.51,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Electricity,45140,1831.83,NPOWER LTD
Electricity,45140,1056.01,NPOWER LTD
Electricity,45140,39360.98,NPOWER LTD
Electricity,45140,1920.4,NPOWER LTD
Electricity,45140,1817.92,NPOWER LTD
Electricity,45140,2052.51,NPOWER LTD
Electricity,45140,38164.54,NPOWER LTD
Electricity,45140,2009.6,NPOWER LTD
Electricity,45140,2357.63,NPOWER LTD
Electricity,45140,2190.17,NPOWER LTD
Electricity,45140,1639.68,NPOWER LTD
Electricity,45140,2077.96,NPOWER LTD
Electricity,45140,2022.8,NPOWER LTD
Electricity,45140,1677.89,NPOWER LTD
Electricity,45140,2372.17,NPOWER LTD
Electricity,45140,2692.56,NPOWER LTD
Electricity,45140,8602.22,NPOWER LTD
Electricity,45140,9555.16,NPOWER LTD
Electricity,45140,2627.84,NPOWER LTD
Electricity,45140,2312.41,NPOWER LTD
Electricity,45140,1551.82,NPOWER LTD
Electricity,45140,2299.11,NPOWER LTD
Electricity,45140,1969.22,NPOWER LTD
Electricity,45140,1712.17,NPOWER LTD
Electricity,45140,1544.24,NPOWER LTD
Electricity,45140,1524.97,NPOWER LTD
Electricity,45140,2195.8,NPOWER LTD
Electricity,45140,2312.49,NPOWER LTD
Electricity,45140,2419.06,NPOWER LTD
Electricity,45140,1990.68,NPOWER LTD
Electricity,45140,9602.89,NPOWER LTD
Electricity,45140,9831.97,NPOWER LTD
Electricity,45140,9219.45,NPOWER LTD
Electricity,45140,9609.27,NPOWER LTD
Electricity,45140,2072.02,NPOWER LTD
Electricity,45140,2091.57,NPOWER LTD
Electricity,45140,2342.53,NPOWER LTD
Electricity,45140,2349.98,NPOWER LTD
Electricity,45140,2024.2,NPOWER LTD
Electricity,45140,1946.83,NPOWER LTD
Electricity,45140,1826.9,NPOWER LTD
Electricity,45140,2433.33,NPOWER LTD
Electricity,45140,2162.12,NPOWER LTD
Electricity,45140,2264.83,NPOWER LTD
Electricity,45140,2522.07,NPOWER LTD
Electricity,45140,1635.95,NPOWER LTD
Electricity,45140,1365.75,NPOWER LTD
Electricity,45140,1978.59,NPOWER LTD
Electricity,45140,8261.6,NPOWER LTD
Electricity,45140,9706.44,NPOWER LTD
Electricity,45140,10614.47,NPOWER LTD
Electricity,45140,9548.67,NPOWER LTD
Electricity,45140,10136.27,NPOWER LTD
Electricity,45140,9217.25,NPOWER LTD
Electricity,45140,9467.73,NPOWER LTD
Electricity,45140,8470.06,NPOWER LTD
Electricity,45140,2097.27,NPOWER LTD
Electricity,45140,640.22,NPOWER LTD
Electricity,45140,641.34,NPOWER LTD
Electricity,45140,2195.25,NPOWER LTD
Electricity,45140,2166.06,NPOWER LTD
Electricity,45140,801.9,NPOWER LTD
