* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Computer Software,45017,22000,NCC GROUP SECURITY SERVICES LTD
Computer Hardware,45017,3600,NCC GROUP SECURITY SERVICES LTD
Waste Collection Charges,45022,688.5,WASTECARE LTD
Waste Collection Charges,45022,895.85,WASTECARE LTD
Vehicle Purchase,45022,27657.83,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45022,27657.83,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Computer Maintenance,45022,1776,VODAFONE LTD
Consultant Fees,45022,74115,UCLAN - UNIVERSITY OF CENTRAL LANCASHIRE
Catering Service (External),45022,2031.3400000000001,TURNER PRICE LTD
Catering Service (External),45022,606.14,TURNER PRICE LTD
Training Expenses (External),45022,597,ACADEMY CLASS TRAINING LTD
Catering Service (External),45022,1179.65,TIFFIN SANDWICHES LTD
Catering Service (External),45022,994.5,THIRD PARTY SUPPLIER
Computer Licences,45022,8523.86,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45022,542.72,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45022,705.7,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45022,734.8,THIRD PARTY SUPPLIER
Computer Licences,45022,700,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45022,6270.470000000001,THIRD PARTY SUPPLIER
PCC Commissioning - Community Liason,45022,1785,ACCRINGTON STANLEY FOOTBALL IN THE COMMUNITY
Computer Licences,45022,5000,THIRD PARTY FORENSIC SERVICES
Police - FSS,45022,12725,THIRD PARTY FORENSIC SERVICES
Police - FSS,45022,10553.43,THIRD PARTY FORENSIC SERVICES
Police - Mutual assistance,45022,2570.65,THE POLICE & CRIME COMMISSIONER FOR CUMBRIA
Police - Other Third Party Payments,45022,5430.02,THE POLICE & CRIME COMMISSIONER FOR CUMBRIA
Police - Guest Speakers,45022,542.3,THE KINGSHAM CONSULTANCY LIMITED
Police - LBPA Lancashire Black Police Association,45022,1500,THE CATERING CO GROUP
Clothing & Uniform,45022,1497.6,TASK FORCE DISTRIBUTION LTD
Equipment General,45022,882,SWARCO UK & IRELAND LTD
Police - Drug Testing,45022,1654.49,SURESCREEN DIAGNOSTICS LIMITED
Training Expenses (External),45022,510,STENNIK ADVERTISING LTD
Equipment General,45022,1222,SLINGERS IRONMONGERS
Police - Guest Speakers,45022,850,SIMON BLAKEBROUGH
Water,45022,46672.52,SCOTTISH WATER BUSINESS STREAM
Equipment General,45022,3463.4100000000003,SCENESAFE
Computer Licences,45022,1880945.2399999993,SCC
ICT Stock / Stores,45022,543,SCC
Computer Hardware,45022,2246.32,SCC
Computer Maintenance,45022,517.5,SCC
Computer Equipment (Hardware),45022,920,SCC
Postage & Carriage,45022,2877.58,ROYAL MAIL NW & NW
Equipment General,45022,890.2,ROBINSON GALE-TASH UK LTD
