* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Police - Other Investigative Expenses,45200,3596.71,ROBERT BOSCH GMBH
Postage & Carriage,45200,4000,QUADIENT UK LTD
Catering Service (External),45202,756.5699999999999,TURNER PRICE LTD
Catering Service (External),45202,1125.55,TURNER PRICE LTD
Catering Service (External),45202,1016.35,TURNER PRICE LTD
Clothing & Uniform,45202,1275,TOTAL INSIGNIA LTD
Equipment General,45202,6131.370000000001,THIRD PARTY SUPPLIER
Computer Hardware,45202,1324.7,THIRD PARTY SUPPLIER
Police - Scientific Support Equipment,45202,962,TESTO INDUSTRIAL SERVICES LTD
Equipment General,45202,3339.85,SCENESAFE
Police - Scientific Support Equipment,45202,1426.6899999999998,SCENESAFE
ICT Stock / Stores,45202,885.7,SCC
Agency Staff,45202,507.4,ADECCO UK LTD
Agency Staff,45202,621.3,ADECCO UK LTD
Clothing & Uniform,45202,2315.16,SBI TACPRO LIMITED
Police - Health & Safety - Occ Health,45202,780,AERO HEALTHCARE
Equipment General,45202,700,RACKING INSPECTION SAFETY CONSULTANTS
Police Reactive Maintenance - Building Services,45202,1269.16,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45202,3849.6600000000003,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45202,690.68,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45202,636.23,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45202,1672.0600000000002,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45202,635,PHAROS GENERATOR SERVICES LIMITED
Police - Pathologists Fees,45202,2991.94,ALISON ARMOUR
Police - Pathologists Fees,45202,3280.36,ALISON ARMOUR
Police - Pathologists Fees,45202,3034.63,ALISON ARMOUR
Police - Vehicle Workshop Parts,45202,1086.6,PARTS PLUS
Police - Vehicle Workshop Parts,45202,571.8,PARTS PLUS
Police - Vehicle Workshop Parts,45202,795.38,PARTS PLUS
Training Expenses (External),45202,574,NDORS TRAINER
Petrol,45202,43112.02000000001,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Training Expenses (External),45202,1120,NDORS TRAINER
Training Expenses (External),45202,901,NDORS TRAINER
Training Expenses (External),45202,3602.4,NDORS TRAINER
Training Expenses (External),45202,1200,NDORS TRAINER
Training Expenses (External),45202,1360,NDORS TRAINER
Training Expenses (External),45202,1520,NDORS TRAINER
Training Expenses (External),45202,1548,NDORS TRAINER
Training Expenses (External),45202,736,NDORS TRAINER
Computer Equipment (Hardware),45202,14175,MOTOROLA LTD [229816]
Police - Agents Fees,45202,1000,MISS MEGAN TOLLITT
PCC Commissioning - Public Protection,45202,43665,LANCASHIRE TEACHING NHS HOSPITALS FT
Building Cleaning Contract (External),45202,88795.12000000002,LANCASHIRE COUNTY COUNCIL (200398)
Building Cleaning Service,45202,10329.459999999997,LANCASHIRE COUNTY COUNCIL (200398)
