* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Rents - General,45233,1382.75,WYRE BOROUGH COUNCIL
Training Expenses (External),45233,550,WEST MIDLANDS POLICE AUTHORITY
Police - Other Third Party Payments,45233,1000,WEST LANCASHIRE BOROUGH COUNCIL
Police - Mobile Data,45233,750,VODAFONE LTD (215385)
Catering Service (External),45233,616.94,TURNER PRICE LTD
Catering Service (External),45233,525.4200000000001,TURNER PRICE LTD
Catering Service (External),45233,2101.7200000000003,TURNER PRICE LTD
Police - Other Third Party Payments,45233,535,ACAS
Police - Counsel Fees,45233,3000,TLT LLP
Police - Counsel Fees,45233,1000,TLT LLP
Police - Other Third Party Payments,45233,556.74,THIRD PARTY SUPPLIER
Equipment General,45233,549.37,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45233,548.4,THIRD PARTY SUPPLIER
Telecommunications Equipment,45233,18463.65,THIRD PARTY SUPPLIER
Agency Staff,45233,771.04,ACHIEVA GROUP LTD
Equipment General,45233,12539.589999999998,ACS BUSINESS SUPPLIES LTD
Delegated Grounds Maintenance,45233,586.42,SOCIETE GENERALE EQUIPMENT FINANCE LTD
Rents - General,45233,7496.25,SKM PROPERTY HOLDINGS LTD
Rents - General,45233,6500,SKM PROPERTY HOLDINGS LTD
Clothing & Uniform,45233,515.16,SHORROCK MOTORCYCLES LTD
Police - Planned Preventative Maintenance,45233,13080.12,SECURITY SOLUTIONS
Equipment General,45233,869.47,SCENESAFE
Equipment General,45233,963.59,SCENESAFE
Equipment General,45233,799.12,SCENESAFE
Equipment General,45233,721.1600000000001,SCENESAFE
Equipment General,45233,646,SCENESAFE
Equipment General,45233,756.4599999999999,SCENESAFE
Equipment General,45233,3713.909999999999,SCENESAFE
Computer Equipment (Hardware),45233,740.25,SCC
Postage & Carriage,45233,3761.64,ROYAL MAIL NW & NW
Postage & Carriage,45233,1783.3500000000001,ROYAL MAIL NW & NW
Postage & Carriage,45233,1100.01,ROYAL MAIL NW & NW
Consultant Fees,45233,11913,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45233,8778,REED SPECIALIST RECRUITMENT LTD
Consolidated invoice suspense,45233,174462.1,REED SPECIALIST RECRUITMENT LTD
Training Expenses (External),45233,5265,PUBLIC SERVICE TRANSFORMATION ACADEMY
Police - Statutory Maintenance,45233,712.53,PROTEC FIRE DETECTION PLC
IT Consultancy,45233,700,PREMIERTEC CONSULTING LTD T/A CLAREMONT
Police Reactive Maintenance - Building Services,45233,3392.5,PREMIER OF LYTHAM  LTD
Police - Planned Preventative Maintenance,45233,790,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45233,2495.93,PREMIER OF LYTHAM  LTD
Police - Planned Preventative Maintenance,45233,2715,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45233,1668.63,PREMIER OF LYTHAM  LTD
Police - Collaboration - Regional Air Support Unit,45233,289006.5,POLICE & CRIME COMMISSIONER FOR WEST YORKSHIRE
Police - Collaboration - Regional Air Support Unit,45233,289006.54,POLICE & CRIME COMMISSIONER FOR WEST YORKSHIRE
Police - Waste Collection Charges - Clinical,45233,1131.71,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45233,797.57,PHS GROUP PLC
Police - Agents Fees,45233,760,ALEX JONES
Police - Media Campaigns,45233,2245,ONE SMART COOKIE COMMUNICATIONS
Vehicle & Plant R&M (External),45233,1168.32,OLYMPIC LOCK & SAFEGUARDS LTD
Training Expenses (External),45233,980,NSPCC REGISTERED CHARITY
Training Expenses (External),45233,858,NDORS TRAINER
Training Expenses (External),45233,960,NDORS TRAINER
Training Expenses (External),45233,1360,NDORS TRAINER
Training Expenses (External),45233,552,NDORS TRAINER
Training Expenses (External),45233,1040,NDORS TRAINER
Training Expenses (External),45233,654,NDORS TRAINER
Training Expenses (External),45233,654,NDORS TRAINER
Training Expenses (External),45233,1969,NDORS TRAINER
Training Expenses (External),45233,1120,NDORS TRAINER
Training Expenses (External),45233,1207,NDORS TRAINER
Police - Counsel Fees,45233,750,MS VICTORIA VON WACHTER
Police - Agents Fees,45233,515,MR SAMUEL WATSON
Police - Agents Fees,45233,580,LUJZKA HALSALL-FISCHEL
Police - Counsel Fees,45233,750,LUJZKA HALSALL-FISCHEL
Police - Agents Fees,45233,580,LUJZKA HALSALL-FISCHEL
Rents - General,45233,2471.33,LANCASHIRE COUNTY DEVELOPMENTS (PROPERTY) LTD
Hospitality,45233,4671.25,LANCASHIRE COUNTY COUNCIL (200398)
Police - Health & Safety - Occ Health,45233,530,KAYS MEDICAL LTD
Equipment General,45233,14606.7,JENOPTIK UK LTD
Equipment General,45233,11360.77,JENOPTIK UK LTD
Equipment General,45233,14606.7,JENOPTIK UK LTD
Vehicle & Plant R&M (External),45233,1170,JAMES ALPE LTD
Training Expenses (External),45233,1125,INTEGRATED WATER SERVICES LTD
Window Cleaning,45233,2011.36,INCREDIBLE WINDOW CLEANING
Police - Health & Safety - Occ Health,45233,1080,HEALTHWORK
Police - Doctors Statements,45233,2030,HEALTHWORK
Furniture General,45233,976,GRESHAM OFFICE FURNITURE LTD
Furniture General,45233,956,GRESHAM OFFICE FURNITURE LTD
Police - Mobile Data,45233,6101.99,EVERYTHING EVERYWHERE LTD
Police - Mobile Data,45233,8829.06,EVERYTHING EVERYWHERE LTD
Furniture (Purchase),45233,1750,EVEQUE LEISURE EQUIPMENT LTD
Equipment General,45233,885,DTAB CARWASH LTD
Police - Other Third Party Payments,45233,709.14,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45233,1011.41,CHILD ACTION NORTHWEST
Police - Detained Persons - Other Expenses,45233,1778.67,CHILD ACTION NORTHWEST
Police Reactive Maintenance - Building Fabric,45233,1488,CCH JOINERY (PRESTON) LTD
Police - Horse Expenses,45233,555,ANIMAL RELATED SERVICES
Computer Licences,45233,13510.59,CACI LTD
Cleaning Materials,45233,20011.09,ARROW COUNTY SUPPLIES
Vehicle & Plant R&M (External),45233,746.64,AP FLEET SERVICES LTD
Other Expenses,45237,1603.93,WILSONS AUCTIONS LTD
Police - Scientific Support Equipment,45237,533.32,WEX PHOTO VIDEO
Equipment General,45237,5604.25,WEX PHOTO VIDEO
Stationery,45237,1800,VOODOO AGENCY
Police - Mobile Data,45237,750,VODAFONE LTD (215385)
Consultant Fees,45237,4884.42,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45237,50301.83,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45237,198039.83,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45237,18284.58,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45237,2971.57,VICTIM SUPPORT LANCASHIRE
Catering Service (External),45237,2586.87,TURNER PRICE LTD
Catering Service (External),45237,538.3,TURNER PRICE LTD
Police - Guest Speakers,45237,1000,TONY WHITTLE QPM
Catering Service (External),45237,1163.3,TIFFIN SANDWICHES LTD
Computer Equipment (Hardware),45237,2058,THIRD PARTY SUPPLIER
Equipment General,45237,7622.18,THIRD PARTY SUPPLIER
Equipment General,45237,4123.72,THIRD PARTY SUPPLIER
Computer Licences,45237,712.86,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45237,546.08,THIRD PARTY SUPPLIER
Equipment General,45237,4123.72,THIRD PARTY SUPPLIER
Equipment General,45237,7393.54,THIRD PARTY SUPPLIER
Equipment General,45237,7622.18,THIRD PARTY SUPPLIER
Equipment General,45237,7393.509999999999,THIRD PARTY SUPPLIER
Police - Other Investigative Expenses,45237,6471.6,THIRD PARTY SUPPLIER
Police - FSS,45237,13984.68,THIRD PARTY FORENSIC SERVICES
Police - FSS,45237,13175.8,THIRD PARTY FORENSIC SERVICES
Police - FSS,45237,15705.7,THIRD PARTY FORENSIC SERVICES
Police - FSS,45237,6251.8,THIRD PARTY FORENSIC SERVICES
Police - FSS,45237,6435.81,THIRD PARTY FORENSIC SERVICES
Police - FSS,45237,33331.88,THIRD PARTY FORENSIC SERVICES
Police - Qualification Training,45237,570,THE UNIVERSITY OF SALFORD
PCC Commissioning - Community Liason,45237,10000,THE FLOWHESION FOUNDATION
IT Consultancy,45237,190850,THE BRIDGE (IT RECRUITMENT) LIMITED
PCC Commissioning - Community Liason,45237,10000,THE 180 PROGRAMME CIC
Police - Media Campaigns,45237,1500,TALENT4MEDIA LTD
IT Consultancy,45237,10574.65,SSS PUBLIC SAFETY LTD
Clothing & Uniform,45237,537.47,SHORROCK MOTORCYCLES LTD
Clothing & Uniform,45237,515.16,SHORROCK MOTORCYCLES LTD
Equipment General,45237,928.74,SCENESAFE
Equipment General,45237,597.3,SCENESAFE
Computer Licences,45237,20581.92,SCC
Agency Staff,45237,968.18,ADECCO UK LTD
Agency Staff,45237,871.36,ADECCO UK LTD
Agency Staff,45237,517.75,ADECCO UK LTD
Agency Staff,45237,610.95,ADECCO UK LTD
Police Reactive Maintenance - Building Fabric,45237,1470,RED ROSE BUILDING MAINTENANCE
Police Reactive Maintenance - Building Services,45237,760.36,PROTEC FIRE DETECTION PLC
Equipment General,45237,554.32,NW RFCA
Police - Vehicle Workshop Parts,45237,948,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Police - Vehicle Workshop Parts,45237,1003,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Police - Vehicle Workshop Parts,45237,948,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Police - Vehicle Workshop Parts,45237,948,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Police - Vehicle Workshop Parts,45237,1003,NORTH WEST TYRE SERVICES LTD T/A HIQ TYRES & AUTOCARE PRESTON
Training Expenses (External),45237,880,NDORS TRAINER
Training Expenses (External),45237,1054,NDORS TRAINER
Training Expenses (External),45237,1287,NDORS TRAINER
Training Expenses (External),45237,1155,NDORS TRAINER
Training Expenses (External),45237,2543,NDORS TRAINER
Training Expenses (External),45237,2080,NDORS TRAINER
Training Expenses (External),45237,1280,NDORS TRAINER
Training Expenses (External),45237,640,NDORS TRAINER
Training Expenses (External),45237,880,NDORS TRAINER
Training Expenses (External),45237,2000,NDORS TRAINER
Training Expenses (External),45237,1360,NDORS TRAINER
Training Expenses (External),45237,1680,NDORS TRAINER
Training Expenses (External),45237,2327,NDORS TRAINER
Training Expenses (External),45237,647,NDORS TRAINER
Police - Other Third Party Payments,45237,3100,LYDGATE RIFLE AND PISTOL CLUB
Rents - General,45237,575,LOWRY GROUP LIMITED
Computer Licences,45237,6496,LEXIS NEXIS UK [226961]
Computer Licences,45237,9975,LEXIS NEXIS UK [226961]
Equipment General,45237,11629,LASER TECH UK LTD
Equipment General,45237,11629,LASER TECH UK LTD
Equipment General,45237,11629,LASER TECH UK LTD
Equipment General,45237,11629,LASER TECH UK LTD
Petrol,45237,37790.170000000006,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Police - Other Investigative Expenses,45237,614.3,KEY DOOR SOLUTIONS LTD
Police - Vehicle Workshop Parts,45237,1185.52,HALLIWELL JONES LIMITED SOUTHPORT
Police - Vehicle Workshop Parts,45237,525.61,HALLIWELL JONES LIMITED SOUTHPORT
Police - Tyres,45237,13694.8,GOODYEAR SSC
Computer Maintenance,45237,9351.5,FIVIUM LTD
Equipment General,45237,847.98,ESSENTRA COMPONENTS LTD
Training Expenses (External),45237,560,ENLIGHTEN TRAINING & CONSULTANCY LTD
Police - Trainer/Lecturer Fees,45237,1400,ENLIGHTEN TRAINING & CONSULTANCY LTD
Clothing & Uniform,45237,7613.3,DHL SUPPLY CHAIN
