* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Consolidated invoice suspense,45264,310664.76999999996,LASER ENERGY BUYING GROUP
Consolidated invoice suspense,45264,84421.84999999999,LASER ENERGY BUYING GROUP
Equipment General,45265,563.1600000000001,WEX PHOTO VIDEO
Catering Service (External),45265,1747.74,TURNER PRICE LTD
Catering Service (External),45265,883.77,TIFFIN SANDWICHES LTD
Police - Counselling,45265,800,THIRD PARTY SUPPLIER
Police - Counselling,45265,1400,THIRD PARTY SUPPLIER
Police - Counselling,45265,2440,THIRD PARTY SUPPLIER
Computer Hardware,45265,1963.5,THIRD PARTY SUPPLIER
Police - Other Specialist Operational Equipment,45265,2015,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45265,590.8,THIRD PARTY SUPPLIER
Programmed Service Contracts,45265,8557.02,THIRD PARTY SUPPLIER
Police - Counselling,45265,640,THIRD PARTY SUPPLIER
Police - FSS,45265,14268.6,THIRD PARTY FORENSIC SERVICES
Clothing & Uniform,45265,7065.69,THE OUTDOORS COMPANY UK LIMITED
Police - Guest Speakers,45265,892.3,THE KINGSHAM CONSULTANCY LIMITED
PCC Commissioning - Public Protection,45265,13125,THE EMILY DAVISON CENTRE K/A HARV
Police - Drug Testing,45265,857.49,SURESCREEN DIAGNOSTICS LIMITED
Subsistence,45265,840,SUDELL SANDWICHES
Ext  Adapt  Improv  Etc,45265,9810,SPECIALIST POWER SYSTEMS LTD
Police Reactive Maintenance - Building Services,45265,4655.49,SECURITY SOLUTIONS
Computer Equipment (Hardware),45265,2887.5,SCC
Equipment General,45265,1077.39,SCC
Police - Vehicle Workshop Parts,45265,1117.76,RSG ENGINEERING LTD
Police Reactive Maintenance - Building Services,45265,674.7,PICKERINGS EUROPE LIMITED
Police - Waste Collection Charges - Clinical,45265,1033.45,PHS GROUP PLC
Cleaning & Domestic General,45265,729.98,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45265,1363.18,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45265,1033.45,PHS GROUP PLC
Cleaning & Domestic General,45265,729.98,PHS GROUP PLC
Vehicle & Plant R&M (External),45265,511.06,NATIONAL WINDSCREENS NW
