* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Police - Other Third Party Payments,45078,9533.910000000003,PPL PRS LTD
Equipment General,45078,925.61,ASDARTS INH. ANDREAS HUBER
Computer Maintenance,45083,14750,VISLINK LTD
Catering Service (External),45083,2364.31,TURNER PRICE LTD
Clothing & Uniform,45083,892,TRY & LILLY LTD
Police - Other Third Party Payments,45083,3436.62,ACCRINGTON STANLEY COMMUNITY TRUST
Police - Other Third Party Payments,45083,3071.68,ACCRINGTON STANLEY COMMUNITY TRUST
Clothing & Uniform,45083,1423.75,TOTAL INSIGNIA LTD
Computer Equipment (Hardware),45083,5296.91,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45083,597.56,THIRD PARTY SUPPLIER
Computer Maintenance,45083,152438.01,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45083,985,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45083,980,THIRD PARTY SUPPLIER
Police - FSS,45083,3830.94,THIRD PARTY FORENSIC SERVICES
Agency Staff,45083,621.3,ADECCO UK LTD
Agency Staff,45083,595.41,ADECCO UK LTD
Agency Staff,45083,621.3,ADECCO UK LTD
Police - FSS,45083,10549.8,THIRD PARTY FORENSIC SERVICES
ICT Stock / Stores,45083,645,SONIC COMMUNICATIONS (INTERNATIONAL) LTD
Police - Scientific Support Equipment,45083,3012.5,SHIMADZU UK LTD
Equipment General,45083,2008.2,SCENESAFE
Equipment General,45083,684.8,SCENESAFE
Equipment General,45083,594,SCENESAFE
ICT Stock / Stores,45083,697,SCC
Equipment General,45083,572.09,SCC
Consolidated invoice suspense,45083,7527.09,AGIITO LTD (FORMALLY CAPITA TRAVEL & EVENTS LTD)
Consultant Fees,45083,68447.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,6949.25,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,106067.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,114950,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,6792.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,75240,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,5852,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,64372,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,70224,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,716.3400000000001,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,2283.66,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,3000,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,1999.1000000000001,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,39589.49,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,46538.74,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,8882.5,REED SPECIALIST RECRUITMENT LTD
Consultant Fees,45083,32395,REED SPECIALIST RECRUITMENT LTD
Police - Pathologists Fees,45083,1920,ALISON ARMOUR
Rents - General,45083,8285,RADIOSITE LTD
Rents - General,45083,9780.45,RADIOSITE LTD
Programmed Service Contracts,45083,1392,PROTEC FIRE DETECTION PLC
Police - Other Third Party Payments,45083,500,PRESTON GRASSHOPPERS RUGBY FOOTBALL CLUB LTD
Police - Other Third Party Payments,45083,500,PRESTON GRASSHOPPERS RUGBY FOOTBALL CLUB LTD
Police - Planned Preventative Maintenance,45083,8835,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45083,1355.67,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45083,1561.7,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45083,1545.5,PREMIER OF LYTHAM  LTD
Police - Firearms Ammunition,45083,728.29,POINT SOUTH LIMITED
Cleaning & Domestic General,45083,4503.000000000001,PHS GROUP PLC
Clothing & Uniform,45083,1625.49,PETER JONES ILG LTD
Police - Vehicle Workshop Parts,45083,21946.27,OECONNECTION LTD
Police - Vehicle Workshop Parts,45083,15554.57,OECONNECTION LTD
Police - Horse Expenses,45083,1360,ANIMAL RELATED SERVICES
Training Expenses (External),45083,1648,NATIONAL CRIME AGENCY
Police - Other Investigative Expenses,45083,2000,MEWA
Police - Other Investigative Expenses,45083,2003.2,MAYOR'S OFFICE FOR POLICING & CRIME (MET POLICE AUTH)
Building Cleaning Contract (External),45083,27166,LANCASHIRE COUNTY COUNCIL (200398)
Computer Software,45083,27750,KALLIDUS LIMITED
Police - Counsel Fees,45083,12800,JOHN BEGGS QC
Computer Maintenance,45083,3395,HCL COMMUNICATIONS
Furniture (Purchase),45083,585,GRESHAM OFFICE FURNITURE LTD
Police - Other Specialist Operational Equipment,45083,550,GMK LTD
Clothing & Uniform,45083,13440,GLOBAL TECHNICAL TEXTILES LIMITED
Police - Mobile Data,45083,6321.22,EVERYTHING EVERYWHERE LTD
Police - Mobile Data,45083,5856.36,EVERYTHING EVERYWHERE LTD
Police - Mobile Data,45083,6303.530000000001,EVERYTHING EVERYWHERE LTD
Police - Mobile Data,45083,9015.14,EVERYTHING EVERYWHERE LTD
Hire of Transport,45083,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45083,735.28,ARNOLD CLARK CAR & VAN RENTAL
Training Expenses (External),45083,6279,CONTINENTAL AUTOMOTIVE TRADING UK LTD
Ext  Adapt  Improv  Etc,45083,32829.56,CONLON CONSTRUCTION LTD
Other Expenses,45083,501.15999999999997,COFFEE 1652
Consolidated invoice suspense,45083,3475.25,CLARITY TRAVEL LIMITED
Police - Detained Persons - Other Expenses,45083,4518.300000000001,CHARLES FELLOWS SUPPLIES LTD
Consolidated invoice suspense,45083,19062.75,ARROW COUNTY SUPPLIES
Police Reactive Maintenance - Building Fabric,45083,1095,CCH JOINERY (PRESTON) LTD
Hire of Transport,45083,522,CAR-PORT UK
Hire of Transport,45083,522,CAR-PORT UK
Vehicle Purchase,45083,14164.77,BMW UK LTD
Police - Other Investigative Expenses,45084,2300,BRR CONSULTING LTD
Police - Other Investigative Expenses,45084,1000,BRR CONSULTING LTD
Cleaning & Domestic General,45086,852.44,WRENNALLS GROUP LTD
Vehicle Purchase,45086,30765.28,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17848,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,17793,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,30765.28,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,30765.28,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45086,1380,A J ENGINEERING SERVICES LTD
Police - Exchanges Phones - Call Charges,45086,750,VODAFONE LTD (215385)
Police - Mobile Data,45086,750,VODAFONE LTD (215385)
Computer Maintenance,45086,659.13,VODAFONE LTD (215385)
Police - Other Third Party Payments,45086,127008,UKROED LTD
Computer Data Network,45086,6095.28,UK TELEMATICS
Catering Service (External),45086,1362.77,TURNER PRICE LTD
Catering Service (External),45086,605.3199999999999,TURNER PRICE LTD
Catering Service (External),45086,1881.1,TURNER PRICE LTD
Catering Service (External),45086,560.41,TURNER PRICE LTD
Catering Service (External),45086,642.53,TURNER PRICE LTD
Catering Service (External),45086,683.86,TIFFIN SANDWICHES LTD
Subsistence,45086,2310,THIRD PARTY SUPPLIER
Police - Other Third Party Payments,45086,819.86,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45086,1256.6,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45086,1485,THIRD PARTY SUPPLIER
Police - Counselling,45086,760,THIRD PARTY SUPPLIER
Computer Data Network,45086,1030.94,THIRD PARTY SUPPLIER
Computer Data Network,45086,503.1,THIRD PARTY SUPPLIER
Police - Counselling,45086,2800,THIRD PARTY SUPPLIER
Computer Licences,45086,12112.5,THIRD PARTY SUPPLIER
Police - Compensation,45086,834,THIRD PARTY SUPPLIER
Police - FSS,45086,12098.04,THIRD PARTY FORENSIC SERVICES
Police - FSS,45086,18912,THIRD PARTY FORENSIC SERVICES
Agency Staff,45086,652.37,ADECCO UK LTD
Agency Staff,45086,600.59,ADECCO UK LTD
Police - FSS,45086,6408.05,THIRD PARTY FORENSIC SERVICES
Police - FSS,45086,4878.29,THIRD PARTY FORENSIC SERVICES
IT Consultancy,45086,7000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,5000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,9350,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,6750,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,6300,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,6500,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,9000,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,8100,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,12600,THE BRIDGE (IT RECRUITMENT) LIMITED
IT Consultancy,45086,8100,THE BRIDGE (IT RECRUITMENT) LIMITED
Environmental Saving Initiatives,45086,3770,SYSTEMSLINK
Police - Health & Safety - Occ Health,45086,2800,ST JAMES MEDICAL CENTRE
Police Reactive Maintenance - Building Services,45086,636.7,SECURITY SOLUTIONS
Police - Scientific Support Equipment,45086,1326,SCENESAFE
Computer Licences,45086,256769.79,SCC
Training Expenses (External),45086,5422.8,SCC
Computer Software,45086,525,SCC
Waste Collection Charges,45086,2730,SAME DAY PLC GUARDIAN SERVICES
Waste Collection Charges,45086,2477,SAME DAY PLC GUARDIAN SERVICES
Postage & Carriage,45086,2714.7299999999996,ROYAL MAIL NW & NW
Postage & Carriage,45086,2987.7,ROYAL MAIL NW & NW
Police - Other Third Party Payments,45086,595,RIBBLE VALLEY BOROUGH COUNCIL
Police - Other Third Party Payments,45086,1000,RIBBLE VALLEY BOROUGH COUNCIL
Police - Pathologists Fees,45086,3013.03,ALISON ARMOUR
Police - Pathologists Fees,45086,3034.63,ALISON ARMOUR
Postage & Carriage,45086,4000,QUADIENT UK LTD
Police - Other Third Party Payments,45086,648.36,PSL PRINT MANAGEMENT LTD
Printing - External,45086,965,PSL PRINT MANAGEMENT LTD
Petrol,45086,34861.27000000002,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Police - Other Third Party Payments,45086,5880,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45086,5124.8099999999995,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45086,2760,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Other Third Party Payments,45086,2357.3,PRESTON NORTH END COMMUNITY & EDUCATION TRUST
Police - Planned Preventative Maintenance,45086,2688,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45086,3089.99,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45086,1800.41,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45086,1152.22,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45086,4420.7,PREMIER OF LYTHAM  LTD
Police - Planned Preventative Maintenance,45086,1585,PREMIER OF LYTHAM  LTD
Clothing & Uniform,45086,868.9,ALTBERG LTD
Clothing & Uniform,45086,868.9,ALTBERG LTD
Police - Other Specialist Operational Equipment,45086,829.75,POINT SOUTH LIMITED
Hospitality,45086,3800,PLUXEE UK LTD (FORMERLY SODEXO LTD)
Police Reactive Maintenance - Building Fabric,45086,2436.78,PILKINGTON BROS (CHURCH) LTD
Police Reactive Maintenance - Building Fabric,45086,2652.5,PILKINGTON BROS (CHURCH) LTD
Police - Waste Collection Charges - Clinical,45086,2518.830000000001,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,2314.139999999999,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1147.7800000000002,PHS GROUP PLC
Cleaning & Domestic General,45086,1876.29,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1929.28,PHS GROUP PLC
Cleaning & Domestic General,45086,1918.9799999999998,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1637.24,PHS GROUP PLC
Cleaning & Domestic General,45086,1879.29,PHS GROUP PLC
Cleaning & Domestic General,45086,1718.9699999999998,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1945.97,PHS GROUP PLC
Cleaning & Domestic General,45086,1718.97,PHS GROUP PLC
Cleaning & Domestic General,45086,1876.29,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1949.5099999999995,PHS GROUP PLC
Cleaning & Domestic General,45086,2410.5299999999997,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,2297.0899999999997,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1876.29,PHS GROUP PLC
Police - Waste Collection Charges - Clinical,45086,1926.04,PHS GROUP PLC
Clothing & Uniform,45086,2793.78,PETER JONES ILG LTD
Vehicle & Plant R&M (External),45086,1860.11,PERRYS MOTOR SALES LTD
Vehicle & Plant R&M (External),45086,1911.19,PERRYS MOTOR SALES LTD
Police - Telecom Forensics,45086,1540,PAYPOINT NETWORKS LTD
Police - Vehicle Workshop Parts,45086,698.29,PARTS PLUS
Furniture General,45086,600,OFFICE CHAIR RENOVATION
Furniture General,45086,700,OFFICE CHAIR RENOVATION
Furniture General,45086,500,OFFICE CHAIR RENOVATION
Police - Vehicle Workshop Parts,45086,4699.88,OECONNECTION LTD
Police - Professional Subscriptions,45086,500,NWG NETWORK
Computer Licences,45086,5000,NEC SOFTWARE SOLUTIONS (FORMERLY NORTHGATE PUBLIC SERVICES (UK) LTD)
Training Expenses (External),45086,734,NDORS TRAINER
Training Expenses (External),45086,1280,NDORS TRAINER
Training Expenses (External),45086,1214,NDORS TRAINER
Training Expenses (External),45086,1040,NDORS TRAINER
Training Expenses (External),45086,640,NDORS TRAINER
Training Expenses (External),45086,814,NDORS TRAINER
Training Expenses (External),45086,807,NDORS TRAINER
Training Expenses (External),45086,560,NDORS TRAINER
Training Expenses (External),45086,1280,NDORS TRAINER
Training Expenses (External),45086,960,NDORS TRAINER
Training Expenses (External),45086,1120,NDORS TRAINER
Training Expenses (External),45086,1468,NDORS TRAINER
Police -Stray / Dangerous Animals,45086,3125,ANIMAL RELATED SERVICES
Police - Dog Expenses,45086,521,ANIMAL RELATED SERVICES
Police - Dog Expenses,45086,625,ANIMAL RELATED SERVICES
Training Expenses (External),45086,720,NDORS TRAINER
Training Expenses (External),45086,1280,NDORS TRAINER
Training Expenses (External),45086,560,NDORS TRAINER
Vehicle & Plant R&M (External),45086,904,NATIONAL WINDSCREENS NW
Training Expenses (External),45086,690,NATIONAL CRIME AGENCY
Clothing & Uniform,45086,1059.6,MICHAEL LUPTON ASSOCIATES LTD
Equipment General,45086,4422,LION LABORATORIES PLC
Equipment General,45086,7440,LION LABORATORIES PLC
Rents - General,45086,1859,LANCASHIRE FIRE & RESCUE
Rents - General,45086,500,LANCASHIRE FIRE & RESCUE
Police - Other Third Party Payments,45086,51884,LANCASHIRE COUNTY COUNCIL (200398)
Vehicle & Plant R&M (External),45086,582.1,AP FLEET SERVICES LTD
