* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Police - Other Third Party Payments,45049,1096.4,THIRD PARTY SUPPLIER
Equipment General,45049,30278.35,THIRD PARTY SUPPLIER
Equipment General,45049,4123.72,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45049,6180,THIRD PARTY SUPPLIER
Agency Staff,45049,807.18,ACHIEVA GROUP LTD
Agency Staff,45049,915.61,ACHIEVA GROUP LTD
Police - Pathologists Fees,45049,3074.47,THIRD PARTY FORENSIC SERVICES
Police - Vehicle Workshop Parts,45049,1002.07,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45049,1192.68,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45049,1055.61,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45049,727.71,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45049,1423.91,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Health & Safety - Occ Health,45049,3500,ST JAMES MEDICAL CENTRE
Catering Service (External),45049,2925,SODEXO LTD
Catering Service (External),45049,2437.5,SODEXO LTD
Delegated Grounds Maintenance,45049,586.42,SOCIETE GENERALE EQUIPMENT FINANCE LTD
Police - Guest Speakers,45049,850,SIMON BLAKEBROUGH
Printing - External,45049,1285,SG WORLD LTD
Equipment General,45049,684.24,SCENESAFE
Equipment General,45049,826.36,SCENESAFE
Equipment General,45049,504,SCENESAFE
Computer Maintenance,45049,25429.67,SCC
Training Expenses (External),45049,11560,PRESTON MARRIOTT HOTEL
Police - Statutory Maintenance,45049,1162.16,PICKERINGS EUROPE LIMITED
Police Reactive Maintenance - Building Services,45049,1032.5,PHAROS GENERATOR SERVICES LIMITED
Computer Licences,45049,9761.9,OPEN TEXT UK LTD
Agency Staff,45049,1611.75,OCCUPATIONAL HEALTH STAFFING LTD
Agency Staff,45049,1224.93,OCCUPATIONAL HEALTH STAFFING LTD
Electricity,45049,5933.34,NPOWER LTD
Police - Pathologists Fees,45049,3034.63,ALISON ARMOUR
Training Expenses (External),45049,640,NDORS TRAINER
Police - Counsel Fees,45049,600,MS VICTORIA VON WACHTER
Police - Counsel Fees,45049,675,MS VICTORIA VON WACHTER
Police - Counsel Fees,45049,600,MS VICTORIA VON WACHTER
Police - Other Investigative Expenses,45049,2250,MR ABDUL-JABBAR GHAURI
Clothing & Uniform,45049,508.4,MICHAEL LUPTON ASSOCIATES LTD
Police - Other Investigative Expenses,45049,1266.1899999999998,MAYOR'S OFFICE FOR POLICING & CRIME (MET POLICE AUTH)
IT Consultancy,45049,2926,JAMES HARVARD LTD
Recruitment - Expenses,45049,775.75,HAVAS PEOPLE LTD
Recruitment - Advertising,45049,556.53,HAVAS PEOPLE LTD
Furniture General,45049,2930,GRESHAM OFFICE FURNITURE LTD
Chronicle,45049,8925.78,GREATER MANCHESTER COMBINED AUTHORITY - GMP
Police - Firearms Ammunition,45049,5500,GMK LTD
Clothing & Uniform,45049,624,GMK LTD
Clothing & Uniform,45049,638,FIRMIN & SONS P L C
Police Reactive Maintenance - Building Services,45049,552.7,E-TEC ELECTRICAL LTD
Police - Other Third Party Payments,45049,8644,DERBYSHIRE CONSTABULARY
Police - Counsel Fees,45049,12168.45,CHRISTOPHER CONVEY
Police - Detained Persons - Other Expenses,45049,3080.2999999999997,CHARLES FELLOWS SUPPLIES LTD
Computer Equipment (Hardware),45049,8406.19,CDW UK LTD
Computer Equipment (Hardware),45049,16282.18,CDW UK LTD
Ext  Adapt  Improv  Etc,45049,1824,CCH JOINERY (PRESTON) LTD
Vehicle & Plant R&M (External),45049,539.31,BOWKER BLACKBURN
Police Reactive Maintenance - Building Services,45049,590,BID GROUP LTD
Clothing & Uniform,45051,2944.37,WILLIAM SUGDEN & SONS LTD
Clothing & Uniform,45051,8847.69,WILLIAM SUGDEN & SONS LTD
Hire of Transport,45051,1642.5,WHITEGATE VEHICLE SOLUTIONS LTD
Police - Exchanges Phones - Call Charges,45051,957.92,VIRGIN MEDIA BUSINESS LTD
Catering Service (External),45051,1327.53,TURNER PRICE LTD
Catering Service (External),45051,1081.78,TURNER PRICE LTD
Catering Service (External),45051,970.01,TURNER PRICE LTD
Catering Service (External),45051,564.22,TIFFIN SANDWICHES LTD
Subsistence,45051,1183,THIRD PARTY SUPPLIER
Computer Equipment (Hardware),45051,34517.64000000001,THIRD PARTY SUPPLIER
Equipment,45051,3914.67,THIRD PARTY SUPPLIER
Subsistence,45051,717.75,SUDELL SANDWICHES
Police - Vehicle Workshop Parts,45051,739.74,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,545.92,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,690.33,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,823.72,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,1118.22,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,832.89,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,844.12,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,1233.54,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
Police - Vehicle Workshop Parts,45051,1016.92,STELLANTIS &YOU PARTS NORTH WEST (FORMERLY ROBINS & DAY)
ICT Stock / Stores,45051,675,SCC
Clothing & Uniform,45051,2675.5,SBI TACPRO LIMITED
Clothing & Uniform,45051,530.6,SBI TACPRO LIMITED
Police - Vehicle Workshop Parts,45051,943.8,RYBROOK
Postage & Carriage,45051,4076.2400000000002,ROYAL MAIL NW & NW
Consolidated invoice suspense,45051,236552.34,REED CALIFORNIA
Police Reactive Maintenance - Building Services,45051,596.4,PUMP SERVICE AND ENGINEERING LTD
Ext  Adapt  Improv  Etc,45051,5008,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45051,1410.4,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45051,1455.76,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45051,1973.23,PREMIER OF LYTHAM  LTD
Police - Statutory Maintenance,45051,4393.6,PICKERINGS EUROPE LIMITED
Police - Counsel Fees,45051,520,ALEX JONES
Police - Counsel Fees,45051,560,ALEX JONES
Agency Staff,45051,1267.91,OCCUPATIONAL HEALTH STAFFING LTD
Consolidated invoice suspense,45051,19699.190000000002,NPOWER LTD
Equipment General,45051,2689.99,NISBETS PLC
Police - Other Third Party Payments,45051,44269,NHS LANCASHIRE AND SOUTH CUMBRIA ICB
Training Expenses (External),45051,960,NDORS TRAINER
Police - Counsel Fees,45051,1100,MS VICTORIA VON WACHTER
Police - Counsel Fees,45051,600,MR CHARLES APTHORP
Police - Counsel Fees,45051,9600,MR CHARLES APTHORP
Police - Counsel Fees,45051,1200,MR CHARLES APTHORP
Petrol,45051,37706.079999999994,ALLSTAR BUSINESS SOLUTIONS LTD [ARVAL PHH BUSINESS SOLUTIONS LTD]
Police - Statutory Maintenance,45051,2916.3499999999985,INTEGRATED WATER SERVICES LTD
Police - Vehicle Workshop Parts,45051,654.3,HALLIWELL JONES LIMITED SOUTHPORT
Police - Tyres,45051,28587.47,GOODYEAR SSC
Police - Tyres,45051,9929.44,GOODYEAR SSC
Training Expenses (External),45051,1100,GO VELO
Police - Trainer/Lecturer Fees,45051,2240,ENLIGHTEN TRAINING & CONSULTANCY LTD
Laundry,45051,834.96,ELIS UK LTD FORMERLY BERENDSEN UK LTD
Police - Pathologists Fees,45051,2851.02,DR B RODGERS
Police - Dog Expenses,45051,650,ANIMAL RELATED SERVICES
Police - Dog Expenses,45051,725,ANIMAL RELATED SERVICES
Recruitment - Expenses,45051,908.04,COLLEGE OF POLICING
Consolidated invoice suspense,45051,1557.94,CLARITY TRAVEL LIMITED
Training Expenses (External),45051,830,CJS EVENT SOLUTIONS LTD
Police - Other Third Party Payments,45051,1165.34,BURNLEY BOROUGH COUNCIL
Police - Detained Persons - Meals / Refreshments,45051,739.6400000000001,BIDFOOD
Vehicle & Plant R&M (External),45051,716.5,AP FLEET SERVICES LTD
Hire of Transport,45051,538.44,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45051,515.48,ARNOLD CLARK CAR & VAN RENTAL
Hire of Transport,45051,538.44,ARNOLD CLARK CAR & VAN RENTAL
Vehicle Purchase,45056,19785.37,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Vehicle Purchase,45056,17852.17,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Consultant Fees,45056,18284.95,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45056,50301.87,VICTIM SUPPORT LANCASHIRE
Police - Counsel Fees,45056,5374.25,THIRD PARTY SUPPLIER
Police - Counselling,45056,560,THIRD PARTY SUPPLIER
Programmed Service Contracts,45056,1575.2100000000003,THIRD PARTY SUPPLIER
Police - Counselling,45056,1560,THIRD PARTY SUPPLIER
Police - Counselling,45056,640,THIRD PARTY SUPPLIER
Police - FSS,45056,14018.74,THIRD PARTY FORENSIC SERVICES
Police - FSS,45056,6946.08,THIRD PARTY FORENSIC SERVICES
Police - FSS,45056,7897,THIRD PARTY FORENSIC SERVICES
Rents - General,45056,575,SHAW LODGE MILLS LTD
Police Reactive Maintenance - Building Services,45056,2139.1,SECURITY SOLUTIONS
Police Reactive Maintenance - Building Services,45056,1145.63,SECURITY SOLUTIONS
Computer Equipment (Hardware),45056,597.4,SCC
Computer Licences,45056,3445.93,SCC
Police - Waste Collection - ERP,45056,3440,SAME DAY PLC GUARDIAN SERVICES
Ext  Adapt  Improv  Etc,45056,680,RED ROSE BUILDING MAINTENANCE
Postage & Carriage,45056,4000,QUADIENT UK LTD
Police Reactive Maintenance - Building Services,45056,2741.1,PREMIER OF LYTHAM  LTD
Police Reactive Maintenance - Building Services,45056,6457.400000000001,PREMIER OF LYTHAM  LTD
Police - Firearms Ammunition,45056,3230,POINT SOUTH LIMITED
Police - Firearms Ammunition,45056,2907,POINT SOUTH LIMITED
Police Reactive Maintenance - Building Fabric,45056,568.94,PILKINGTON BROS (CHURCH) LTD
Police Reactive Maintenance - Building Fabric,45056,812.18,PILKINGTON BROS (CHURCH) LTD
Electricity,45056,1880.95,NPOWER LTD
Electricity,45056,1990.96,NPOWER LTD
Electricity,45056,1985.77,NPOWER LTD
