Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
City Development,Training (General),Indirect Employee Expenses,5101061021,44999,SEASCOPE TRAINING SOLUTIONS LTD,661.5
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101063032,45015,THE LUCY FAITHFULL FOUNDATION,4915.71
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101063134,45016,BLISS RECRUITMENT LTD (QUBA SOLUTIO,624
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101063732,45022,THE LUCY FAITHFULL FOUNDATION,2132
City Development,R&M - Building Works,R&M Technical Support,5101065458,45042,THE JAMES MERCER GROUP LTD,575
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905810182,45042,****REDACTED PERSONAL INFO****,-663.28
Adult Services & Hea,Funerals (General),General Services Exp Social Svs Clients,5101067269,45061,FUNERAL SERVICES LTD - NETHERTON,9900.04
City Development,"Misc Supp, Tool, Equ",General Supplies,5101067242,45061,VAUGHTONS,1859.34
Chief Operating Offi,Stationery (General),Printing & Office Expenses,5101067674,45064,PREMIER PAPER GROUP,1420
Neighbourhoods,"Misc Supp, Tool, Equ",General Supplies,5101068281,45071,JOHNSON HEALTH TECH UK LTD,2000
Children & Young Peo,General Legal Fees,Professional Fees,1905858745,45078,****REDACTED COMMERCIALLY SENSITIVE****,11000
Chief Operating Offi,Software (General),Computing,5101068727,45079,WIFI SPARK LTD,2243.04
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905872646,45090,****REDACTED PERSONAL INFO****,-504.24
Chief Operating Offi,Consultancy,Professional Fees,5101070228,45091,KJP UK LTD t/a ONE CONSULTING GROUP,-800
Adult Services & Hea,Funerals (General),General Services Exp Social Svs Clients,5101070602,45093,FUNERAL SERVICES LTD - NETHERTON,1648.67
Adult Services & Hea,Funerals (General),General Services Exp Social Svs Clients,5101070684,45096,FUNERAL SERVICES LTD - NETHERTON,1747.67
Chief Operating Offi,Software (General),Computing,5101071669,45105,BYTES SOFTWARE SERVICES,10902
Neighbourhoods,Software (General),Computing,5101071969,45107,WPS UNITED KINGDOM LIMITED,2487
Adult Services & Hea,Funerals (General),General Services Exp Social Svs Clients,5101071979,45107,FUNERAL SERVICES LTD - NETHERTON,1706
Neighbourhoods,Rodent & Pest Contro,Cleaning & Domestic Supplies,5101072273,45111,KILLGERM CHEMICALS LTD,1639.68
Chief Operating Offi,Software (General),Computing,5101073583,45121,PHOENIX SOFTWARE LTD,2692.8
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101073693,45124,SEGURO RECRUITMENT LTD,770
Chief Operating Offi,CAF Comm/Maint,Communications,5101074008,45126,8x8 UK LIMITED,-1818.4
Neighbourhoods,Clothing & Uniforms,"Clothing & Uniforms, Laundry",5101074110,45127,IOMA CLOTHING CO LTD,803.25
Neighbourhoods,Clothing & Uniforms,"Clothing & Uniforms, Laundry",5101074118,45127,IOMA CLOTHING CO LTD,609
Children & Young Peo,R&M - Building Works,R&M Technical Support,5101074323,45128,CLAN CONTRACTING LTD,2300
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101074534,45131,SHC CARE SERVICES LTD,11140
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101074535,45131,SHC CARE SERVICES LTD,2888
City Development,Photocpy/Photog/Prnt,Printing & Office Expenses,5101074839,45133,MARK MCNULTY PHOTOGRAPHY,4400
