Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Children & Young Peo,Rent-LCC Occupy Prem,Rent & Rates etc,1700049197,45351,****REDACTED PERSONAL INFO****,-508.06
Children & Young Peo,Rent-LCC Occupy Prem,Rent & Rates etc,1700049193,45351,****REDACTED PERSONAL INFO****,-1959.66
Children & Young Peo,Private Contractors,Agency & Contract Services,1700049140,45349,ASSOCIATED WELLBEING LTD,-37257.14
Capital Regen,Capital Regen,Main contract,1906214754,45348,HUYTON ASPHALT CIVILS LTD,35797.91
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1906214775,45348,EVERTON NURSERY SCHOOL & FAMILY CEN,15829.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214901,45348,FOUR SEASONS HEALTHCARE LTD-LIVERPO,12600
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214955,45348,****REDACTED PERSONAL INFO****,11750.69
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214934,45348,****REDACTED PERSONAL INFO****,11235.02
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214900,45348,GRACE LODGE NURSING HOME - OCEANCRO,10500
City Law & Governanc,Mortuary Fees,General Services Expenses,5101096766,45348,ALDER HEY CHILDRENS NHS FOUNDATION,9238.62
Adult Services & Hea,RSL - Supporting Ppl,Agency & Contract Services,1906214741,45348,TOM HARRISON HOUSE,7800
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1906214738,45348,FIRST FOOTSTEPS,6741
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214937,45348,****REDACTED PERSONAL INFO****,6612.2
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215175,45348,BROTHERS OF CHARITY SERVICES MERSEY,4254.39
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1906214812,45348,WADE DEACON HIGH SCHOOL,4000
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1906214810,45348,THE OLDERSHAW ACADEMY,4000
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214847,45348,CORPUS CHRISTI CATHOLIC PRIMARY SCH,3200
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214863,45348,RMBC ST MARGARETS C/E,3200
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1906214803,45348,LITHERLAND HIGH SCHOOL,3200
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1906214813,45348,WEATHERHEAD HIGH,3200
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214943,45348,****REDACTED PERSONAL INFO****,2974.5
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214784,45348,SHROPSHIRE COUNCIL ODR ACCOUNT,2800
Children & Young Peo,Counsel Fees,Professional Fees,1906214921,45348,****REDACTED COMMERCIALLY SENSITIVE****,2703.3
Children & Young Peo,Agency Admin/Cleric,Professional,5101096925,45348,ATTENTI LTD,2433.75
Children & Young Peo,Agency Admin/Cleric,Professional,5101096875,45348,ATTENTI LTD,2401.3
Children & Young Peo,Agency Admin/Cleric,Professional,5101096876,45348,ATTENTI LTD,2401.3
Children & Young Peo,Agency Admin/Cleric,Professional,5101096880,45348,ATTENTI LTD,2401.3
Children & Young Peo,Agency Admin/Cleric,Professional,5101096891,45348,ATTENTI LTD,2401.3
Children & Young Peo,Agency Admin/Cleric,Professional,5101096903,45348,ATTENTI LTD,2401.3
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214797,45348,CHURCHTOWN PRIMARY SCHOOL,2400
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1906214804,45348,LORD DERBY ACADEMY,2400
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1906214850,45348,TURNING POINT NW LTD,2400
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214939,45348,****REDACTED PERSONAL INFO****,2331.84
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214961,45348,****REDACTED PERSONAL INFO****,2076
Children & Young Peo,Agency Admin/Cleric,Professional,5101096868,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096869,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096871,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096872,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096873,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096877,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096878,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096879,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096882,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096883,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096884,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096885,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096887,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096888,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096889,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096890,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096892,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096893,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096894,45348,ATTENTI LTD,2052.02
Children & Young Peo,Agency Admin/Cleric,Professional,5101096896,45348,ATTENTI LTD,2052.02
Neighbourhoods,Environmental Servs.,R & M Private Contractors,1906214902,45348,MATHER AVE B/C,2000
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214962,45348,****REDACTED PERSONAL INFO****,1718.72
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215103,45348,THE FRANCES TAYLOR FOUNDATION LIVER,1700.72
Children & Young Peo,Printing (Outside),Printing & Office Expenses,1906214772,45348,FAZAKERLEY (NURSERY ) CHILDRENS CEN,1694.35
Finance & Resources,Conference (General),Expenses,5101096855,45348,WEIGHTMANS LLP,1676.5
Children & Young Peo,Agency Admin/Cleric,Professional,5101096870,45348,ATTENTI LTD,1663.8
Children & Young Peo,Agency Admin/Cleric,Professional,5101096881,45348,ATTENTI LTD,1663.8
Children & Young Peo,Agency Admin/Cleric,Professional,5101096886,45348,ATTENTI LTD,1663.8
Children & Young Peo,Agency Admin/Cleric,Professional,5101096895,45348,ATTENTI LTD,1663.8
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214776,45348,OAKDENE PRIMARY SCHOOL - SCHOOL DEL,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214779,45348,PREES CE PRIMARY SCHOOL,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214780,45348,RAINFORD BROOK LODGE PRIMARY SCHOOL,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214787,45348,ST THERESA'S CATHOLIC PRIMARY,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214802,45348,KNOWSLEY LANE PRIMARY,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214807,45348,ST LUKE’S CATHOLIC PRIMARY SCHOOL,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214821,45348,RAINBOW EDUCATION MAT T/A TOWNFIELD,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214842,45348,BECKSTONE PRIMARY,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214854,45348,ORRELL ST JAMES CATHOLIC PRIMARY,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214868,45348,LEGH VALE PRIMARY SCHOOL,1600
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214871,45348,ST OSWALD'S CATHOLIC PRIMARY,1600
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1906214866,45348,RAINHILL HIGH SCHOOL,1600
Children & Young Peo,Other Sch Pays-Secon,Agency & Contract Services,1906214869,45348,TAUHEEDUL ISLAM BOYS HIGH SCHOOL,1600
Children & Young Peo,Other Sch Pays-Speci,Agency & Contract Services,1906214840,45348,KEDLESTON (WINGS EDUCATION) LIMITED,1600
Children & Young Peo,Other Sch Pays-Acade,Agency & Contract Services,1906214796,45348,BIRKENHEAD HIGH SCHOOL ACADEMY,1600
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215139,45348,COMMUNITY INTEGRATED CARE,1466.53
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214862,45348,BINLEY WOODS PRIMARY SCHOOL WCC,1400
Children & Young Peo,Other Sch Pays-Prima,Agency & Contract Services,1906214883,45348,COBBS BROW SCHOOL FUND,1400
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214965,45348,IMAGINE,1337.21
Children & Young Peo,Agency Admin/Cleric,Professional,5101096874,45348,ATTENTI LTD,1247.85
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101096866,45348,LIVERPOOL COMMUNITY TRANSPORT,1200
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214940,45348,****REDACTED PERSONAL INFO****,1161.43
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215138,45348,COMMUNITY INTEGRATED CARE,1144.81
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214960,45348,****REDACTED PERSONAL INFO****,1080.8
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906214999,45348,IMAGINE,1056.7
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215170,45348,COMMUNITY INTEGRATED CARE,1048.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1906215171,45348,COMMUNITY INTEGRATED CARE,1048.95
Children & Young Peo,Misc. Expenses - Gen,General Services Expenses,1906214747,45348,****REDACTED PERSONAL INFO****,1000
Neighbourhoods,Charges For Services,Fees and Charges,1906214923,45348,MERKUR SLOTS UK LIMITED,1000
