Beneficiary,Transactiosn Date,TransNo,Procurement,Purpose of Spend,Organisation,Amount
AMAZON  202-2534897-91,01/10/2024,31171292,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,41.92
AMAZON  202-2534897-91,01/10/2024,31171373,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,104.80
AMAZON  202-2534897-91,01/10/2024,31173467,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,20.96
AMAZON  202-8880897-25,01/10/2024,31171276,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,70.10
AMAZON  202-8880897-25,01/10/2024,31171352,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,238.91
AMAZON  202-8880897-25,01/10/2024,31171370,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,42.08
AMAZON  204-5327141-97,01/10/2024,31173773,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,115.81
AMAZON  V58XF3W55,01/10/2024,31173794,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,3.99
AMZNMktplace,01/10/2024,31176144,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,-7.49
AMZNMktplace 0A63J61M5,01/10/2024,31175890,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,40.98
AMZNMktplace 9M1CA5Z85,01/10/2024,31176138,"Supplies, Services & Other Expenses",Computer Hardware,Greater Manchester Combined Authority,10.93
AMZNMktplace WO0P34UQ5,01/10/2024,31175860,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,80.94
BPWORKS INC,01/10/2024,31171190,"Supplies, Services & Other Expenses",Other Communications Equipment,Greater Manchester Combined Authority,228.42
BRAND24.COM,01/10/2024,31171261,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,"1,126.22"
HTTP://PMSE.OFCOM.ORG.,01/10/2024,31171443,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,135.00
Intuit Ltd Mailchimp,01/10/2024,31173764,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,5.43
Intuit Ltd Mailchimp,01/10/2024,31176121,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.97
Intuit Ltd Mailchimp,01/10/2024,31176130,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.40
Intuit Ltd Mailchimp,01/10/2024,31169188,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,104.37
Intuit Ltd Mailchimp,01/10/2024,31169300,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,106.62
Intuit Ltd Mailchimp,01/10/2024,31171138,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,128.23
KRYSTAL  I1878919,01/10/2024,31169303,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,14.39
KRYSTAL  I1899537,01/10/2024,31169252,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,9.59
KRYSTAL  I1901736,01/10/2024,31171253,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,23.98
KRYSTAL  I1915908,01/10/2024,31171410,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,9.59
KRYSTAL  I1940038,01/10/2024,31173620,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,71.94
KRYSTAL  I1940869,01/10/2024,31173581,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,9.59
PADLET  AZQTFUUJURIFY1,01/10/2024,31173459,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,89.99
PAYPAL  CENTRALCTRL,01/10/2024,31171311,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,12.38
PAYPAL  CENTRALCTRL,01/10/2024,31173600,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,12.18
TIMES NEWSPAPERS LTD,01/10/2024,31169281,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TIMES NEWSPAPERS LTD,01/10/2024,31171418,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TIMES NEWSPAPERS LTD,01/10/2024,31173586,"Supplies, Services & Other Expenses",Periodicals & Magazines,Greater Manchester Combined Authority,26.00
TOOLSTATION UK,01/10/2024,31176053,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,80.48
TWITTER PAID FEATURES,01/10/2024,31169231,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
TWITTER PAID FEATURES,01/10/2024,31169246,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
TWITTER PAID FEATURES,01/10/2024,31169267,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
VENTURE MARKETING,01/10/2024,31171449,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,"1,593.00"
VENTURE MARKETING,01/10/2024,31173623,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,"1,593.00"
VMO Vimeo Premium,01/10/2024,31171267,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,840.00
X CORP. PAID FEATURES,01/10/2024,31171179,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171295,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171354,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31171408,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173465,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173617,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173628,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
X CORP. PAID FEATURES,01/10/2024,31173681,"Supplies, Services & Other Expenses",Digital,Greater Manchester Combined Authority,8.00
ADK Security Limited,02/10/2024,31175986,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,39.60
ADK SECURITY LTD,02/10/2024,31175819,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,66.00
ADK SECURITY LTD,02/10/2024,31175848,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,5.40
ADK SECURITY LTD,02/10/2024,31175934,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,63.20
ELECTRIC CENTRE,02/10/2024,31175980,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,20.63
ELECTRIC CENTRE,02/10/2024,31176020,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,28.56
ELECTRIC CENTRE,02/10/2024,31176123,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,74.14
LPD ELECTRICAL WHOLE 0,02/10/2024,31175875,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,149.72
LPD ELECTRICAL WHOLESA,02/10/2024,31175870,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,34.68
SCREWFIX DIR LTD,02/10/2024,31175824,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,59.99
ICON SPORTS GROUP,03/10/2024,31175868,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.88
ICON SPORTS GROUP,03/10/2024,31176080,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,120.10
INST OF ADV MOTORI,03/10/2024,31175825,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
INST OF ADV MOTORI,03/10/2024,31175878,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
INST OF ADV MOTORI,03/10/2024,31175985,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,47.00
WELCOME BREAK KFC-NTH,03/10/2024,31175836,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,21.98
AVANTI MTIS,07/10/2024,31175933,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,30.00
BLACK SWAN,07/10/2024,31173580,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,26.95
BURGER AND BEYOND,07/10/2024,31176044,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,28.29
COSTA COFFEE 43011937,07/10/2024,31176129,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,8.20
DIRECT FENCING & GATES,07/10/2024,31173559,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,138.60
NCP MANCHESTER OXFFORD,07/10/2024,31176018,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
NET WORLD SPORTS,07/10/2024,31175880,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,395.93
Premier Inn,07/10/2024,31176031,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,213.98
Premier Inn,07/10/2024,31176078,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,427.96
Premier Inn,07/10/2024,31176083,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,427.96
SCREWFIX DIR LTD,07/10/2024,31175925,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,74.11
TFL TRAVEL CH,07/10/2024,31175904,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
TFL TRAVEL CH,07/10/2024,31176055,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
YOURPARKINGSPACE.CO.UK,07/10/2024,31176088,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,27.49
AMZNMktplace MG4IG9F95,09/10/2024,31175899,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,40.82
ANIMOTO INC,09/10/2024,31173462,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,39.99
ASDA STORES,09/10/2024,31173788,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,14.16
CARD FACTORY,09/10/2024,31173732,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,21.96
Chesford Grange Hotel,09/10/2024,31176114,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.90
HOLLYWOOD BOWL,09/10/2024,31173679,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,154.00
M6 TOLL,09/10/2024,31176019,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,09/10/2024,31176035,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
PARADISE ISLAND (GLASG,09/10/2024,31173616,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,63.00
SumUp   Ribbons & Bows,09/10/2024,31173660,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,40.50
THE RANGE,09/10/2024,31173590,"Supplies, Services & Other Expenses",Hospitality,Greater Manchester Combined Authority,39.84
WM MORRISONS STORE,09/10/2024,31176052,"Supplies, Services & Other Expenses",Food,Greater Manchester Combined Authority,20.00
AMZNMktplace Q72P18445,10/10/2024,31176065,"Supplies, Services & Other Expenses",Cleaning Equipment,Greater Manchester Combined Authority,30.97
SCREWFIX DIR LTD,10/10/2024,31176036,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,191.99
SCREWFIX DIR LTD,10/10/2024,31176100,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,119.99
WICKES STOCKPORT,10/10/2024,31175912,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,8.80
AMAZON  VP16O4YM5,11/10/2024,31175918,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-14.95
Canva  04262-52967002,11/10/2024,31175830,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
CANVA  I04231-46962969,11/10/2024,31173533,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
LUMIE.COM,11/10/2024,31175902,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,207.50
TFL TRAVEL CH,11/10/2024,31175908,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,2.80
TFL TRAVEL CH,11/10/2024,31175920,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.40
AMAZON.CO.UK,14/10/2024,31175895,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-14.99
AMZNMktplace HK0ZY3YK5,14/10/2024,31175842,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,21.35
AMZNMktplace 318OR92Q5,15/10/2024,31175896,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,116.69
AMZNMktplace 9B4RW0N85,15/10/2024,31176075,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,116.63
AMZNMktplace ZA4F35GX5,15/10/2024,31175862,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,44.87
EVENT LISTING FEE,15/10/2024,31175944,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,19.00
STONEWALL EQUALIT,15/10/2024,31175816,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,374.55
UNITED FLAGS,15/10/2024,31175976,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,147.00
WWW.AMAZON.  OJ4XF9BS5,15/10/2024,31175883,"Supplies, Services & Other Expenses",Operational Equipment Consumables,Greater Manchester Combined Authority,29.92
AMAZON  026-3601075-64,16/10/2024,31173666,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,22.50
AMAZON  1D8IO7IS5,16/10/2024,31173446,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,34.98
AMAZON  328F65345,16/10/2024,31176090,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,69.59
AMAZON,16/10/2024,31173458,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,20.95
AMAZON,16/10/2024,31173805,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,13.15
AMAZON,16/10/2024,31173715,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,83.98
AMAZON,16/10/2024,31173779,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,27.98
AMAZON,16/10/2024,31173440,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,14.17
AMAZON,16/10/2024,31173455,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,32.55
AMAZON,16/10/2024,31173573,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,58.57
AMAZON,16/10/2024,31173576,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,7.23
AMAZON,16/10/2024,31173595,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,15.70
AMAZON,16/10/2024,31173697,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,43.11
AMAZON,16/10/2024,31173797,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,41.92
AMAZON  G14UO4P25,16/10/2024,31175947,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.48
AMAZON,16/10/2024,31173790,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,34.07
AMAZON,16/10/2024,31173513,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,24.99
AMAZON  K70HE80C5,16/10/2024,31173621,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.98
AMAZON,16/10/2024,31173490,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,7.23
AMAZON,16/10/2024,31173823,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,22.21
AMAZON  OM5ZK7N35,16/10/2024,31173711,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,16.65
AMAZON,16/10/2024,31173591,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,20.95
AMAZON  SG7R62L45,16/10/2024,31173613,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,16.46
AMAZON  U62RS3CV5,16/10/2024,31173745,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,30.98
AMAZON  UN0U46QP5,16/10/2024,31175962,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,17.47
Amazon.co.uk 0D4AL31S5,16/10/2024,31175945,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,22.73
Amazon.co.uk CB5H160T5,16/10/2024,31176061,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,66.00
Amazon.co.uk CH2IK4YX5,16/10/2024,31175833,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,25.08
Amazon.co.uk XE3XC4GP5,16/10/2024,31175942,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,9.90
AMZNMktplace 613RG3105,16/10/2024,31176107,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,17.38
AMZNMktplace 6V4IE59K5,16/10/2024,31173688,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,17.99
AMZNMktplace 6Z51I2EB5,16/10/2024,31176041,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.98
AMZNMktplace 750KS7BB5,16/10/2024,31176116,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,60.55
AMZNMktplace OF70E3TE5,16/10/2024,31173606,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,10.08
AMZNMktplace W56MX6J55,16/10/2024,31176028,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,39.89
AMZNMktplace YY6D54DI5,16/10/2024,31176054,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,61.36
BROTHER INT EUROPE LTD,16/10/2024,31173527,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,35.28
BROTHER INT EUROPE LTD,16/10/2024,31173665,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,106.64
EFIXINGS LTD,16/10/2024,31175950,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,55.68
KIA MOTORS (UK) LT,16/10/2024,31173473,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,-416.29
METROL SPRINGS LIMITED,16/10/2024,31176143,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,65.63
OIL SPILL PRODUCT,16/10/2024,31175958,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,129.60
OIL SPILL PRODUCT,16/10/2024,31176001,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,72.60
PARCEL MONKEY,16/10/2024,31173557,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,13.79
PAYPAL  GLUEPEOPLE,16/10/2024,31173505,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,9.61
PAYPAL  GLUEPEOPLE,16/10/2024,31173662,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,29.27
PAYPAL  JENNINGSCVS,16/10/2024,31176097,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,105.47
PENTAGON ST HELENS,16/10/2024,31173481,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,257.58
POST OFFICE COUNTER,16/10/2024,31175905,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,3.69
RADWELL INTERNATIONAL,16/10/2024,31173496,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,73.99
SHEET MATERIALS W,16/10/2024,31175937,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,681.60
SOUTHCO MANUFACTURING,16/10/2024,31173563,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,160.50
STIKON,16/10/2024,31173543,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,25.39
TN ROBINSON,16/10/2024,31175826,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,53.66
WWW.AMAZON  MICK PINNA,16/10/2024,31173566,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,18.98
www.conrad.com,16/10/2024,31173801,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,58.15
WWW.GSPRODUCTS.CO.UK,16/10/2024,31175891,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,237.59
AMAZON,17/10/2024,31173551,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,26.99
AMZNMktplace YU7XE97I5,17/10/2024,31173774,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,44.95
TRYBOOKING Swinburne,17/10/2024,31164526,Indirect Employee Allowances,Training Course Fees,Greater Manchester Combined Authority,269.79
TRYBOOKING Swinburne,17/10/2024,31164598,Indirect Employee Allowances,Training Course Fees,Greater Manchester Combined Authority,269.79
LEONARDO HTL SOUTHAMPT,18/10/2024,31176046,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,23.60
M&S SIMPLY FOOD,18/10/2024,31175822,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,2.85
M6 TOLL,18/10/2024,31176043,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,18/10/2024,31176026,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
MOTO GREGGS,18/10/2024,31175874,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,3.00
SPAR NORTON CANES MSA,18/10/2024,31175864,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,11.63
AMAZON  JT7MP3I85,21/10/2024,31176048,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,270.46
M6 TOLL,21/10/2024,31176099,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
M6 TOLL,21/10/2024,31176106,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
MCDONALDS,21/10/2024,31175929,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,19.17
SPORTSBIKESHOP LTD,21/10/2024,31175967,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-119.96
SQ  MERSEYSIDE FIRE &,21/10/2024,31176059,"Supplies, Services & Other Expenses",Overseas Response Team,Greater Manchester Combined Authority,4.80
WELCOME BREAK-CORLEY S,21/10/2024,31176045,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.95
Amazon.co.uk T63VP48N4,22/10/2024,31178759,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,4.01
AMZNMktplace TH8J44NV4,22/10/2024,31178677,"Supplies, Services & Other Expenses",Uniform,Greater Manchester Combined Authority,36.99
AMZNMktplace UV6P15IB5,22/10/2024,31178623,"Supplies, Services & Other Expenses",Uniform,Greater Manchester Combined Authority,2.99
ASDA STORES,22/10/2024,31178542,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,43.09
BOOKING.COM,22/10/2024,31178724,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,679.44
BP ROTHERSTHORPE NORTH,22/10/2024,31178418,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,80.01
DELIFOODS,22/10/2024,31178582,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.90
EDGEWATER GRILL,22/10/2024,31178689,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,28.85
FILIPPIS PIZZA GROTTO,22/10/2024,31178601,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,42.46
M6 TOLL,22/10/2024,31178736,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
MARKS&SPENCER PLC SF,22/10/2024,31178594,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,65.18
NCP LIMITED,22/10/2024,31178553,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,17.95
NCP MANCHESTER OXFFORD,22/10/2024,31178794,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,7.50
RONTEC NORDEN,22/10/2024,31178714,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,55.62
SQ  SAN DIEGO TAXI SER,22/10/2024,31178863,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,11.88
STARBUCKS MANCHESTER F,22/10/2024,31178423,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,7.29
TIMPSON LIMITED,22/10/2024,31178513,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,9.00
TST  BREAKFAST REPUBLI,22/10/2024,31178412,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,32.31
TST  BREAKFAST REPUBLI,22/10/2024,31178853,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,31.38
TST  FIG TREE - EAST V,22/10/2024,31178865,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,33.08
TST  KARINA´S CANTINA,22/10/2024,31178620,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,50.91
AMAZON  T62707704,23/10/2024,31178600,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,10.97
AMAZON  TA6YG3NB4,23/10/2024,31178706,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,86.58
AMAZON  TH31N88Q4,23/10/2024,31178751,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,37.90
AMAZON  TH3HY7D94,23/10/2024,31178521,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,5.38
AMAZON  TQ8324AI4,23/10/2024,31178493,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,87.96
Amazon.co.uk TQ99Q8ET4,23/10/2024,31178452,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,22.95
AMZNMktplace DE7MJ3795,23/10/2024,31178735,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,63.99
