Line,Clearance Date,Reference,Type,Value,Supplier or Redacted Statement,Supplier No.,Directorate/Balance Sheet Heading,Area of Spend,Service Level,Expense Code,Expense Description,,
1,2025-03-17 00:00:00,0030276583,INV,9000,BDI SECURITIES UK LTD,14315500,NET ASSETS,Current Assets,Cash and Cash Equivalents,B2000,Cap Grant Exp,X0402B2000507000,PTY CASH/FLOAT Exp BT Pet Cas
2,2025-03-13 00:00:00,0014903173,INV,525,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501016,PUBLIC LIABIL PL Ins Claim
3,2025-03-25 00:00:00,0014903219,INV,555,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501047,PUBLIC LIABIL PL Ins Claim
4,2025-03-13 00:00:00,0014903176,INV,11901.08,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501130,PUBLIC LIABIL PL Ins Claim
5,2025-03-17 00:00:00,0014903192,INV,3053.1,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501172,PUBLIC LIABIL PL Ins Claim
6,2025-03-18 00:00:00,0014903203,INV,268,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501264,PUBLIC LIABIL PL Ins Claim
7,2025-03-17 00:00:00,0014903190,INV,1480,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501275,PUBLIC LIABIL PL Ins Claim
8,2025-03-17 00:00:00,0014903191,INV,470,CRAWFORD & COMPANY ADJUSTERS,04094100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501276,PUBLIC LIABIL PL Ins Claim
9,2025-03-18 00:00:00,0014903204,INV,2220,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0800B2000501286,PUBLIC LIABIL PL Ins Claim
10,2025-03-25 00:00:00,0014903218,INV,810,KENNEDYS,03241100,NET ASSETS,Long Term Liabilities,Provisions (Long Term),B2000,Cap Grant Exp,X0830B2000506520,OFF INDEMNITY OI Ins Claim
11,2025-03-31 00:00:00,0014903257,INV,11889.05,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X0900B2000650244,CONTRA ACCOUNT ExpFootwayCros
12,2025-03-06 00:00:00,0014903109,INV,6115.56,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X0900B2000650244,CONTRA ACCOUNT ExpFootwayCros
13,2025-03-27 00:00:00,0014903240,INV,1116,EDENRED,02686200,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X0900B2000650290,CONTRA ACCOUNT ExpEdenredAdmn
14,2025-03-10 00:00:00,0016972667,INV,2000,KENT AUTISTIC TRUST,00436400,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X0900B2000650377,CONTRA ACCOUNT CONTRA A/C EXP
15,2025-03-20 00:00:00,0041349909,INV,77110.55,MEDWAY NORSE LTD,03759400,NET ASSETS,Current Liabilities,Short Term Creditors,B2000,Cap Grant Exp,X0901B2000650508,TRADED SERVICS EXP MED NORSE
16,2025-03-25 00:00:00,0041350547,INV,5885,ARRIVA KENT & SURREY LTD,01402900,NET ASSETS,Current Assets,Inventories,B2000,Cap Grant Exp,X1002B2000660034,STOCK A/C EXP CSCBusPass
17,2025-03-06 00:00:00,0014903109,INV,11126.23,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700178,RECH WK O P&T RWO Exp P&T
18,2025-03-31 00:00:00,0014903257,INV,986.88,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700178,RECH WK O P&T RWO Exp P&T
19,2025-03-06 00:00:00,0014903109,INV,2291.44,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700200,RECH WK O P&T RWO Exp P&T
20,2025-03-31 00:00:00,0014903257,INV,1535.21,VOLKER HIGHWAYS LTD,80156300,NET ASSETS,Current Assets,Short Term Debtors,B2000,Cap Grant Exp,X1101B2000700200,RECH WK O P&T RWO Exp P&T
