Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Children and Young Peoples Services,Head of Education and Skills,Transport,230012,Contract Hire,24/05/2024,4273484-10437,"œ1,710.22",STANLEY TRAVEL (NORTH EAST) LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,24/05/2024,4273484-10438,"œ1,402.99",STANLEY TRAVEL (NORTH EAST) LTD.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,342053,Computers and Communications,24/05/2024,4273488-SI-3143,"œ7,100.00",STOPFORD INFORMATION SYSTEMS LTD.
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,24/05/2024,4273496-5030SUTTLE-APR24,"œ3,600.00",TED WILFORD COACHES.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,24/05/2024,4273497-19845,œ510.00,TEESDALE MERCURY LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259984,"œ1,322.43",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259985,"œ1,484.00",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259986,"œ1,313.50",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259989,"œ1,401.63",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259990,"œ1,578.29",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259992,"œ1,429.66",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259993,"œ1,406.97",TYNEDALE ROADSTONE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,24/05/2024,4273516-259994,œ990.00,TYNEDALE ROADSTONE LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,24/05/2024,4273521-INV10009738,"œ3,005.46",UNIVERSITY OF SUNDERLAND.
Resources BK0010,Digital Services,Supplies and Services,344039,Telephones,24/05/2024,4273524-291229-195,"œ5,011.20",VIRGIN MEDIA LTD.
Resources BK0010,Digital Services,Supplies and Services,344039,Telephones,24/05/2024,4273524-915357-173,"œ7,460.83",VIRGIN MEDIA LTD.
Resources BK0010,Digital Services,Supplies and Services,344039,Telephones,24/05/2024,4273524-916161-169,"œ1,193.63",VIRGIN MEDIA LTD.
Resources BK0010,Digital Services,Supplies and Services,344015,Telephones,24/05/2024,4273526-SM00630,"œ1,813.00",VODAFONE CORPORATE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043932,œ561.45,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043948,œ667.48,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043949,œ667.48,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043955,œ667.48,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043961,œ667.48,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043964,œ877.50,WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043966,"œ1,170.54",WERNICK HIRE LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,24/05/2024,4273528-240043967,œ708.18,WERNICK HIRE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,338045,Services,24/05/2024,4273532-3797123,"œ37,510.40",WOMBLE BOND DICKINSON (UK) LLP.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,364359,Grants to Voluntary Organisations,24/05/2024,4273536-0000670568,"œ1,170.00",YOUR CO-OP LITTLE PIONEERS NURSERY & PRE SCHOOL.
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,24/05/2024,4273223-02407,"œ3,428.34",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,24/05/2024,4273251-100524,"œ1,827.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Business Durham,Supplies and Services,338066,Services,24/05/2024,4273378-654,œ597.76,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,24/05/2024,4273392-KC-4035,œ645.99,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230010,Contract Hire,24/05/2024,4273399-318,"œ1,721.49",REDACTED - PAYMENT TO INDIVIDUAL
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338025,Services,24/05/2024,4273406-010524,œ650.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230006,Contract Hire,24/05/2024,4273407-012,"œ1,250.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230013,Contract Hire,24/05/2024,4273408-3010-0424,"œ1,440.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,24/05/2024,4273408-A219-0424,"œ1,871.52",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,24/05/2024,4273437-A059APR24,"œ3,892.18",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,24/05/2024,4273456-140,"œ2,667.71",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,24/05/2024,4273485-5290-APR24,"œ1,250.88",REDACTED - PAYMENT TO INDIVIDUAL
Resources BK0010,Digital Services,Supplies and Services,344033,Telephones,28/05/2024,4273573-0790385784,œ580.80,BT GLOBAL SERVICES.*
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384199,Miscellaneous Expenses,28/05/2024,4273604-563330,"œ2,520.00",COUNTRYWIDE GROUNDS MAINTENANCE LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,28/05/2024,4273638-INV-0012,"œ1,500.00",DURHAM HOME SOLUTIONS LTD.
Neighbourhoods and Climate Change,Partnerships & Community Engagement Div.,Supplies and Services,384086,Miscellaneous Expenses,28/05/2024,4273659-VOUCHERCHAP01-24,œ500.00,ESH WINNING COLLIERY BANNER GROUP.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,28/05/2024,4273694-3079,"œ1,020.00",HALDO DEVELOPMENTS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,28/05/2024,4273710-10717,"œ1,800.00",ICAM ARCHIVE SYSTEMS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,28/05/2024,4273750-COM00429,"œ3,875.00",MAINTAIN UK COMMERCIAL LTD.
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,28/05/2024,4273783-INV-4385,"œ1,805.00",NORTH EAST DOOR SYSTEMS LTD.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,332029,Printing Stationery and Gen Off Exps,28/05/2024,4273544-PSI0253065,"œ65,371.87",ADARE SEC LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,28/05/2024,4273546-35932641,œ570.24,AGGREGATE INDUSTRIES UK LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,28/05/2024,4273547-CD971718741,œ633.60,AGROVISTA UK LTD FORMERLY SHERRIFF AMENITY.
Adult and Health Services,Head of Adults,Supplies and Services,308011,Furniture,28/05/2024,4273549-181551,œ945.00,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,308011,Furniture,28/05/2024,4273549-181561,œ957.00,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,308011,Furniture,28/05/2024,4273549-181562,"œ1,197.00",ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,28/05/2024,4273552-00-020374,"œ4,500.00",ALPHA RECOVERY LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,312009,Newspapers books and periodicals E312,28/05/2024,4273557-7031006,œ670.92,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,28/05/2024,4273557-7035076,œ559.26,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,28/05/2024,4273557-7036502,œ565.92,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,28/05/2024,4273557-7038950,œ605.17,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,28/05/2024,4273557-7038951,œ570.06,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,28/05/2024,4273557-7039020,œ673.10,ASKEWS & HOLTS LIBRARY SERVICES LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338027,Services,28/05/2024,4273560-400180429,"œ28,891.69",BAM NUTTALL LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,28/05/2024,4273561-46067687,"œ2,433.53",BELL TRUCK SALES LTD T/A BELL TRUCK & VAN.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338057,Services,28/05/2024,4273565-2810,œ745.00,BIOFORTUNA LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,28/05/2024,4273574-INV061047,"œ6,750.00",CAREHOME SELECTION LTD (CHS HEALTHCARE).
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,28/05/2024,4273575-140018404,"œ1,287.00",CARLISLE CONSTRUCTION MATERIALS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,28/05/2024,4273581-123672,œ813.13,CG ROBINSON & SONS LTD.
Resources BK0010,Digital Services,Stock A926,926900,Stock in hand-Inventory system,28/05/2024,4273618-7403005846,œ514.20,DELL COMPUTER CORPORATION LTD.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,28/05/2024,4273619-502801,"œ1,128.06",DENNIS EAGLE LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,28/05/2024,4273621-GB02CSI049833,œ618.00,DIRECT HEALTHCARE GROUP LTD.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,28/05/2024,4273637-633,"œ7,500.00",DURHAM COUNTY CARERS SUPPORT.
Neighbourhoods and Climate Change,Highways,Premises,120009,Energy Costs,28/05/2024,4273646-000018844342,"œ5,809.90",EDF ENERGY CUSTOMERS PLC T/A EDF ENERGY.
Neighbourhoods and Climate Change,Highways,Premises,120009,Energy Costs,28/05/2024,4273646-000019202084,"œ219,532.46",EDF ENERGY CUSTOMERS PLC T/A EDF ENERGY.
