Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,03/01/2023,4085183-41619802,"œ1,022.48",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,05/01/2023,4085733-41656746,œ561.67,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Economic Development Level C,Supplies and Services,336005,Advertising E336,06/01/2023,4086020-41657087,"œ2,250.00",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Adult and Health Services,Public Health CC0450,Supplies and Services,336005,Advertising E336,06/01/2023,4086087-22780,œ700.00,SOUTH WEST DURHAM NEWS CIC.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,336005,Advertising E336,06/01/2023,4086111-2661B,œ729.00,THREE MOTION MEDIA LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,09/01/2023,4086438-41658898,œ693.33,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,09/01/2023,4086438-41670367,"œ1,088.31",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,336005,Advertising E336,09/01/2023,4086528-INV-6448,"œ1,857.50",STEVE DAVIDSON ADVERTISING LTD T/A SD ADVERTISING LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,336005,Advertising E336,09/01/2023,4086528-INV-6449,œ758.50,STEVE DAVIDSON ADVERTISING LTD T/A SD ADVERTISING LTD.
Adult and Health Services,Public Health CC0450,Supplies and Services,336005,Advertising E336,10/01/2023,4087168-8094988,"œ3,000.00",BAUER RADIO LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,12/01/2023,4088087-41707874,œ561.67,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,336005,Advertising E336,12/01/2023,4088087-41708145,œ775.01,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,12/01/2023,4088180-17466,œ514.80,TEESDALE MERCURY LTD.
Regeneration Economy and Growth,Economic Development Level C,Supplies and Services,336005,Advertising E336,16/01/2023,4088786-57031,"œ1,830.56",SMART DISTBRIBUTION SOLUTIONS LTD.
Regeneration Economy and Growth,Communications Management,Supplies and Services,336005,Advertising E336,20/01/2023,4091866-41723605,"œ6,000.00",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,20/01/2023,4091866-41723735,œ627.50,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,336005,Advertising E336,23/01/2023,4092107-19835,"œ2,000.00",GARDINER RICHARDSON LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,23/01/2023,4092194-41775850,œ956.65,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,336005,Advertising E336,23/01/2023,4092194-41775962,œ627.50,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,REG - Central Costs,Supplies and Services,336005,Advertising E336,23/01/2023,4092194-41779621,"œ1,050.00",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,23/01/2023,4092270-INV-6459,"œ1,494.00",STEVE DAVIDSON ADVERTISING LTD T/A SD ADVERTISING LTD.
Regeneration Economy and Growth,Business Durham CL0850,Supplies and Services,336005,Advertising E336,26/01/2023,4093539-116950518,"œ1,182.58",COSTAR UK LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,26/01/2023,4093590-AD3440,œ750.00,HEMMING GROUP LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,30/01/2023,4094210-41817623,œ561.67,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,30/01/2023,4094210-41817627,œ627.50,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Regeneration Economy and Growth,Communications Management,Supplies and Services,336005,Advertising E336,30/01/2023,4094210-41817735,"œ2,250.00",NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,336005,Advertising E336,30/01/2023,4094210-41818486,œ627.50,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,05/01/2023,4085636-2466709,"œ73,740.91",GEOMETRIC RESULTS INTERNATIONAL.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,06/01/2023,4086101-0000481909,"œ1,374.00",TEACHERACTIVE LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,11/01/2023,4087603-2466488,"œ351,646.51",GEOMETRIC RESULTS INTERNATIONAL.
Regeneration Economy and Growth,Planning & Housing,Employees,080025,Agency Staff,11/01/2023,4087603-2466930,"œ215,538.94",GEOMETRIC RESULTS INTERNATIONAL.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,13/01/2023,4088277-21133395,"œ2,966.16",BROOK STREET UK LTD T/A BS SOCIAL CARE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,13/01/2023,4088277-21133396,"œ2,966.16",BROOK STREET UK LTD T/A BS SOCIAL CARE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,13/01/2023,4088277-21133398,"œ2,966.16",BROOK STREET UK LTD T/A BS SOCIAL CARE.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,16/01/2023,4088805-0000484277,œ549.60,TEACHERACTIVE LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,17/01/2023,4089437-2467151,"œ145,823.57",GEOMETRIC RESULTS INTERNATIONAL.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,17/01/2023,4089518-0000484397,œ824.40,TEACHERACTIVE LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,18/01/2023,4090861-23981,"œ5,932.50",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,18/01/2023,4090861-24021,"œ1,905.00",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,18/01/2023,4090861-24063,"œ10,350.00",CASTLE VIEW GROUP TRAINING.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,23/01/2023,4092284-0000485313,"œ1,374.00",TEACHERACTIVE LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Employees,080025,Agency Staff,26/01/2023,4093576-2467372,"œ140,771.70",GEOMETRIC RESULTS INTERNATIONAL.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Employees,080025,Agency Staff,30/01/2023,4094302-0000486883,"œ1,374.00",TEACHERACTIVE LTD.
Resources BK0010,Resources Management CK0450,Premises,150005,Apportioned Exps of Operational Blds,04/01/2023,4085464-INV-1101,"œ1,371.15",OM CHANGE & TRANSFORMATION LTD.
Resources - C A C,Resources - C A C- Level C,Premises,150005,Apportioned Exps of Operational Blds,11/01/2023,4087724-91468112,"œ1,440.00",NEC SOFTWARE SOLUTIONS UK LTD.
Adult and Health Services,Head of Adults,Premises,150005,Apportioned Exps of Operational Blds,12/01/2023,4087939-JOBO01/20866,œ695.00,COLIN JOBLING T/A RAINBOW INTERNATIONAL.
Adult and Health Services,Head of Adults,Premises,150005,Apportioned Exps of Operational Blds,12/01/2023,4087939-JOBO01/20880,œ750.00,COLIN JOBLING T/A RAINBOW INTERNATIONAL.
Adult and Health Services,Head of Adults,Premises,150005,Apportioned Exps of Operational Blds,13/01/2023,4088296-JOB001/20711,œ795.00,COLIN JOBLING T/A RAINBOW INTERNATIONAL.
Resources BK0010,Transactional & Customer Services,Premises,150005,Apportioned Exps of Operational Blds,13/01/2023,4088367-11032941,"œ10,000.00",HOME GROUP LTD FORMERLY STONHAM HOUSING ASSOCIATION LTD.
Neighbourhoods and Climate Change,Highways,Premises,150015,Apportioned Exps of Operational Blds,18/01/2023,4090870-209072,œ724.46,CLEE HILL PLANT LTD.
