Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/10/2024,4320365-RES-09-2024-567,"œ18,213.40",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320458-479,"œ2,395.25",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338066,Services,01/10/2024,4320386-INV-1017,œ640.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/10/2024,4320419-4100892743,œ977.28,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/10/2024,4320427-INV-0196,"œ1,500.00",REDACTED - PAYMENT TO INDIVIDUAL
Chief Executives Office,Communications Management,Supplies and Services,336008,Advertising E336,01/10/2024,4320432-3783,œ550.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,01/10/2024,4320485-RES-09-2024-568,"œ31,208.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Economic Development CL0150,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,01/10/2024,4320343-VOUCHER24NB-GAMP009,"œ3,000.00",ALP ACTIVE LTD.
Adult and Health Services,Public Health CC0450,Third Party Payments,460803,Contract Payments,01/10/2024,4320341-INV11063,"œ4,624.20",ADFERIAD RECOVERY LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/10/2024,4320348-0000040794,"œ1,503.00",AQUAJET DRAIN CLEANING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/10/2024,4320349-0000040714,"œ1,950.00",AQUAJET DRAIN CLEANING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/10/2024,4320349-0000040750,"œ2,437.50",AQUAJET DRAIN CLEANING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/10/2024,4320349-0000040781,"œ1,462.50",AQUAJET DRAIN CLEANING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/10/2024,4320349-0000040804,"œ2,437.50",AQUAJET DRAIN CLEANING LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320351-10126,"œ65,043.63",ATLAS WASHROOM SYSTEMS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320352-2323,"œ9,600.00",AWR ROOFING & ALUMIN RAINWATER SYSTEMS LTD.
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,384700,Miscellaneous Expenses,01/10/2024,4320353-RES-09-2024-560,"œ1,500.00",BEAMISH MUSEUM LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304359,Equipment and Materials,01/10/2024,4320357-BMPR/1714/SKIPS,œ700.00,BISHOP MIDDLEHAM PLANT & RECYCLING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304359,Equipment and Materials,01/10/2024,4320357-BMPR/1719/SKIPS,œ700.00,BISHOP MIDDLEHAM PLANT & RECYCLING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,01/10/2024,4320358-0000194548,"œ1,029.60",BLEEP (UK) PLC T/A GLOBAL PAYMENTS.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/10/2024,4320359-268614,œ601.44,BOLINDA DIGITAL LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/10/2024,4320359-268814,œ535.89,BOLINDA DIGITAL LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,312013,Newspapers books and periodicals E312,01/10/2024,4320359-270401,œ600.25,BOLINDA DIGITAL LTD.
Chief Executives Office,Legal & Democratic Services,Premises,120021,Energy Costs,01/10/2024,4320360-59635,"œ10,214.51",BRADLEY HALL LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/10/2024,4320361-22022117,œ575.95,BREEDON TRADING LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320364-917,"œ12,592.80",CEILINGS DIRECT LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320364-924A,"œ14,059.22",CEILINGS DIRECT LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/10/2024,4320364-925,"œ1,405.63",CEILINGS DIRECT LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304358,Equipment and Materials,01/10/2024,4320366-1984,"œ4,801.50",CG SIMPSON & SON.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,324500,Provisions E324,01/10/2024,4320375-26046,"œ21,898.54",CREATIVE MANAGEMENT SERVICES LTD.
Regeneration Economy and Growth,Economic Development CL0150,Supplies and Services,384086,Miscellaneous Expenses,01/10/2024,4320381-VOUCHER24NB-EDUR031,"œ2,456.00",DAWDON YOUTH & COMMUNITY CENTRE.
Resources BK0010,Digital Services,Supplies and Services,342033,Computers and Communications,01/10/2024,4320382-7403035813,"œ1,365.68",DELL COMPUTER CORPORATION LTD.
