Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384302,Miscellaneous Expenses,02/04/2024,4252504-837,"£5,000.00",REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/04/2024,4252532-208,£560.00,REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Premises,145009,Cleaning and Domestic Supplies,02/04/2024,4252535-1080,£780.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,02/04/2024,4252673-30/11/23-MAY24,"£1,400.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384899,Miscellaneous Expenses,02/04/2024,4252708-NEI-EXP-03-2024-060,£500.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,02/04/2024,4252709-MB23C50245-8/3/24,"£1,097.40",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/04/2024,4252712-4100850207,"£4,000.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Transport and Contract Services,Supplies and Services,304252,Equipment and Materials,02/04/2024,4252730-DRS/BAB/FEB-MAR24,"£1,680.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338099,Services,02/04/2024,4252731-JAN202401,"£4,750.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/04/2024,4252738-FFF8,"£1,700.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/04/2024,4252805-INV-0106,"£2,689.99",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304999,Equipment and Materials,02/04/2024,4252805-INV-0107,"£1,998.30",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,02/04/2024,4252832-INV-000043,"£1,000.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Highways,Third Party Payments,430128,Rendered by Private Contractors,02/04/2024,4252880-2567,£820.00,REDACTED - PAYMENT TO INDIVIDUAL
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,02/04/2024,4252881-4100883148,"£6,350.00",REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338066,Services,02/04/2024,4252414-705,"£7,490.00",4NATURE LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/04/2024,4252422-35734624,£569.05,AGGREGATE INDUSTRIES UK LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/04/2024,4252422-35744956,£634.34,AGGREGATE INDUSTRIES UK LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/04/2024,4252423-427077165,"£1,196.91",AIR PRODUCTS PLC.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/04/2024,4252423-427077194,"£1,080.54",AIR PRODUCTS PLC.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,02/04/2024,4252423-427100760,"£1,307.12",AIR PRODUCTS PLC.
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,410037,Rendered by Other Local Authorities,02/04/2024,4252424-R188/24/93103,"£1,700.00",ALAN M RANSON FUNERAL SERVICE.
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,02/04/2024,4252426-12755,"£720,275.08",ALLIANCE LEISURE SERVICES LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252433-INV-0491,"£29,274.40",APEX ROOFING SPECIALISTS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252433-INV-0492,"£7,906.00",APEX ROOFING SPECIALISTS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252433-INV-0495,"£7,500.00",APEX ROOFING SPECIALISTS LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252433-INV-0496,"£1,820.00",APEX ROOFING SPECIALISTS LTD.
Neighbourhoods and Climate Change,Environmental Services,Premises,115125,Repairs to Grounds,02/04/2024,4252436-23268,"£1,446.54",ARM PIPETEK LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252437-INV-0145,"£2,250.00",ARMIGER TIMBER FRAME LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,02/04/2024,4252440-229,"£1,000.00",ATEVENTS.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304252,Equipment and Materials,02/04/2024,4252441-5450,"£1,531.00",AUTOMATIC FLARE SYSTEMS LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384500,Miscellaneous Expenses,02/04/2024,4252449-216250,"£1,157.08",BARNARDO`S SERVICES LTD.
Regeneration Economy and Growth,Planning & Housing,Third Party Payments,440999,Other third party payments E440,02/04/2024,4252452-122022,"£9,762.08",BAYDALE CONTROL SYSTEMS LTD.
Adult and Health Services,Central/Other,Supplies and Services,338099,Services,02/04/2024,4252453-BFBCINV-002538,£675.00,BE FOUND BE CHOSEN.
Adult and Health Services,Central/Other,Supplies and Services,338099,Services,02/04/2024,4252453-BFBCINV-002609,£675.00,BE FOUND BE CHOSEN.
Adult and Health Services,Central/Other,Supplies and Services,338099,Services,02/04/2024,4252453-BFBCINV-002635,£675.00,BE FOUND BE CHOSEN.
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,02/04/2024,4252455-RES-04-2024-003A,"£1,011.00",BEARPARK PARISH COUNCIL.
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,02/04/2024,4252456-007/2024,£617.04,BEECHFIELD CARE & SUPPORT LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252459-SI-7299,£600.00,BELL CONTROL SOLUTIONS LTD.
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,02/04/2024,4252460-RES-04-2024-004A,"£5,236.00",BELMONT PARISH COUNCIL.
Adult and Health Services,Head of Adults,Supplies and Services,338042,Services,02/04/2024,4252464-307584,"£1,842.30",BHP LAW (BLACKETT HART & PRATT LLP).
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,02/04/2024,4252467-RES-04-2024-005A,"£2,802.00",BISHOP AUCKLAND TOWN COUNCIL.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,377015,County Durham Development,02/04/2024,4252468-MASI193,"£1,500.00",BISHOP CHADWICK CATHOLIC EDUCATION TRUST (NSCET).
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,02/04/2024,4252470-RES-04-2024-006A,"£2,449.00",BISHOP MIDDLEHAM PARISH COUNCIL.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/04/2024,4252479-21734202,"£4,733.52",BREEDON TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,02/04/2024,4252484-0000316029,£893.00,BROXAP LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,02/04/2024,4252487-000470,"£16,516.82",CARLO VIGLIANISI T/A BUILDING CULTURE CIC.
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,02/04/2024,4252492-12554,£556.72,CATHEDRAL LOCK & SAFE SERVICES LTD.
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,02/04/2024,4252494-RES-04-2024-017A,"£5,532.00",CHARTER TRUSTEES FOR THE CITY OF DURHAM.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,02/04/2024,4252495-343949,"£4,005.00",CHAS LONG & SON (AGGREGATES) LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,02/04/2024,4252495-343950,"£1,040.00",CHAS LONG & SON (AGGREGATES) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,02/04/2024,4252499-SI24UK00543,"£5,697.60",CIBES LIFT UK LTD.
