Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286390-149810,"œ1,783.50",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286204-250034,"œ1,057.66",DURHAM CATHEDRAL TRADING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,338066,Services,01/07/2024,4286282-24002-002,"œ3,252.50",LYNAS ENGINEERS LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Construction work A908,908105,Construction work,01/07/2024,4286329-16228,œ505.00,PREMIER TECH WATER & ENVIRONMENT SOLUTIONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,342033,Computers and Communications,01/07/2024,4286367-24FB255/24F06,"œ1,727.00",STEADLANDS INTERNATIONAL MARKETING LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,01/07/2024,4286409-2343,œ900.00,VISABLE PEOPLE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286128-308-21071,œ649.16,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286129-2387,"œ1,060.00",REDACTED - PAYMENT TO INDIVIDUAL
Adult and Health Services,Head of Adults,Premises,145015,Cleaning and Domestic Supplies,01/07/2024,4286189-1094,"œ1,500.00",REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Construction work A908,908105,Construction work,01/07/2024,4286114-DEMOLITION-ANNFIELDPLAINKELLYBAKERY,"œ56,974.75",A BUCKLER (HAULAGE) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286120-181855,"œ1,900.00",ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,01/07/2024,4286124-108156,œ820.00,ALLWAG PROMOTIONS LTD.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,332047,Printing Stationery and Gen Off Exps,01/07/2024,4286126-SI30473,œ892.50,AMBIC LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286126-SI30476,"œ1,060.00",AMBIC LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286126-SI30477,œ975.00,AMBIC LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286126-SI30479,"œ1,100.00",AMBIC LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286126-SI30482,"œ2,371.00",AMBIC LTD.
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,01/07/2024,4286134-SOUTHFIELDWAY,"œ17,311.97",BCE NORTHERN LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,01/07/2024,4286137-RINV/00004613,"œ1,516.19",BELIEVE HOUSING LTD.
Regeneration Economy and Growth,Transport and Contract Services,Supplies and Services,304403,Equipment and Materials,01/07/2024,4286147-10716,œ825.00,BISSELL DISPLAY.
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,01/07/2024,4286159-INV063180,"œ7,000.00",CAREHOME SELECTION LTD (CHS HEALTHCARE).
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,01/07/2024,4286159-INV063181,"œ6,750.00",CAREHOME SELECTION LTD (CHS HEALTHCARE).
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,479102,Purchase of Care,01/07/2024,4286159-INV063196,"œ25,416.67",CAREHOME SELECTION LTD (CHS HEALTHCARE).
Adult and Health Services,Head of Adults,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286162-12898/2024,œ723.00,CATHEDRAL LOCK & SAFE SERVICES LTD.
Regeneration Economy and Growth,Business Durham,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286166-CN30370802,"œ2,567.76",CITRON HYGIENE UK LTD.
Regeneration Economy and Growth,Business Durham,Supplies and Services,338094,Services,01/07/2024,4286173-AEC4A18214,"œ6,975.00",CLOSEGATE HOTEL DEVELOPMENT (DURHAM) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286174-11195,"œ3,308.40",COMMERCIAL COVERINGS LTD.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,440999,Other third party payments E440,01/07/2024,4286175-CTA/DCC/MULTIPLY/ROLO,"œ11,600.00",COMMUNICATORS TRAINING ASSOCIATES LTD.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,440999,Other third party payments E440,01/07/2024,4286175-CTA/DCC/MULTIPLY/YEAR2,"œ6,000.00",COMMUNICATORS TRAINING ASSOCIATES LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,308011,Furniture,01/07/2024,4286180-REG0164,"œ1,330.00",COUNTY DURHAM FURNITURE HELP SCHEME (CDFHS).
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,308011,Furniture,01/07/2024,4286187-190953,"œ1,503.00",DAVID OGILVIE ENGINEERING LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,01/07/2024,4286190-17772,"œ2,967.00",DCM PROJECTS LTD T/A DCM SURFACES.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338035,Services,01/07/2024,4286191-3240,"œ1,440.00",DEAF EMPOWERING NETWORK (DEN).
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338035,Services,01/07/2024,4286191-3319,œ720.00,DEAF EMPOWERING NETWORK (DEN).
Resources BK0010,Digital Services,Vehicles Equipment Furniture and Fittings,912701,Computer equipment,01/07/2024,4286193-7403013645,"œ16,505.40",DELL COMPUTER CORPORATION LTD.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338042,Services,01/07/2024,4286194-367106/INVNR358,œ875.00,DERE STREET BARRISTERS.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338042,Services,01/07/2024,4286194-393798/INVJEB90,œ875.00,DERE STREET BARRISTERS.
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338042,Services,01/07/2024,4286194-400268/INVLD151,œ600.00,DERE STREET BARRISTERS.
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,384899,Miscellaneous Expenses,01/07/2024,4286203-10011807,"œ7,812.00",DURHAM & DARLINGTON FIRE & RESCUE.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286210-059-337491,"œ1,211.27",EDMUNDSON ELECTRICAL LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286219-2403\095,œ553.80,EPPLETON QUARRY PRODUCTS LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286219-2403\240,œ555.75,EPPLETON QUARRY PRODUCTS LTD.
Adult and Health Services,Head of Adults,Supplies and Services,338066,Services,01/07/2024,4286220-136,œ528.96,ERF MEDICAL LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,01/07/2024,4286226-2441/1,"œ1,205.90",FOCUS MENTAL HEALTH SOLUTIONS LTD.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384500,Miscellaneous Expenses,01/07/2024,4286232-3659,"œ1,020.00",FUTURE STEPS CONSULTANCY SERVICE LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,145023,Cleaning and Domestic Supplies,01/07/2024,4286242-06/274414,"œ1,032.48",GREENHAM TRADING LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286243-SI-0001565,"œ7,928.00",GROUNDWORK NORTH EAST.
Neighbourhoods and Climate Change,Highways,Construction work A908,908108,Capital - Surface Dressing,01/07/2024,4286258-29302,"œ3,674.21",JACK COUPE & SONS LTD T/A COUPE LINE.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286261-SI-140651,œ932.00,JBL SERVICES LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286281-ROTHIN/00001947,"œ7,950.00",LIVIN HOUSING LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286289-1421,"œ36,148.10",MARSDEN AES LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286289-1425,"œ26,840.00",MARSDEN AES LTD.
Regeneration Economy and Growth,Transport and Contract Services,Construction work A908,908105,Construction work,01/07/2024,4286302-1800012480464,"œ24,561.93",NEWCASTLE UPON TYNE CITY COUNCIL.
Children and Young Peoples Services,Head of Education and Skills,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286318-1494,"œ1,635.37",ORANGEBOX TRAINING SOLUTIONS UK LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286319-OASI0109744,"œ1,095.30",ORIGIN AMENITY SOLUTIONS LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,01/07/2024,4286326-14535,"œ1,545.00",PIONEER DIGITAL SOLUTIONS LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,01/07/2024,4286326-14536,"œ2,845.00",PIONEER DIGITAL SOLUTIONS LTD.
Resources BK0010,Digital Services,Supplies and Services,304303,Equipment and Materials,01/07/2024,4286326-14646,œ549.20,PIONEER DIGITAL SOLUTIONS LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286330-0000488484,"œ2,685.25",PRESERVATION EQUIPMENT LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,304259,Equipment and Materials,01/07/2024,4286330-0000488485,"œ1,449.30",PRESERVATION EQUIPMENT LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286332-5634182,œ515.85,PRISM MEDICAL UK WESTHOLME DIVISION.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286336-15810,"œ2,063.97",QUANTUM POWER CONNECTIONS LTD.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286336-15811,"œ3,005.94",QUANTUM POWER CONNECTIONS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384199,Miscellaneous Expenses,01/07/2024,4286347-8177,œ650.00,SAFE STRIP UK LTD.
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,384999,Miscellaneous Expenses,01/07/2024,4286349-HARDWICKSTREET,œ950.00,SARAHANN CAMPION PROPERTIES.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338076,Services,01/07/2024,4286354-INV197,œ518.37,SHERBURN HILL COMMUNITY HUB CIO.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286360-CI54418,"œ1,302.48",SKYGUARD LTD T/A PEOPLESAFE.
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286360-CI54421,"œ1,953.72",SKYGUARD LTD T/A PEOPLESAFE.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338027,Services,01/07/2024,4286361-EPINAY-462,"œ1,472.72",SOUTH TYNESIDE COUNCIL.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286366-9079,"œ11,850.00",ST ASTIER LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286366-9081,œ500.00,ST ASTIER LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286366-9282,"œ10,650.00",ST ASTIER LTD.
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,01/07/2024,4286366-9285,œ500.00,ST ASTIER LTD.
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,336005,Advertising E336,01/07/2024,4286368-INV-7428,"œ1,603.80",STEVE DAVIDSON ADVERTISING LTD T/A SD ADVERTISING LTD.
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,336005,Advertising E336,01/07/2024,4286368-INV-7466,"œ2,000.00",STEVE DAVIDSON ADVERTISING LTD T/A SD ADVERTISING LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286371-49799,"œ1,288.32",STONEGRAVE AGGREGATES LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286371-49829,œ966.24,STONEGRAVE AGGREGATES LTD.
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286371-49830,"œ1,161.44",STONEGRAVE AGGREGATES LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286372-11875,œ673.00,STREETMASTER ( SOUTH WALES) LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286375-1202475,œ584.10,T CROSSLING & CO LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286375-1203017,"œ2,008.52",T CROSSLING & CO LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286375-1203632,œ600.98,T CROSSLING & CO LTD.
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,01/07/2024,4286375-1205307,"œ1,503.30",T CROSSLING & CO LTD.
