Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name
Children and Young Peoples Services,Childrens Services Operational Support,Supplies and Services,338026,Services,01/03/2023,4106060-BB/DS/1,œ803.25,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,01/03/2023,4106067-00463,œ750.00,REDACTED - PAYMENT TO INDIVIDUAL
Regeneration Economy and Growth,Culture Sport and Tourism,Third Party Payments,430131,Rendered by Private Contractors,01/03/2023,4106202-2023005,œ548.00,REDACTED - PAYMENT TO INDIVIDUAL
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384899,Miscellaneous Expenses,01/03/2023,4106068-RES-02-2023-562,"œ1,752.00",CDS SECURITY & FIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384899,Miscellaneous Expenses,01/03/2023,4106147-RES-02-2023-584,"œ8,240.00",HORDEN & PETERLEE RUGBY CLUB.
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,384540,Miscellaneous Expenses,01/03/2023,4106222-1046,œ695.00,NORTHERN PRIDE EVENTS LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,338027,Services,01/03/2023,4106224-SIN004815,"œ5,000.00",OAKES ENERGY SERVICES LTD.
Adult and Health Services,Public Health CC0450,Supplies and Services,338089,Services,01/03/2023,4106228-17/180380,œ800.00,OPEN CLASP THEATRE CO.
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,352001,Conference Expenses,01/03/2023,4106245-AQ112609,"œ3,360.00",PROFESSIONAL FITNESS & EDUCATION LTD.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304259,Equipment and Materials,01/03/2023,4106271-ARS/11083093,œ534.00,SNAP ON DIAGNOSTICS UK.
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384899,Miscellaneous Expenses,01/03/2023,4106273-RES-02-2023-586,"œ7,690.50",SPENNYMOOR WMC.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,01/03/2023,4106309-TUC044611,"œ3,920.00",TUC PLANT HIRE LTD.
Neighbourhoods and Climate Change,Environmental Services,Construction work A908,908105,Construction work,01/03/2023,4106309-TUC044612,"œ1,940.00",TUC PLANT HIRE LTD.
