Body,Expense Area,Supplier,Expense Type,Reference,Date,Amount
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848589,45336,25829.07
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848590,45336,416.53
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848590,45336,555.37
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848590,45336,13884.25
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848591,45336,1944.65
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848591,45336,2592.86
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848591,45336,64821.59
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848592,45337,-2202.46
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11848593,45342,303.07
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mould Doctor Ltd,Repair And Maintenance,11848594,45337,991.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Surveillance Or Alarm Maintenance,11848597,45341,3767.79
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848599,45337,-2381.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848600,45337,-2151.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848601,45337,-3033.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848602,45337,-2151.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848603,45337,-3231.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848604,45337,-3065.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Swallownest & Airport Taxis Ltd,Taxi Mini Bus Coach Operations,11848605,45342,1120
Rotherham Metropolitan Borough Council,Regeneration & Environment,Swallownest & Airport Taxis Ltd,Taxi Mini Bus Coach Operations,11848605,45342,140
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,4D Therapy,Supporting People - Adoptions,11848607,45337,560
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848608,45337,-2048.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848609,45337,-2048.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848610,45337,-2048.81
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Lyreco Uk Ltd,Stationery Furniture & It Consumables,11848614,45344,9.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyreco Uk Ltd,Stationery Furniture & It Consumables,11848615,45344,122.37
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,A1 Taxis Rotherham Ltd,Taxi Mini Bus Coach Operations,11848616,45336,2966
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,A1 Taxis Rotherham Ltd,Taxi Mini Bus Coach Operations,11848616,45336,363
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,A1 Taxis Rotherham Ltd,Taxi Mini Bus Coach Operations,11848616,45336,6667
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Aspire,Food And Drink,11848626,45336,248.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Aspire,Food And Drink,11848626,45336,151.48
Rotherham Metropolitan Borough Council,Adult Care & Housing,"Sense, The National Deaf Blind And Rubel",Supporting People - Independent Sector Homecare,11848633,45336,27999.41
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848886,45337,897.4
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848886,45337,1196.53
Rotherham Metropolitan Borough Council,Adult Care & Housing,Mears Ltd,Repair And Maintenance,11848886,45337,29913.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11848887,45338,37.25
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11848887,45338,19
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11848888,45344,102
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848889,45342,465.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848890,45342,158.79
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848891,45342,54.37
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848892,45342,144.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848893,45342,166.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848894,45342,742.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whites Bakery,Food And Drink,11848895,45342,264.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11848901,45349,-15.08
Rotherham Metropolitan Borough Council,Adult Care & Housing,Visionaid Technologies Ltd,Technology,11848903,45345,595
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Ardo Medical Ltd,Health And Hygiene Equipment,11848904,45343,7607.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F Blakemore And Son Ltd,Food And Drink,11848912,45349,-16.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Heavenly Coffee Company,Food And Drink,11848916,45349,227.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Heavenly Coffee Company,Food And Drink,11848918,45349,358.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Heavenly Coffee Company,Food And Drink,11848919,45350,574.16
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Heavenly Coffee Company,Food And Drink,11848920,45349,84.68
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,The Heavenly Coffee Company,Food And Drink,11848921,45351,39.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dc Projects (Rotherham) Ltd,Sporting Entertainment & Culture,11848926,45337,470613.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,I A Green,Taxi Mini Bus Coach Operations,11848930,45342,2605.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,I A Green,Taxi Mini Bus Coach Operations,11848930,45342,776.04
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848931,45337,-2048.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848932,45337,-2048.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848933,45337,-3680.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848934,45337,-3144.34
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848935,45337,-2419.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848936,45337,-2364.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11848937,45337,-2210.02
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848938,45337,-2163.52
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848939,45337,-2110.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848940,45337,-1843
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848941,45337,-2136.8
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848942,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848943,45337,-2123.45
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848944,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848945,45337,-2070.03
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848946,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848947,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848948,45337,-2110.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848949,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848950,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848951,45337,-2016.62
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848952,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848953,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848954,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848955,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848956,45337,-2110.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848957,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848958,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848959,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848960,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848961,45337,-1936.48
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848962,45337,-2083.38
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848963,45337,-2070.03
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848964,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848965,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848966,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848967,45337,-1843
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848968,45337,-2096.74
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848969,45337,-2070.03
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848970,45337,-1829.64
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848971,45337,-1709.44
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848972,45337,-1989.9
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848973,45337,-2003.26
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848974,45337,-587.62
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848975,45337,-2163.52
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848976,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848977,45337,-2123.45
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848978,45337,-2083.39
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848979,45337,-2110.1
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848980,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848981,45337,-2110.09
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848982,45337,-2070.03
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848983,45337,-2083.39
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848984,45337,-2056.67
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848985,45337,-2056.68
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848986,45337,-2043.32
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848987,45337,-1869.72
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848988,45337,-1175.24
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848989,45337,-2282.44
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848990,45337,-2017.04
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848991,45337,-2017.04
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848992,45337,-2017.04
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848993,45337,-2017.04
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848994,45337,-2032.93
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848995,45337,-2032.93
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848996,45337,-2032.92
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848997,45337,-2019.56
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848998,45337,-1979.42
Rotherham Metropolitan Borough Council,Finance & Customer Services,Matrix Scm Ltd,Agency Staff Services,11848999,45337,-1979.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849000,45337,-1147.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849001,45337,-717.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849002,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849003,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849004,45337,-2294.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849005,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849006,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849007,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849008,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849009,45337,-1147.41
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849010,45337,-2180.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849011,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849012,45337,-2180.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849013,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849014,45337,-2180.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849015,45337,-1821.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849016,45337,-1376.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849017,45337,-2294.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849018,45337,-2208.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849019,45337,-1491.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849020,45337,-430.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849021,45337,-2180.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849022,45337,-2294.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849023,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849024,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849025,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849026,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849027,45337,-2180.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849028,45337,-1850.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849029,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849030,45337,-2294.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849031,45337,-1835.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849032,45337,-1549.01
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849033,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849034,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849035,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849036,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849037,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849038,45337,-2122.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849039,45337,-2122.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849040,45337,-2122.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849041,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849042,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849043,45337,-2122.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849044,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849045,45337,-2122.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849046,45337,-2294.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849047,45337,-2122.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849048,45337,-2294.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849049,45337,-1835.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849050,45337,-2294.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Scm Ltd,Agency Staff Services,11849051,45337,-2294.81
