BODY,NAME,EXPENSE AREA,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596026,45090,301.06
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596026,45090,312
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596027,45090,1242
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596029,45090,356
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596030,45090,748
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596033,45090,1242
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596037,45090,804
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596038,45090,1692
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596040,45090,396
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596046,45090,712
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596049,45090,712
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596051,45090,744
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596052,45090,868
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596053,45090,564
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596054,45090,826
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596055,45090,604
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596065,45090,638
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Foster Care,11596069,45090,712
Rotherham Metropolitan Borough Council,Regeneration & Environment,CEMEX UK OPERATIONS LTD,Re-Instatement Materials,11597760,45091,125.66
Rotherham Metropolitan Borough Council,Adult Care & Housing,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597762,45096,161.56
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597763,45097,311.25
Rotherham Metropolitan Borough Council,Adult Care & Housing,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597765,45106,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597766,45091,879.58
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597767,45091,1404.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597768,45091,1249.43
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11597769,45096,97.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,WASTE MANAGEMENT MAINTENANCE LTD,Waste Disposal Inc Skip Hire,11597778,45105,447.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,WASTE MANAGEMENT MAINTENANCE LTD,Waste Disposal Inc Skip Hire,11597778,45105,447.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,WASTE MANAGEMENT MAINTENANCE LTD,Waste Disposal Inc Skip Hire,11597778,45105,503.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,WASTE MANAGEMENT MAINTENANCE LTD,Waste Disposal Inc Skip Hire,11597778,45105,198
Rotherham Metropolitan Borough Council,Regeneration & Environment,WASTE MANAGEMENT MAINTENANCE LTD,Waste Disposal Inc Skip Hire,11597778,45105,293
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SANDERSON BUILDING SERVICES LTD,New Build & Major Refurb Trades,11597780,45091,52055.49
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597909,45092,5000
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597910,45092,2250
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597911,45092,5200
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597912,45092,2300
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597913,45092,4200
Rotherham Metropolitan Borough Council,Regeneration & Environment,WARD PLANE LTD,Plant Hire,11597940,45092,1400
Rotherham Metropolitan Borough Council,Regeneration & Environment,SETON,Health And Hygiene Equipment,11597941,45106,2539.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11597945,45105,2470
Rotherham Metropolitan Borough Council,Finance & Customer Services,MATRIX SCM LTD,Agency Staff Services,11597947,45091,2444.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597949,45091,1835.86
Rotherham Metropolitan Borough Council,Finance & Customer Services,MATRIX SCM LTD,Agency Staff Services,11597950,45091,1695
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597951,45091,730.87
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597952,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597953,45091,668.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597954,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597955,45091,674.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597956,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597957,45091,668.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597960,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597961,45091,562.17
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597962,45091,447.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597963,45091,674.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597964,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597965,45091,674.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597966,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597967,45091,668.21
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597968,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597969,45091,671.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597970,45091,501.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597971,45091,438.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597972,45091,438.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597973,45091,548.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597974,45091,710.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597975,45091,656.94
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597976,45091,560.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597977,45091,668.53
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597978,45091,559.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,MATRIX SCM LTD,Agency Staff Services,11597979,45091,671.76
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ALL CHILDREN GREAT & SMALL LTD,Supporting People - Childcare Fees,11597980,45093,3332.96
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11597981,45093,439.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11597982,45093,439.14
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ANSTON STONES EARLY YEARS,Supporting People - Childcare Fees,11597983,45093,1580.9
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ARNOLD NURSERY SCHOOL & CHILDRENS CENTRE,Educational Day Nursery,11597984,45093,11958.12
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,BRIGHT SKIES NURSERY LIMITED,Educational Day Nursery,11597986,45093,4408.29
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ABC DAY NURSERY (LINCS) LTD,Educational Day Nursery,11597987,45093,1536.99
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,BUSY BEES NURSERIES LIMITED,Educational Day Nursery,11597988,45093,2634.84
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CANKLOW WOODS PRIMARY SCHOOL ACADEMY,Supporting People - Childcare Fees,11597989,45093,3732.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11597990,45093,212.25
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CLIFTON METHODIST PLAYGROUP,Educational Day Nursery,11597991,45093,1229.59
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CRAGS COMMUNITY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11597992,45093,3732.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DAR-UL-MADINAH UK,Supporting People - Childcare Fees,11597993,45093,219.57
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,FOR UNDER FIVES LTD,Educational Day Nursery,11597994,45093,5818.6
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Supporting People - Childcare Fees,11597995,45093,219.57
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DINNINGTON PRE SCHOOL,Supporting People - Childcare Fees,11597996,45093,1690.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DREAM CATCHERS NURSERY,Educational Day Nursery,11597998,45093,1244.23
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,DREAM CATCHERS NURSERY LTD,Educational Day Nursery,11597999,45093,2122.51
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,FENWOOD HOUSE LTD,Educational Day Nursery,11598000,45093,5087.27
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,FENWOOD HOUSE LTD,Educational Day Nursery,11598001,45093,3065.53
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,FENWOOD HOUSE LTD,Educational Day Nursery,11598002,45093,1866.34
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,FERHAM PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598003,45093,1229.59
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,SPRINGWOOD JUNIOR ACADEMY,Supporting People - Childcare Fees,11598004,45093,1822.43
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,WAVERLEY JUNIOR ACADEMY,Supporting People - Childcare Fees,11598005,45093,614.79
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,GRANBY NURSERIES LTD,Supporting People - Childcare Fees,11598007,45093,1175.54
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,GRANBY NURSERIES LTD,Supporting People - Childcare Fees,11598008,45093,506.7
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,GRANGE KINDERGARTEN,Supporting People - Childcare Fees,11598009,45093,1888.3
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,GREASBROUGH PRIMARY SCHOOL (ACADEMY),Supporting People - Childcare Fees,11598010,45093,1017.34
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,HAPPY KIDS CHILDCARE LIMITED,Supporting People - Childcare Fees,11598011,45093,3952.26
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,HAPPY KIDS CHILDCARE LIMITED,Supporting People - Childcare Fees,11598012,45093,2854.41
