Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,02-Aug-23,51400331601,"-£31,843.00",01-Aug-23,AVON PARK SCHOOL,EDUCATION,AVON132070009,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,02-Aug-23,51400330657,£500.96,30-Jun-23,PSL Print Management LTD,COMPANY,495789,D3000,II,Incoming Invoice Posting,,Shared Services Business Systems,Support Services Business Systems,"Digital, Technology & Innovation",Shared Services Business Systems & Change,Printing
West Northamptonshire Council,02-Aug-23,51400331711,£504.00,21-Jul-23,HESTERS ACCOMODATION LTD,TRADE SUPPLIER,INV-3960,D4140,II,Incoming Invoice Posting,,Homelessness,Temporary Accomodation - B&B,Housing and Communities,Housing Solutions,Homelessness Services
West Northamptonshire Council,02-Aug-23,51400331615,£511.85,14-Jul-23,SANCTUARY OASIS LTD,CARE ESTABLISHMENT,1850,E7150,SPV,AP VAT Spreadsheet Import - Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,51400331544,£532.92,26-Jul-23,G M LAWRENCE ELECTRICAL LTD,COMPANY,INV5958,B0010,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Building Structural Maintenance - Reactive
West Northamptonshire Council,02-Aug-23,51400331623,£560.00,17-Jul-23,NORTON NURSES,CARE ESTABLISHMENT,33368,E7150,SPV,AP VAT Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,02-Aug-23,65400001743,£578.76,20-Jun-23,Inspired Exchange Limited,COMPANY,1507,ZBAAP,RV,Reversals,,Control Accounts [NCC],Bank Account - Payables,Balance Sheet,NCC Balance Sheet Cost Centres [NCC],Bank Account - Payables
West Northamptonshire Council,02-Aug-23,51400331686,£585.70,28-Jul-23,Redacted Personal Data,FOSTER PARENT,SLS/Respite/AUG23/KK,D4110,SPS,AP Spreadsheet Import - Payments,,Shared Lives Schemes [NCC],Shared Lives - In House,Safeguarding and Wellbeing,Provider Services,Professional Fees and Hired Services
West Northamptonshire Council,02-Aug-23,51400331422,£605.62,29-Jul-23,Day`s Rental,COMPANY,2186309,C0205,II,Incoming Invoice Posting,,New Roads and Street Works Act WNC,New Roads and Street Works Act,Highways & Transport Service WNC,Highways Network WNC,Leased Vehicle Costs
West Northamptonshire Council,02-Aug-23,51400317433,£606.00,22-Jun-23,Clymac Ltd,COMPANY,477884,D4110,II,Incoming Invoice Posting,,Museum and Art Galleries,Museum Facilities,Place Shaping,Museums,Professional Fees and Hired Services
