Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,03-Apr-23,51400286824,"-£23,484.00",30-Mar-23,OAKLEAF CARE GROUP,CARE ESTABLISHMENT,NT833393 P132803-00006,E7130,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability RES LT [NCC],Physical Support Res Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286306,"-£21,497.15",30-Mar-23,Minster Care Services Ltd,CARE ESTABLISHMENT,N0710114 P132874-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP North Older People RES LT [NCC],Physical Support Res Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286601,"-£14,785.71",30-Mar-23,COLLINGTREE PARK CARE HOME,CARE ESTABLISHMENT,WN16218 P132738-00015,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286452,"-£11,100.00",30-Mar-23,HOLLYBERRY CARE LTD,CARE ESTABLISHMENT,N2211919 P132740-00016,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400282088,"-£9,690.00",06-Mar-23,Listers Geo,COMPANY,I.13407C/23.01.004A/882,D4110,II,Incoming Invoice Posting,,Enterprise Zone,Enterprise Zone,Communities and Regeneration,Regeneration,Professional Fees and Hired Services
West Northamptonshire Council,03-Apr-23,51400286345,"-£9,121.60",30-Mar-23,BRACKLEY FIELDS,CARE ESTABLISHMENT,N0627958 P132761-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286935,"-£8,285.71",30-Mar-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N2310002 P132807-00018,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286112,"-£7,314.34",30-Mar-23,AVERY HEALTHCARE,CARE ESTABLISHMENT,N0322277 P132811-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286170,"-£6,919.71",30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,N1625976 P132829-00024,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286238,"-£6,000.00",30-Mar-23,BROWNLANDS NURSING HOME,CARE ESTABLISHMENT,N2310054 P132786-00010,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286240,"-£5,142.86",30-Mar-23,BROWNLANDS NURSING HOME,CARE ESTABLISHMENT,NT969467 P132786-00012,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286660,"-£4,114.29",30-Mar-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N2030823 P132744-00018,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286788,"-£3,000.00",30-Mar-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N2310010 P132767-00026,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286180,"-£3,000.00",30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,N2010981 P132829-00034,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286733,"-£2,985.71",30-Mar-23,Admire Healthcare Limited -Apollo House,CARE ESTABLISHMENT,N1018673 P132868-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400287095,"-£2,693.71",21-Feb-23,BT REDCARE,TRADE SUPPLIER,20035480,D5105,II,Incoming Invoice Posting,,"Asset, Traffic Management & Regulations [NCC]",Netcom,Highways & Transport Service NCC,Highways & Traffic Management [NCC],Telephone costs
West Northamptonshire Council,03-Apr-23,51400286942,"-£2,321.43",30-Mar-23,REGAL CARE TRADING LTD,CARE ESTABLISHMENT,N2024874 P132746-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286318,"-£2,040.00",30-Mar-23,Minster Care Services Ltd,CARE ESTABLISHMENT,N2018210 P132874-00014,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res Reablement OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286497,"-£1,578.57",30-Mar-23,KINGSTHORPE CARE LTD,CARE ESTABLISHMENT,N1934549 P132764-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400284188,"-£1,393.34",23-Mar-23,Healthguard Ltd,COMPANY,89241,B5025,II,Incoming Invoice Posting,,Soft FM,Soft Facilities Management,Assets and Environment,Assets and Capital Managed [NCC],Pest Control
West Northamptonshire Council,03-Apr-23,51400286594,"-£1,392.86",30-Mar-23,COLLINGTREE PARK CARE HOME,CARE ESTABLISHMENT,N1728441 P132738-00008,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286696,"-£1,250.00",30-Mar-23,NAZARETH HOUSE RESIDENTIAL CRE,CARE ESTABLISHMENT,N1821685 P132742-00014,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285982,"-£1,056.87",30-Mar-23,KILSBY HOUSE RESIDENTIAL HOME,CARE ESTABLISHMENT,N2211873 P132763-00017,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400284211,-£995.00,23-Mar-23,ETAC Ltd,COMPANY,100714,XB000,II,Incoming Invoice Posting,,Disabled Facilities Grants [SNC],Disabled Facilities Grants,Housing and Communities Capital,Disabled Facilities Grants [SNC],"New Construction, Conversion and Renovation"
West Northamptonshire Council,03-Apr-23,51400286488,-£896.14,30-Mar-23,ST MATTHEWS LIMITED - (ST MATHEWS),CARE ESTABLISHMENT,NT847904 P132702-00013,E7145,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability RES LT [NCC],Physical Support Res Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285975,-£857.14,30-Mar-23,KILSBY HOUSE RESIDENTIAL HOME,CARE ESTABLISHMENT,N1411497 P132763-00010,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286221,-£750.00,30-Mar-23,Knighton Care Services Limited - Ashdown House,CARE ESTABLISHMENT,N1023468 P132855-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285969,-£704.58,30-Mar-23,KILSBY HOUSE RESIDENTIAL HOME,CARE ESTABLISHMENT,N0815720 P132763-00004,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286924,-£680.00,30-Mar-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N1820893 P132807-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286618,-£671.43,30-Mar-23,MERRIFIELD HOUSE,CARE ESTABLISHMENT,N2210600 P132741-00013,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286612,-£639.29,30-Mar-23,MERRIFIELD HOUSE,CARE ESTABLISHMENT,N1820664 P132741-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286103,-£622.35,30-Mar-23,CRESCENT HOMES,CARE ESTABLISHMENT,N0054974 P132739-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286138,-£595.40,30-Mar-23,ST ANDREWS HOSPITAL,CARE ESTABLISHMENT,NT934328 P132700-00002,J6200,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Client Care Contributions
West Northamptonshire Council,03-Apr-23,51400286674,-£553.57,30-Mar-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,NT942559 P132744-00032,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286191,-£542.86,30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,WN15539 P132829-00045,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286613,£511.43,30-Mar-23,MERRIFIELD HOUSE,CARE ESTABLISHMENT,N1820664 P132741-00008,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285527,£520.00,21-Mar-23,THE CUBE DISABILITY,CARE ESTABLISHMENT,N2210981 EHW0323-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400285493,£520.96,27-Mar-23,SPECTRUM NORTHANTS LIMITED,CARE ESTABLISHMENT,NT873801 1453-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400275355,£528.00,06-Mar-23,THE DRY RISER TESTING COMPANY,SOLETRADER,SI-3705,B0005,II,Incoming Invoice Posting,,Property Management [NBC],Repairs & Maintenance Central Account,Assets and Environment,Property Estates Management [NBC],Building Stuctural Maintenance - Planned
West Northamptonshire Council,03-Apr-23,51400285626,£535.60,27-Mar-23,HEADWAY NORTHAMPTON,CHARITY,NT950212 11403-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability CCP LT [NCC],Physical Support CCP Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400286192,£542.86,30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,WN15539 P132829-00046,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286168,£542.86,30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,N1617750 P132829-00022,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286706,£542.86,30-Mar-23,NAZARETH HOUSE RESIDENTIAL CRE,CARE ESTABLISHMENT,NT911520 P132742-00024,E7145,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability RES LT [NCC],Learning Disability Support Res Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285554,£546.16,23-Mar-23,Support 4 Independence Limited,CARE ESTABLISHMENT,NT861323 3736-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400285533,£546.16,21-Mar-23,THE CUBE DISABILITY,CARE ESTABLISHMENT,N2112991 JD0323-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400285617,£546.16,27-Mar-23,SPECTRUM NORTHANTS LIMITED,CARE ESTABLISHMENT,NT838301 1430-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400286847,£554.52,30-Mar-23,GREAT GLENS FACILITY LTD,CARE ESTABLISHMENT,NT932721 P132719-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health RES LT [NCC],Mental Health Support Res Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400287186,£560.00,31-Mar-23,NORTON NURSES,CARE ESTABLISHMENT,32758,E7150,SPS,AP Spreadsheet Import - Payments,,OP North Older People CCP LT [NCC],Physical Support CCP Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,03-Apr-23,51400285565,£564.00,24-Mar-23,ST ANDREWS HOSPITAL,CARE ESTABLISHMENT,N1141944 90120559-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400285844,£565.20,28-Mar-23,G M LAWRENCE ELECTRICAL LTD,COMPANY,INV-5213,B0010,II,Incoming Invoice Posting,,Property Management [NBC],Repairs & Maintenance Central Account,Assets and Environment,Property Estates Management [NBC],Building Structural Maintenance - Reactive
West Northamptonshire Council,03-Apr-23,51400285488,£571.40,27-Mar-23,SPECTRUM NORTHANTS LIMITED,CARE ESTABLISHMENT,N0818604 1445-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400286919,£571.43,30-Mar-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,DS940414 P132807-00002,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286181,£571.43,30-Mar-23,AGE NURSING HOMES LIMITED,CARE ESTABLISHMENT,N2010981 P132829-00035,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,03-Apr-23,51400286789,£571.43,30-Mar-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N2310010 P132767-00027,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400286239,£571.43,30-Mar-23,BROWNLANDS NURSING HOME,CARE ESTABLISHMENT,N2310054 P132786-00011,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400285414,£572.30,28-Feb-23,VEOLIA ENVIRONMENTAL SERVICES,COMPANY,8391169344,B5010,II,Incoming Invoice Posting,,Soft FM,Soft Facilities Management,Assets and Environment,Assets and Capital Managed [NCC],Waste and Refuse collections
West Northamptonshire Council,03-Apr-23,51400285606,£579.80,27-Mar-23,SPECTRUM NORTHANTS LIMITED,CARE ESTABLISHMENT,DS901399 1411-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400285790,£581.49,11-Nov-22,THE CARE BUREAU,CARE ESTABLISHMENT,50886,E7170,II,Incoming Invoice Posting,,Very Sheltered Housing Care Provision [NCC],ISB - Leeson Court (Towcester) VSH,Commissioning & Performance,Commissioning [NCC],Suppported Living
West Northamptonshire Council,03-Apr-23,51400282546,£584.82,09-Mar-23,Chubb Fire and Security,COMPANY,9790031,B3110,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,Property Estates Management [NBC],Fire Prevention Equipment
West Northamptonshire Council,03-Apr-23,51400282544,£584.82,09-Mar-23,Chubb Fire and Security,COMPANY,9790030,B3110,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,Property Estates Management [NBC],Fire Prevention Equipment
West Northamptonshire Council,03-Apr-23,51400285530,£588.16,21-Mar-23,THE CUBE DISABILITY,CARE ESTABLISHMENT,N2210056 JAK0323-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Day Care
West Northamptonshire Council,03-Apr-23,51400286489,£597.43,30-Mar-23,ST MATTHEWS LIMITED - (ST MATHEWS),CARE ESTABLISHMENT,NT847904 P132702-00014,E7145,CPN,Social Care West Northampton Council CareCost Payments,,PD Physical Disability RES LT [NCC],Physical Support Res Long Term PD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Residential Care
West Northamptonshire Council,03-Apr-23,51400275051,£599.92,07-Mar-23,FAIRFIELD CARE PRODUCTS LTD,TRADE SUPPLIER,495229,D0015,II,Incoming Invoice Posting,,Ridgway House [NCC],Ridgway House - Block Contract,Safeguarding and Wellbeing,Provider Services [NCC],Specialist Equipment For Service Delivery
West Northamptonshire Council,03-Apr-23,51400285553,£600.00,23-Mar-23,Support 4 Independence Limited,CARE ESTABLISHMENT,N2211043 3733-00001,E7160,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Day Care
