Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,01-Sep-23,51400340084,£864.00,17-Aug-23,Abington Pest Control Ltd,COMPANY,INV-23/2998,J6400,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Rents and Leases - Income (non HRA)
West Northamptonshire Council,01-Sep-23,51400340076,"£6,096.00",17-Aug-23,Abington Pest Control Ltd,COMPANY,INV-23/2991,B0000,II,Incoming Invoice Posting,,Bus stations and interchanges,North Gate Bus Interchange,Assets and Environment,A&E Public Realm & Heritage,Building Repair and Maintenance
West Northamptonshire Council,01-Sep-23,51400343240,"£1,378.80",30-Aug-23,Access UK Limited t/a Adam,COMPANY,SI24860,C6400,SPV,AP VAT Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,01-Sep-23,51400343511,"£6,304.00",01-Sep-23,Access UK Limited t/a Adam,COMPANY,SI24881,C6400,SPS,AP Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,01-Sep-23,51400343241,"£250,276.99",30-Aug-23,Access UK Limited t/a Adam,COMPANY,SI24880,C6400,SPV,AP VAT Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,01-Sep-23,51400342600,"£1,135.92",22-Aug-23,ACS Business Supplies,COMPANY,SINV00828789,D5015,II,Incoming Invoice Posting,,Desktop Support Contracts,Recharged contracts & purchases,"Digital, Technology & Innovation",Operations,Computer hardware - purchase
West Northamptonshire Council,01-Sep-23,51400343437,"£3,645.00",03-Aug-23,AdviceUK,CHARITY,1023658,D5030,II,Incoming Invoice Posting,,"Money advice, Social Inclusion and debt advice  [WNC)",Debt Counselling Advice (WNC),Revenue & Benefits,Revenues and Benefits,Computer software - purchase
West Northamptonshire Council,01-Sep-23,51400343514,"£1,012.30",01-Sep-23,Redacted Personal Data,PARENT/GUARDIAN,Jan 22 - Mar 23,C5010,SPS,AP Spreadsheet Import - Payments,,Home to School Transport WNC,Home to School Trans - Special,Highways & Transport Service WNC,Passenger Transport WNC,Car mileage and allowances - other
West Northamptonshire Council,01-Sep-23,51400343139,"£1,710.00",31-Jul-23,Ashrose Hotels Limited,COMPANY,NBC-00205,D4140,II,Incoming Invoice Posting,,Homelessness,Temporary Accomodation - B&B,Housing and Communities,Housing Solutions,Homelessness Services
West Northamptonshire Council,01-Sep-23,51400343144,"£2,346.00",24-Jul-23,Ashrose Hotels Limited,COMPANY,NBC-00204,D4140,II,Incoming Invoice Posting,,Homelessness,Temporary Accomodation - B&B,Housing and Communities,Housing Solutions,Homelessness Services
