Report of all payments made by GLA & GLA Land & Property for value equal to or greater than £ 250.00 Excl. VAT,,,,,,,,,
Reporting Period : ,Period 1 - 13,,,,,Step 1,,,
Start Date:,"1st April , 2023",,,,,,,,
End Date:,"31st March, 2024",,,,,,,,
Financial Year :,2023-24,,,Summary Total,"2,009,554,720.61",,,,
,,Amount £,,Individual rprt totals,"2,009,554,720.61",Step 2,,,
Total Remuneration,Apr 23 - Mar 24,"76,911,026.03",,Difference,0,,,,
Irrecoverable VAT,,0,,,,,,,
,,,,,,,,,
Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,
10000072,STEER,542330,EVENT MANAGEMENT FEE,5110245622,"15,000.00",24/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10000072,STEER,542330,EVENT MANAGEMENT FEE,5110245622,"-7,792.50",24/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10000201,ST MARTIN IN THE FIELDS,537000,HOTEL ACCOMMODATION,5110262193,"1,666.67",28/04/2023,STRATEGY & COMMUNICATIONS,CENTRAL SERVICES,
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110241196,"2,113,000.00",12/04/2023,GOOD GROWTH,PLANNING SERVICES,
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110241196,"-2,016,519.69",12/04/2023,GOOD GROWTH,PLANNING SERVICES,
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110248977,"73,485.75",26/04/2023,GOOD GROWTH,PLANNING SERVICES,
10000361,LINKS SIGNS,542355,OTHER PROFESSIONAL FEES,5110249181,"2,100.00",03/04/2023,COMMUNITIES & SKILLS,PLANNING SERVICES,
10000445,BUSINESS DISABILITY FORUM,543000,CORPORATE SUBSCRIPTIONS,5110249889,"3,780.00",05/04/2023,CHIEF OFFICER,CENTRAL SERVICES,
10000445,BUSINESS DISABILITY FORUM,543000,CORPORATE SUBSCRIPTIONS,5110249897,"3,780.00",05/04/2023,CHIEF OFFICER,CENTRAL SERVICES,
10000493,UNIVERSITY OF EAST LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110241592,"3,000.00",04/04/2023,COMMUNITIES & SKILLS,PLANNING SERVICES,
10000523,CPRE LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110253716,"5,400.00",06/04/2023,GOOD GROWTH,PLANNING SERVICES,
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5110234927,"3,730.00",04/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5110241243,582,12/04/2023,CHIEF OFFICER,CAPITAL,
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5110244271,"11,190.00",19/04/2023,CHIEF OFFICER,CAPITAL,
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,1900077628,"10,222.88",28/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10000545,O2 UK LIMITED,536200,COMPUTER SOFTWARE,5110244895,"57,500.00",19/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10000545,O2 UK LIMITED,536200,COMPUTER SOFTWARE,5110254825,"24,750.00",27/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10000547,WRAGGE & CO,542300,LEGAL FEES,5110245956,"9,195.54",04/04/2023,HOUSING & LAND,HOUSING SERVICES,
10000547,WRAGGE & CO,542300,LEGAL FEES,5110236617,"3,336.00",04/04/2023,COMMUNITIES & SKILLS,PLANNING SERVICES,
10000725,MOTT MACDONALD LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5110254261,753,20/04/2023,HOUSING & LAND,HOUSING SERVICES,
10000758,HYDER CONSULTING (UK) LTD,542051,CONSULTANCY-COMMISSIONED REPORT,5110242013,"10,417.84",12/04/2023,HOUSING & LAND,HOUSING SERVICES,
10000758,HYDER CONSULTING (UK) LTD,542355,OTHER PROFESSIONAL FEES,5110241498,"16,175.38",12/04/2023,GOOD GROWTH,PLANNING SERVICES,
10001456,BURO HAPPOLD LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5110254182,"63,196.50",05/04/2023,GOOD GROWTH,PLANNING SERVICES,
10001937,JONES LANG LASALLE,542300,LEGAL FEES,5110252584,"17,500.00",14/04/2023,HOUSING & LAND,HOUSING SERVICES,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110247895,"394,000.00",24/04/2023,GOOD GROWTH,PLANNING SERVICES,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110247895,"-269,690.45",24/04/2023,GOOD GROWTH,PLANNING SERVICES,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110244292,"5,000.00",19/04/2023,HOUSING & LAND,HOUSING SERVICES,
10002284,BDB PITMANS LLP,542300,LEGAL FEES,5110262332,"12,583.12",24/04/2023,GOOD GROWTH,PLANNING SERVICES,
10002349,BUSINESS IN THE COMMUNITY,533100,PUBLICATIONS & PERIODICALS,5110247933,"7,402.00",21/04/2023,AEB,CHILDREN'S & EDUCATION SERVICES,
10002527,XEROX (UK) LTD,535300,POSTAGE,5110259213,"2,711.50",28/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10002527,XEROX (UK) LTD,535300,POSTAGE,5110259234,"2,711.50",28/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10002527,XEROX (UK) LTD,535300,POSTAGE,5110242034,264.5,12/04/2023,GOOD GROWTH,PLANNING SERVICES,
10002638,SETON LTD,536400,COMPUTER CONSUMABLES,5110243633,900,26/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10002663,CITY & GUILDS LONDON INSTITUTE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110259332,"5,000.00",17/04/2023,GOOD GROWTH,PLANNING SERVICES,
10002769,MARKET RESERACH SOCIETY,504210,CONFERENCES & SEMINARS,5110091888,295,06/04/2023,STRATEGY & COMMUNICATIONS,PUBLIC HEALTH,
10002789,AVISON YOUNG (UK) LIMITED,542355,OTHER PROFESSIONAL FEES,5110244346,"12,300.00",19/04/2023,GOOD GROWTH,PLANNING SERVICES,
10003065,LONDON FIRE & EMERGENCY PLANNING,542000,MANAGEMENT & SUPPORT CONSULTANCY,5110237536,"27,618.75",04/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10003248,POSTURITE (UK)  LTD,530000,FURNITURE & EQUIPMENT,5110263654,842.4,26/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10003560,EVERSHEDS,542300,LEGAL FEES,5110242666,"3,600.00",12/04/2023,AEB,CHILDREN'S & EDUCATION SERVICES,
10003560,EVERSHEDS,542300,LEGAL FEES,5110241010,"6,175.00",04/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10003560,EVERSHEDS,542300,LEGAL FEES,5110249572,"1,846.00",06/04/2023,HOUSING & LAND,HOUSING SERVICES,
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5110239771,702,04/04/2023,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE,
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5110239778,864,04/04/2023,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE,
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5110249519,594,04/04/2023,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE,
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5110249979,324,04/04/2023,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE,
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5110251631,297,04/04/2023,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE,
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5110241356,"2,000.00",04/04/2023,HOUSING & LAND,HOUSING SERVICES,
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5110241357,"3,500.00",04/04/2023,HOUSING & LAND,HOUSING SERVICES,
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5110241359,"2,000.00",04/04/2023,HOUSING & LAND,HOUSING SERVICES,
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5110242033,"1,600.00",11/04/2023,HOUSING & LAND,HOUSING SERVICES,
10004619,BT SERVICE AGILITY,535000,TELEPHONY FIXED,1900076286,876.91,05/04/2023,CHIEF OFFICER,SUPPORT COSTS,
10004726,EXPERIAN LTD,536200,COMPUTER SOFTWARE,5110252909,"30,000.00",12/04/2023,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES,
10006036,LONDON BOROUGH OF HACKNEY,544063,INCOME MAXIMISATION EXPENSES,5110239741,"193,145.00",04/04/2023,RESOURCES,CORPORATE & DEMOCRATIC CORE,
10006055,L B HAMMERSMITH & FULHAM,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110252549,"24,515.00",14/04/2023,GOOD GROWTH,CAPITAL,
10006137,L B HILLINGDON,544063,INCOME MAXIMISATION EXPENSES,5110251636,"267,230.00",19/04/2023,RESOURCES,CORPORATE & DEMOCRATIC CORE,
10006154,L B HOUNSLOW,544063,INCOME MAXIMISATION EXPENSES,5110247724,"114,879.00",14/04/2023,RESOURCES,CORPORATE & DEMOCRATIC CORE,
10006154,L B HOUNSLOW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110259347,"168,884.51",21/04/2023,GOOD GROWTH,PLANNING SERVICES,
10006188,IMPERIAL COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110247455,"2,488.24",19/04/2023,GOOD GROWTH,PLANNING SERVICES,
10006188,IMPERIAL COLLEGE,540000,ADVERTISING,5110241772,"10,000.00",05/04/2023,GOOD GROWTH,PLANNING SERVICES,
10006188,IMPERIAL COLLEGE,540000,ADVERTISING,5110241772,"-1,666.67",05/04/2023,GOOD GROWTH,PLANNING SERVICES,
10006188,IMPERIAL COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5110247455,-356.38,19/04/2023,GOOD GROWTH,PLANNING SERVICES,
