Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

New Hope Rentals,Homelessness Provision,01 August 2024, £420.00 ,PO00044776,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,01 August 2024, £420.00 ,PO00044777,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,01 August 2024, £420.00 ,PO00044778,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,01 August 2024, £420.00 ,PO00044779,HOMEPROV,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,01 August 2024," £1,011.17 ",PO00044780,CLEAN1,Purchase order

BALM & DAVIES LTD,Property Maintenance,01 August 2024, £436.24 ,PO00044782,PROP3,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,01 August 2024," £12,169.77 ",PO00044787,VEHIC2,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,01 August 2024, £366.00 ,PO00044788,VEHIC2,Purchase order

BADDOW ROAD SUPPLIES LTD,Vehicle Tools and Equipment,01 August 2024, £324.32 ,PO00044789,VEHIC10,Purchase order

LOOKERS FORD CHELMSFORD,Vehicle Maintenance,01 August 2024," £1,289.29 ",PO00044790,VEHIC8,Purchase order

MIKE DODSWORTH,Events,01 August 2024, £500.00 ,PO00044792,EVENTS,Purchase order

WALLACE KENNELS,Kennel Fees,01 August 2024, £375.00 ,PO00044795,KENNEL,Purchase order

Selectamark Security Systems Plc,Events,01 August 2024, £500.00 ,PO00044796,EVENTS,Purchase order

Sneaky AV Ltd,Performing Arts,01 August 2024," £3,300.00 ",PO00044797,PERFORM,Purchase order

F A Bartlett Tree expert co ltd,Tree Management Services,01 August 2024, £560.00 ,PO00044803,TREE,Purchase order

Montrose Trees,Tree Management Services,01 August 2024, £300.00 ,PO00044805,TREE,Purchase order

Adventure Forest Ltd T/a Go Ape,Events,01 August 2024," £1,710.00 ",PO00044806,EVENTS,Purchase order

BADDOW ROAD SUPPLIES LTD,Recycling Services,01 August 2024," £4,943.71 ",PO00044807,RECYCL1,Purchase order

RELAY LTD,Maintenance,01 August 2024, £828.00 ,PO00044812,OSREPAIR,Purchase order

HARPER COLLINS PUBLISHERS LIMITED,Museums & Galleries,01 August 2024, £329.78 ,PO00044814,MUSEUM,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,01 August 2024, £389.80 ,PO00044815,BUILD07,Purchase order

ROYAL MAIL WEST TE,Postage,01 August 2024," £3,127.49 ",,MAIL1,Direct Debit

ANGLIAN WATER BUSI,Water,01 August 2024, £674.23 ,,WATER,Direct Debit

ANGLIAN WATER BUSI,Water,01 August 2024, £323.38 ,,WATER,Direct Debit

PRETTYS,Legal Advice,02 August 2024," £8,211.50 ",PO00044820,LEGAL4,Purchase order

CONSTANT COOLING LTD,Building Repairs,02 August 2024, £650.60 ,PO00044822,BUILD07,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02 August 2024," £3,710.00 ",PO00044823,HOMEPROV,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02 August 2024," £3,710.00 ",PO00044824,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,02 August 2024," £2,409.64 ",PO00044825,CLEAN2,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024, £540.83 ,PO00044826,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,02 August 2024," £2,221.72 ",PO00044827,CLEAN2,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,02 August 2024," £7,861.60 ",PO00044828,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024, £691.25 ,PO00044829,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024, £295.00 ,PO00044830,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024," £1,155.00 ",PO00044831,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024," £1,138.50 ",PO00044832,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024," £1,534.50 ",PO00044833,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024," £1,534.50 ",PO00044834,HOMEPROV,Purchase order

Letting International Ltd,Homelessness Provision,02 August 2024," £15,515.00 ",PO00044835,HOMEPROV,Purchase order

OASIS HOTEL HARLOW LTD,Homelessness Provision,02 August 2024," £1,534.50 ",PO00044836,HOMEPROV,Purchase order

ANGLIAN WATER,Water (Utility),02 August 2024, £692.45 ,PO00044837,WATER,Purchase order

M J FENCING LTD,Signage - Installation & Maintenance,02 August 2024, £810.00 ,PO00044839,SIGN2,Purchase order

CMUK VISUAL SAFETY LTD,Healthcare Equipment,02 August 2024, £619.90 ,PO00044841,HEALTH2,Purchase order

