Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

NEW ERA FUELS LIMITED,Heating Oil,03 February 2025, £665.00 ,PO00050502,HEATOIL,Purchase order

Cannon Access Ltd,Performing Arts,03 February 2025, £355.00 ,PO00050503,PERFORM,Purchase order

ESSEX COUNTY FIRE & RESCUE SERVICE,Subscriptions,03 February 2025," £1,495.97 ",PO00050508,SUBS,Purchase order

PP Refurbishments,DFGS Grant,03 February 2025," £6,040.00 ",PO00050509,DFGS,Purchase order

REDACTED,Temporary Staff,03 February 2025, £252.50 ,PO00050512,HR2,Purchase order

CIVICA ELECTION SERVICES,Election Services,03 February 2025," £12,267.58 ",PO00050513,LEGAL2,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,03 February 2025, £692.75 ,PO00050514,VEHIC5,Purchase order

NEW ERA FUELS LIMITED,Fuel,03 February 2025," £28,954.17 ",PO00050515,FUEL1,Purchase order

J D ROBERTSON & CO LTD,Vehicle Hire,03 February 2025, £750.00 ,PO00050516,VEHIC5,Purchase order

WASTEPARTS UK LTD,Vehicles Parts,03 February 2025," £1,271.46 ",PO00050517,VEHIC7,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Maintenance,03 February 2025, £340.00 ,PO00050518,VEHIC8,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,03 February 2025, £607.52 ,PO00050519,VEHIC8,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,03 February 2025, £747.92 ,PO00050520,VEHIC8,Purchase order

HAYS MONTROSE,Temporary Staff,03 February 2025, £780.35 ,PO00050527,HR2,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,03 February 2025," £1,156.50 ",PO00050532,BUILD07,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,03 February 2025, £374.92 ,PO00050537,BUILD07,Purchase order

Arthur J Gallagher Insurance Brokers Ltd,Insurance,03 February 2025," £8,500.00 ",PO00050540,INSURE,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,03 February 2025," £3,686.28 ",PO00050541,HOMEPROV,Purchase order

