Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02 December 2024," £37,914.28 ",PO00048751,HOMEPROV,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02 December 2024," £17,415.00 ",PO00048750,HOMEPROV,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024," £13,155.54 ",PO00048739,VEHIC2,Purchase order

Letting International Ltd,Homelessness Provision,02 December 2024," £10,950.00 ",PO00048713,HOMEPROV,Purchase order

LINK CCTV SYSTEMS,CCTV,02 December 2024," £8,320.27 ",PO00048721,CCTV,Purchase order

Witham Forge Limited,Sports Equipment,02 December 2024," £6,780.00 ",PO00048727,SPORT2,Purchase order

London International Arts Theatre Limited,Performing Arts,02 December 2024," £5,661.79 ",PO00048753,PERFORM,Purchase order

LIVE NATION (MUSIC) UK LTD,Performing Arts,02 December 2024," £4,412.70 ",PO00048756,PERFORM,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02 December 2024," £3,710.00 ",PO00048734,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,02 December 2024," £2,875.00 ",PO00048718,CLEAN2,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,Maintenance,02 December 2024," £2,724.28 ",PO00048720,OSREPAIR,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,02 December 2024," £2,047.00 ",PO00048731,VEHIC5,Purchase order

ERNEST DOE & SONS LTD,Vehicle Maintenance,02 December 2024," £1,831.45 ",PO00048757,VEHIC8,Purchase order

BARCLAYCARD,Banking,02 December 2024," £1,700.00 ",,FIN2,Direct Debit

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024," £1,413.48 ",PO00048741,VEHIC2,Purchase order

TELESHORE UK LTD,Crematorium Equipment,02 December 2024," £1,368.00 ",PO00048722,CREM1,Purchase order

Potter Raper Ltd,Consultancy,02 December 2024," £1,000.00 ",PO00048743,CONSULT,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,02 December 2024, £782.00 ,PO00048740,VEHIC2,Purchase order

LONGFIELD MEDIA LTD,Promotional Advertising,02 December 2024, £695.00 ,PO00048712,ADVRT1,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £556.95 ,PO00048746,ADVRT2,Purchase order

REDACTED,Performing Arts,02 December 2024, £556.79 ,PO00048754,PERFORM,Purchase order

BRENTWOOD COMMUNICATIONS LTD,Performing Arts,02 December 2024, £473.00 ,PO00048744,PERFORM,Purchase order

Montrose Trees,Tree Management Services,02 December 2024, £400.00 ,PO00048736,TREE,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £382.65 ,PO00048747,ADVRT2,Purchase order

ESSEX SUPPLIES (UK) LTD,Cleaning Supplies,02 December 2024, £352.88 ,PO00048724,CLEAN1,Purchase order

ATE (UK) LIMITED,Vehicles Parts,02 December 2024, £334.95 ,PO00048735,VEHIC7,Purchase order

I-SEE ACCESS SOLUTIONS,Building Repairs,02 December 2024, £320.00 ,PO00048729,BUILD07,Purchase order

A E SIMMONS LTD,Stationary,02 December 2024, £297.00 ,PO00048733,STAT1,Purchase order

TMP (UK) LTD,Statutory Advertising,02 December 2024, £266.45 ,PO00048752,ADVRT2,Purchase order

PROPERTY STOP,Homelessness Provision,03 December 2024," £28,390.00 ",PO00048786,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,03 December 2024," £28,385.00 ",PO00048785,HOMEPROV,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 December 2024," £8,606.07 ",PO00048763,CLEAN2,Purchase order

VIVEDIA LTD,Crematorium Equipment,03 December 2024," £4,092.00 ",PO00048822,CREM1,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,03 December 2024," £3,955.00 ",PO00048818,HR2,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,03 December 2024," £3,154.80 ",PO00048794,HOMEPROV,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,03 December 2024," £2,664.00 ",PO00048819,HR2,Purchase order

ESSEX COUNTY COUNCIL,Legal Advice,03 December 2024," £2,381.07 ",PO00048807,LEGAL4,Purchase order

NEWLYN,Parking Fines Collection,03 December 2024," £2,198.04 ",PO00048769,FINES,Purchase order

BOOKER LTD,Bar Stock,03 December 2024," £1,663.74 ",,CAT2,Direct Debit

AUTO JET,Vehicle Maintenance,03 December 2024," £1,625.00 ",PO00048777,VEHIC8,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03 December 2024," £1,595.00 ",PO00048762,CLEAN2,Purchase order

AUTO JET,Vehicle Maintenance,03 December 2024," £1,460.00 ",PO00048771,VEHIC8,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,03 December 2024," £1,278.16 ",PO00048764,CAT2,Purchase order

I Picture This,Museums & Galleries,03 December 2024," £1,200.00 ",PO00048808,MUSEUM,Purchase order

