Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

ORIGIN AMENITY SOLUTIONS,Sports Equipment,28-Jun-24, \ ,PO00043631,SPORT2,Purchase order

TECHNOLOGY ONE UK LTD,Software as a Service,04-Jun-24," £182,527.60 ",PO00042707,DIGI8,Purchase order

EDFENERGY CUST PLC,Utilities Gas,26-Jun-24," £135,331.19 ",,GAS,Direct Debit

TOTALENERGIES G&P,Utilities Gas,19-Jun-24," £100,277.65 ",,GAS,Direct Debit

TOTALENERGIES G&P,Utilities Gas,19-Jun-24," £87,650.30 ",,GAS,Direct Debit

NATWEST ONECARD,Banking,17-Jun-24," £60,731.06 ",,FIN2,Direct Debit

ESSEX COUNTY COUNCIL,Waste Disposal Services,28-Jun-24," £53,851.99 ",PO00043613,WASTE2,Purchase order

GLADSTONE MRM LTD,Software,07-Jun-24," £51,988.00 ",PO00042904,LICENCE,Purchase order

PPL PRS LTD,Software,24-Jun-24," £51,971.11 ",PO00043411,LICENCE,Purchase order

TOTALENERGIES G&P,Utilities Gas,19-Jun-24," £44,933.08 ",,GAS,Direct Debit

COVERTSWARM LIMITED,Consultancy,10-Jun-24," £36,613.80 ",PO00042976,CONSULT,Purchase order

NEW ERA FUELS LIMITED,Fuel,24-Jun-24," £30,334.00 ",PO00043410,FUEL1,Purchase order

NEW ERA FUELS LIMITED,Fuel,04-Jun-24," £29,779.90 ",PO00042654,FUEL1,Purchase order

NEW ERA FUELS LIMITED,Fuel,11-Jun-24," £29,414.28 ",PO00043026,FUEL1,Purchase order

Springers Amateur Operatic & Dramatic Society,Performing Arts,27-Jun-24," £27,487.66 ",PO00043595,PERFORM,Purchase order

PROPERTY STOP,Homelessness Provision,24-Jun-24," £27,080.00 ",PO00043431,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,24-Jun-24," £26,480.00 ",PO00043430,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,06-Jun-24," £26,340.00 ",PO00042813,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,06-Jun-24," £26,100.00 ",PO00042814,HOMEPROV,Purchase order

ESSEX RECLAMATION,Recycling Services,06-Jun-24," £24,415.86 ",PO00042835,RECYCL1,Purchase order

LEDSynergy Displays Ltd,Signage - Installation & Maintenance,13-Jun-24," £24,389.00 ",PO00043128,SIGN2,Purchase order

PHOENIX SOFTWARE LTD,Software,25-Jun-24," £22,910.86 ",PO00043460,DIGIT7,Purchase order

GERALD EVE LLP,Consultancy,28-Jun-24," £21,720.00 ",PO00043604,CONSULT,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £19,660.93 ",PO00042661,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £17,831.66 ",PO00042660,HR2,Purchase order

NPOWER,Utilities Gas,17-Jun-24," £16,814.78 ",,GAS,Direct Debit

PP Refurbishments,DFGS Grant,14-Jun-24," £14,938.00 ",PO00043165,DFGS,Purchase order

GRANGEWOOD PLASTIC PACKAGING LTD,Street Cleaning Services,10-Jun-24," £14,150.00 ",PO00042961,CLEAN5,Purchase order

BARCLAYCARD,Banking,10-Jun-24," £13,958.81 ",,FIN2,Direct Debit

VDC TRADING LIMITED,Performing Arts,21-Jun-24," £13,882.60 ",PO00043370,PERFORM,Purchase order

A Way With Media Productions Ltd,Performing Arts,05-Jun-24," £12,983.74 ",PO00042756,PERFORM,Purchase order

JAAMA LIMITED,Vehicle Maintenance,05-Jun-24," £12,811.09 ",PO00042755,VEHIC8,Purchase order

GM Sweepers UK Ltd,Vehicle Maintenance,21-Jun-24," £12,552.00 ",PO00043377,VEHIC8,Purchase order

Nasstar,Digital Maintenance & Support,12-Jun-24," £12,492.86 ",PO00043069,DIGIT6,Purchase order

LINK CCTV SYSTEMS,CCTV,24-Jun-24," £12,341.04 ",PO00043435,CCTV,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,07-Jun-24," £12,169.77 ",PO00042882,VEHIC2,Purchase order

PPL PRS LTD,Performing Arts,13-Jun-24," £11,943.87 ",PO00043125,PERFORM,Purchase order

Letting International Ltd,Homelessness Provision,06-Jun-24," £11,470.00 ",PO00042859,HOMEPROV,Purchase order

TECHNICAL DISPLAY SYSTEMS LIMITED,Digital Maintenance & Support,26-Jun-24," £11,340.00 ",PO00043553,DIGIT6,Purchase order

HAYS MONTROSE,Temporary Staff,26-Jun-24," £10,548.03 ",PO00043525,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £10,460.75 ",PO00042656,HR2,Purchase order

Stef & Philips Ltd,Homelessness Provision,07-Jun-24," £10,451.50 ",PO00042902,HOMEPROV,Purchase order

CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,05-Jun-24," £10,354.00 ",PO00042739,HOMEPROV,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £10,292.29 ",PO00042658,HR2,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,Construction - Permanent Structures,13-Jun-24," £9,964.00 ",PO00043120,BUILD06,Purchase order

HAYS MONTROSE,Temporary Staff,26-Jun-24," £9,503.45 ",PO00043524,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,26-Jun-24," £9,481.06 ",PO00043522,HR2,Purchase order

ONE FROM THE HEART,Performing Arts,13-Jun-24," £9,094.00 ",PO00043123,PERFORM,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,04-Jun-24," £9,008.00 ",PO00042668,HOMEPROV,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £8,888.32 ",PO00042657,HR2,Purchase order

HAYS MONTROSE,Temporary Staff,04-Jun-24," £8,774.75 ",PO00042655,HR2,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,10-Jun-24," £8,500.50 ",PO00042967,HOMEPROV,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,17-Jun-24," £8,410.50 ",PO00043194,HOMEPROV,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,27-Jun-24," £8,410.50 ",PO00043563,HOMEPROV,Purchase order

LINK CCTV SYSTEMS,CCTV,07-Jun-24," £8,320.27 ",PO00042879,CCTV,Purchase order

SPEKTRIX LIMITED,Telecoms,18-Jun-24," £8,294.72 ",,DIGIT8,Direct Debit

BADDOW ROAD SUPPLIES LTD,Uniforms & Workwear (not PPE),27-Jun-24," £8,184.58 ",PO00043587,UNIFORM,Purchase order

MICK PERRIN WORLD WIDE LTD,Performing Arts,27-Jun-24," £8,093.94 ",PO00043589,PERFORM,Purchase order

EDESIX LTD,Traffic Wardens,19-Jun-24," £7,800.00 ",PO00043275,TRAFF2,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,05-Jun-24," £7,713.43 ",PO00042715,CLEAN2,Purchase order

ETC Sports Surfaces Limited,Sports Pitches,27-Jun-24," £7,650.00 ",PO00043569,SPORT1,Purchase order

COMPLETE CONSTRUCTION,Construction - Permanent Structures,10-Jun-24," £7,500.00 ",PO00042975,BUILD06,Purchase order

Park Promotions LTD,Performing Arts,02-Jun-24," £7,457.99 ",PO00042601,PERFORM,Purchase order

ANGLIAN WATER BUSI,Water,21-Jun-24," £7,457.11 ",,WATER,Direct Debit

ENTERTAINERS SHOW PROVIDERS,Performing Arts,02-Jun-24," £7,275.19 ",PO00042606,PERFORM,Purchase order

ShowPlanr Ltd,Performing Arts,18-Jun-24," £7,006.04 ",PO00043217,PERFORM,Purchase order

T J COTTIS TRANSPORT LIMITED,Waste Collection Services,05-Jun-24," £6,907.60 ",PO00042713,WASTE1,Purchase order

WAVENET LIMITED,Telecoms,25-Jun-24," £6,856.62 ",,DIGIT8,Direct Debit

Mark Thompson Productions Limited,Performing Arts,04-Jun-24," £6,804.63 ",PO00042682,PERFORM,Purchase order

Redacted,Performing Arts,26-Jun-24," £6,718.45 ",PO00043534,PERFORM,Purchase order

WESTFIELD CONT HEA,Insurance,17-Jun-24," £6,675.71 ",,HR2,Direct Debit

CRAEMER,Waste Management Equipment,24-Jun-24," £6,487.50 ",PO00043433,WASTE3,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £6,405.00 ",PO00042747,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £6,405.00 ",PO00043094,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £6,405.00 ",PO00043265,HOMEPROV,Purchase order

ASHE GREEN CIVIL ENGINEERS LTD,DFGS Grant,17-Jun-24," £6,185.00 ",PO00043182,DFGS,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £6,130.00 ",PO00043516,HOMEPROV,Purchase order

Philip Grahame International Ltd,Performing Arts,20-Jun-24," £6,007.37 ",PO00043348,PERFORM,Purchase order

IFZW Maintenance LTD,Crematorium Maintenance,11-Jun-24," £5,988.80 ",PO00043010,CREM2,Purchase order

Trinity Construction Services Ltd,DFGS Grant,06-Jun-24," £5,958.00 ",PO00042874,DFGS,Purchase order

COMPLETE CONSTRUCTION,Building Repairs,25-Jun-24," £5,875.00 ",PO00043457,BUILD07,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £5,705.00 ",PO00043517,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £5,670.00 ",PO00042742,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £5,670.00 ",PO00043090,HOMEPROV,Purchase order

BAYLIS LANDSCAPE CONTRACTORS,Sports Equipment,28-Jun-24," £5,644.00 ",PO00043616,SPORT2,Purchase order

Nickolds Property Management,Homelessness Provision,14-Jun-24," £5,625.00 ",PO00043175,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,610.00 ",PO00043266,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,535.00 ",PO00043260,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £5,490.00 ",PO00042748,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £5,480.00 ",PO00043092,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,26-Jun-24," £5,355.00 ",PO00043511,HOMEPROV,Purchase order

GREENWORKS CONTROLLED ENVIRONMENTS LTD,Building Repairs,28-Jun-24," £5,317.00 ",PO00043611,BUILD07,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £5,285.00 ",PO00042743,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £5,285.00 ",PO00043091,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,260.00 ",PO00043263,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,150.00 ",PO00043261,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,05-Jun-24," £5,040.00 ",PO00042750,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,12-Jun-24," £5,040.00 ",PO00043098,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,19-Jun-24," £5,040.00 ",PO00043262,HOMEPROV,Purchase order

