Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

Adam & Greenwood Funeral Home,Burial & Cremation,01/07/2024," £1,564.00 ",PO00043653,CREM4,Purchase order

ANGLIAN WATER,Water (Utility),01/07/2024, £561.87 ,PO00043643,WATER,Purchase order

BADDOW ROAD SUPPLIES LTD,Crematorium Equipment,01/07/2024, £464.50 ,PO00043657,CREM1,Purchase order

CARRINGTON WEST LTD,Temporary Staff,01/07/2024," £1,675.00 ",PO00043638,HR2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/07/2024," £1,126.22 ",PO00043660,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/07/2024," £8,096.80 ",PO00043661,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/07/2024," £10,078.60 ",PO00043662,LEGAL2,Purchase order

COUNTY PUMPS LTD,Vehicle Maintenance,01/07/2024, £401.20 ,PO00043654,VEHIC8,Purchase order

DMG OFFICE  LTD,PPE Workwear,01/07/2024," £1,338.00 ",PO00043641,PPE1,Purchase order

HAYS MONTROSE,Temporary Staff,01/07/2024, £646.41 ,PO00043633,HR2,Purchase order

IDSERVICES,Property Maintenance,01/07/2024," £2,280.00 ",PO00043646,PROP3,Purchase order

ILLUMIN8 LIGHTS LTD,Election Services,01/07/2024, £300.00 ,PO00043664,LEGAL2,Purchase order

I-SEE ACCESS SOLUTIONS,Building Repairs,01/07/2024, £670.54 ,PO00043666,BUILD07,Purchase order

KPMG LLP,Accountancy Services,01/07/2024," £10,000.00 ",PO00043634,FIN1,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,01/07/2024, £604.19 ,PO00043651,BUILD07,Purchase order

LASER ELECTRICAL SERVICES LTD,Building Repairs,01/07/2024," £2,528.82 ",PO00043652,BUILD07,Purchase order

LAW ABSOLUTE,Temporary Staff,01/07/2024," £1,395.00 ",PO00043665,HR2,Purchase order

MOVOLYTICS LIMITED,Vehicles Parts,01/07/2024, £600.00 ,PO00043656,VEHIC7,Purchase order

New Hope Rentals,Homelessness Provision,01/07/2024, £560.00 ,PO00043632,HOMEPROV,Purchase order

PITNEY BOWES,Postage,01/07/2024," £15,182.57 ",,MAIL1,Direct Debit

REDSTONE,Digital Maintenance & Support,01/07/2024, £429.50 ,PO00043658,DIGIT6,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,01/07/2024," £3,710.00 ",PO00043670,HOMEPROV,Purchase order

TMP (UK) LTD,Statutory Advertising,01/07/2024, £440.75 ,PO00043659,ADVRT2,Purchase order

TWOFOLD DOCUMENT MANAGEMENT SYSTEMS,Election Services,01/07/2024, £357.65 ,PO00043663,LEGAL2,Purchase order

VIVEDIA LTD,Crematorium Equipment,01/07/2024," £4,229.00 ",PO00043645,CREM1,Purchase order

VIVEDIA LTD,Crematorium Equipment,01/07/2024," £11,469.96 ",PO00043644,CREM1,Purchase order

WOBURN CHEMICALS,Chemicals,01/07/2024, £765.00 ,PO00043637,CHEM,Purchase order

4x1.5mm speaker cable for show relay,BUILDING,02/07/2024, £814.06 ,,,Procurement card

ATH TRAINING GROUP LTD,Training / Course Fees,02/07/2024, £950.00 ,PO00043725,TRG1,Purchase order

BAKER ROSS HARLOW aids for Crucial Crew Project,PUBLIC PLACES,02/07/2024, £578.15 ,,,Procurement card

BOOKER LTD,Bar Stock,02/07/2024," £1,630.29 ",,CAT2,Direct Debit

