Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02/01/2025," £47,601.64 ",PO00049575,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,02/01/2025," £28,175.00 ",PO00049574,HOMEPROV,Purchase order

PROPERTY STOP,Homelessness Provision,02/01/2025," £27,965.00 ",PO00049573,HOMEPROV,Purchase order

HOUSING ACTION MANAGEMENT LIMITED,Homelessness Provision,02/01/2025," £12,079.50 ",PO00049542,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,02/01/2025," £7,980.00 ",PO00049530,HOMEPROV,Purchase order

HALFORDS PLC,Cycles - Equipment,02/01/2025," £6,814.00 ",PO00049561,CYCLE1,Purchase order

GB ADAPTATIONS,DFGS Grant,02/01/2025," £5,413.00 ",PO00049578,DFGS,Purchase order

SR*25019 - mscrm add-on annual payment,,02/01/2025," £4,838.86 ",,,Procurement card

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,02/01/2025," £4,525.00 ",PO00049579,DFGS,Purchase order

VIVEDIA LTD,Burial & Cremation,02/01/2025," £4,412.00 ",PO00049555,CREM4,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02/01/2025," £3,710.00 ",PO00049529,HOMEPROV,Purchase order

CHELMSFORD CHESS,Homelessness Provision,02/01/2025," £3,250.00 ",PO00049571,HOMEPROV,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,02/01/2025," £2,021.79 ",PO00049576,HOMEPROV,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,02/01/2025," £1,579.79 ",PO00049559,SECUR4,Purchase order

TRAVELODG TRAVELODGE ,,02/01/2025," £1,339.78 ",,,Procurement card

LAMPWICK CARE LIMITED,Homelessness Provision,02/01/2025," £1,336.79 ",PO00049570,HOMEPROV,Purchase order

PRINTED EASY LETCHWORTH GA,,02/01/2025," £1,107.00 ",,,Procurement card

HSFLORALDESIGNS.CO.UK BLACKMORE IN,,02/01/2025," £1,080.00 ",,,Procurement card

Environmental Protection Lead Officer (REQ2471),,02/01/2025," £1,020.00 ",,,Procurement card

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,02/01/2025, £931.59 ,PO00049552,VEHIC8,Purchase order

ROYAL MAIL WEST TE,Postage,02/01/2025, £891.64 ,,MAIL1,Diret Debit

MOBILITY SOLUTIONS (SOUTH) LIMITED,DFGS Grant,02/01/2025, £870.00 ,PO00049580,DFGS,Purchase order

S B SKIP HIRE,Waste Disposal Services,02/01/2025, £810.00 ,PO00049568,WASTE2,Purchase order

CHELMSFORD AUTO ELECTR WITHAM,,02/01/2025, £742.67 ,,,Procurement card

PALL MALL PREMIER CARS,Vehicle Hire,02/01/2025, £742.50 ,PO00049572,VEHIC5,Purchase order

LAMPWICK CARE LIMITED,Homelessness Provision,02/01/2025, £735.00 ,PO00049569,HOMEPROV,Purchase order

FACEBK  EE9NSHGAK2 FB.ME/ADS,,02/01/2025, £700.00 ,,,Procurement card

GLASDON UK LIMITED,Recycling Services,02/01/2025, £689.20 ,PO00049535,RECYCL1,Purchase order

EH Pathway enrolment,,02/01/2025, £681.00 ,,,Procurement card

