Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

FREEDOM COMMUNICAT,Telecoms,11/01/2024," £1,606.07 ",,DIGIT8,Direct Debit

BARCLAYCARD,Banking,11/01/2024, £335.00 ,,FIN2,Direct Debit

BARCLAYCARD,Banking,11/04/2024, £520.60 ,,FIN2,Direct Debit

BOOKER LTD,Bar Stock,11/06/2024," £2,490.62 ",,CAT2,Direct Debit

COMP VOUCHER SERV,Subscriptions,11/06/2024," £1,298.84 ",,SUBS,Direct Debit

GRAPE PASSIONS LTD,Bar Stock,11/07/2024," £4,240.11 ",,CAT2,Direct Debit

LACONS BREWERY LIM,Bar Stock,11/07/2024," £2,482.58 ",,CAT2,Direct Debit

BARCLAYCARD,Banking,11/07/2024, £769.40 ,,FIN2,Direct Debit

PJR Communications Ltd,Promotional Advertising,01/11/2024, £545.00 ,PO00047709,ADVRT1,Purchase order

LSA PROJECTS LTD,Sports Equipment,01/11/2024, £583.76 ,PO00047713,SPORT2,Purchase order

A FIFIELD SERVICES,Sports Equipment - Court & Field,01/11/2024, £325.00 ,PO00047715,SPORT4,Purchase order

WALKERS CLEANING SERVICES LTD,Cleaning Services - External,01/11/2024," £1,762.50 ",PO00047716,CLEAN2,Purchase order

FISK FIRE MAINTENANCE LIMITED,Building Repairs,01/11/2024," £1,018.50 ",PO00047718,BUILD07,Purchase order

DIAL A JET DRAINAGE LTD,Building Repairs,01/11/2024, £260.00 ,PO00047719,BUILD07,Purchase order

REDACTED,Temporary Staff,01/11/2024, £266.50 ,PO00047720,HR2,Purchase order

LINK CCTV SYSTEMS,CCTV,01/11/2024," £6,593.34 ",PO00047723,CCTV,Purchase order

LINK CCTV SYSTEMS,CCTV,01/11/2024, £872.70 ,PO00047724,CCTV,Purchase order

STAGE RIGHT PROMOTIONS LTD,Performing Arts,01/11/2024," £7,431.68 ",PO00047725,PERFORM,Purchase order

PRESTIGE PRODUCTIONS LTD,Performing Arts,01/11/2024," £6,442.90 ",PO00047726,PERFORM,Purchase order

