Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

G & B FINCH SOILS,Aggregates,01/05/2024,£559.17,PO00041540,AGGRG,Purchase order

SHARPE PRITCHARD LLP,Legal Advocacy,01/05/2024,"£14,000.00",PO00041543,LEGAL1,Purchase order

BAILEY VENNING ASSOCIATES LIMITED,Consultancy,01/05/2024,"£4,995.00",PO00041544,CONSULT,Purchase order

 HYDRAQUIP HOSE & HYDRAULICS,Vehicle Maintenance,01/05/2024,£641.06,PO00041545,VEHIC8,Purchase order

SELLICK PARTNERSHIP,Temporary Staff,01/05/2024,"£2,380.00",PO00041548,HR2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/05/2024,"£1,515.15",PO00041550,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/05/2024,"£10,971.00",PO00041551,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/05/2024,"£10,315.10",PO00041552,LEGAL2,Purchase order

CORPORATE MAILING SOLUTIONS,Election Services,01/05/2024,"£1,227.84",PO00041553,LEGAL2,Purchase order

St Peter's C of E VA Primary School,Election Services,01/05/2024,£400.00,PO00041554,LEGAL2,Purchase order

Danbury Parish Council,Election Services,01/05/2024,£600.00,PO00041555,LEGAL2,Purchase order

BADDOW ROAD SUPPLIES LTD,PPE Workwear,01/05/2024,"£1,653.65",PO00041558,PPE1,Purchase order

REDACTED,Events,01/05/2024,£660.00,PO00041559,EVENTS,Purchase order

Davies Burton Sweetlove Ltd,Building Surveys,01/05/2024,"£2,475.00",PO00041563,SURVEY1,Purchase order

LLG ENTERPRISES LIMITED T/A LLG LEGAL,Subscriptions,01/05/2024,£345.00,PO00041564,SUBS,Purchase order

HEAVYHAUL (CHELMSFORD) LTD,Vehicle Recovery,01/05/2024,£285.00,PO00041572,VEHIC9,Purchase order

DENNIS EAGLE LTD,Vehicle Maintenance,01/05/2024,"£4,022.37",PO00041574,VEHIC8,Purchase order

ESSEX COUNTY COUNCIL,Waste Disposal Services,01/05/2024,"£53,010.58",PO00041579,WASTE2,Purchase order

PP Refurbishments,DFGS Grant,01/05/2024,"£4,530.00",PO00041589,DFGS,Purchase order

Fernite of Sheffield,Building Repairs,01/05/2024,£277.95,PO00041592,BUILD07,Purchase order

MARSH LIMITED UK,Insurance,01/05/2024,£343.27,PO00041593,INSURE,Purchase order

TRAVELERS INSURANCE COMPANY LTD,Insurance,01/05/2024,"£2,600.28",PO00041594,INSURE,Purchase order

W & H ROMAC LTD,Signage - Highway,01/05/2024,£367.22,PO00041595,SIGN4,Purchase order

W & H ROMAC LTD,Signage - Highway,01/05/2024,£250.00,PO00041596,SIGN4,Purchase order

W & H ROMAC LTD,Signage - Highway,01/05/2024,"£1,364.25",PO00041598,SIGN4,Purchase order

RIVERSIDE TRUCK RENTAL LTD,Vehicle Maintenance,01/05/2024,£828.97,PO00041600,VEHIC8,Purchase order

SITEXORBIS LIMITED,Traffic Wardens,01/05/2024,"£1,144.56",PO00041603,TRAFF2,Purchase order

DIRECT TYRE MANAGEMENT LTD,Tyres & Tubes,01/05/2024,"£1,564.85",PO00041606,VEHIC2,Purchase order

