Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Major works maintenance - HRA,Shop repairs,22-Jun-23,200060310,Allison Construction,"8,931.51"
Barrow Borough Council,Heritage Action Zone,Grants,14-Jun-23,200060147,TI Accountancy Ltd,557.44
Barrow Borough Council,Licensing,Subscriptions,29-Jun-23,200060356,Institute of Licensing,615
Barrow Borough Council,Waste collection,Other expenses,29-Jun-23,200060421,Pye Motors,500
Barrow Borough Council,Recycling,Electricity,14-Jun-23,200060142,Bryt Energy,"1,887.69"
Barrow Borough Council,Recycling,Agency staff,14-Jun-23,200060228,Pearce Bentley Security Services,"1,623.50"
Barrow Borough Council,Recycling,Waste Transfer Charges,14-Jun-23,200060210,FCC Recycling (UK) Ltd,"32,912.15"
Barrow Borough Council,Craven house,Buildings repairs and maintenance,08-Jun-23,200060093,Hughes Brothers,619.84
Barrow Borough Council,Barrow town hall,Buildings repairs and maintenance,29-Jun-23,200060424,FTS Fire & Secuirty Ltd,"1,240.00"
Barrow Borough Council,Current assets - stocks,Museum stock,22-Jun-23,200060236,Nature Planet Aps,618.6
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,29-Jun-23,200060471,EE Ltd,"2,429.06"
Barrow Borough Council,Corporate management,Professional fees,08-Jun-23,200060078,32West Ltd,"4,439.33"
Barrow Borough Council,Dock museum,Buildings repairs and maintenance,08-Jun-23,200060093,Hughes Brothers,671.39
Barrow Borough Council,Cemeteries,Grounds maintenance - other works,29-Jun-23,200060439,Continental Landscapes Ltd,"3,006.22"
Barrow Borough Council,Recycling,Agency staff,29-Jun-23,200060395,ALS Managed Services,"1,075.97"
Barrow Borough Council,Office support - admin,Photocopying charges,29-Jun-23,200060468,Ricoh UK Ltd,742.89
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,29-Jun-23,200060440,Howdens Joinery Ltd,754.86
Barrow Borough Council,Disabled Facilities Grant,Grants,01-Jun-23,200059979,Ocean Construction UK Ltd,"6,700.00"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,14-Jun-23,200060193,DLP Services (Northern) Ltd,"24,936.79"
Barrow Borough Council,Waste collection,Vehicle hire,01-Jun-23,200059966,Pye Motors,625
Barrow Borough Council,Recycling,Equipment purchase,29-Jun-23,200060445,Terry Chemicals Ltd,"1,104.82"
Barrow Borough Council,Off street car parking,Professional fees,22-Jun-23,200060243,Ringo Ltd,"1,259.81"
Barrow Borough Council,10CCLO Greatest Hits,Hire of halls,29-Jun-23,200060366,10CCLO,"-1,007.50"
Barrow Borough Council,Disabled Facilities Grant,Grants,29-Jun-23,200060472,Lee Bowron Glazing Ltd,"7,300.00"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,08-Jun-23,200060093,Hughes Brothers,"1,157.82"
Barrow Borough Council,Major works maintenance - HRA,Fire damage,22-Jun-23,200060279,Cumbria Design Scaffold Ltd,"1,400.00"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,14-Jun-23,200060193,DLP Services (Northern) Ltd,"8,800.20"
Barrow Borough Council,LUF - Public Realm.,Professional fees,08-Jun-23,200060105,Bob Pedley Safety Services,751
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,22-Jun-23,200060315,Liberata Uk Ltd,"1,359.02"
Barrow Borough Council,Barrow park,Grounds maintenance - schedule of works,08-Jun-23,200060111,Continental Landscapes Ltd,"25,829.09"
Barrow Borough Council,Planning Policy,Agency staff,08-Jun-23,200060059,The Oyster Partnership Ltd,"1,220.70"
Barrow Borough Council,Salthouse Road Depot,Electricity,22-Jun-23,200060335,NPower,"1,727.16"
Barrow Borough Council,Technical services,Consultants' fees,14-Jun-23,200060208,Bob Pedley Safety Services,"1,500.00"
Barrow Borough Council,Dr John Cooper-Clarke 06.05.23,Admissions,01-Jun-23,200060028,Crosstown Concerts Ltd,"11,675.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,01-Jun-23,200060036,Hughes Brothers,"15,634.98"
Barrow Borough Council,Tenant demand maintenance - HRA,Gas works,22-Jun-23,200060317,Sure Maintenance,"6,845.20"
Barrow Borough Council,Town Deal - Place Devt,Professional fees,29-Jun-23,200060371,James Taylor,500
Barrow Borough Council,Barrow Parish Council,Professional fees,22-Jun-23,200060261,Stephen Story Design,900
Barrow Borough Council,UKSPF Revenue,UKSPF Feasibility Studies,08-Jun-23,200060077,Buttress Architects Ltd,"4,196.88"
Barrow Borough Council,Dock museum,Building cleaning,29-Jun-23,200060465,Elior UK Ltd,"1,801.43"
Barrow Borough Council,Dock museum,Museum exhibition,29-Jun-23,200060372,Exhibition Plinths Ltd,522.76
Barrow Borough Council,Parks and open spaces,Grounds maintenance - other works,01-Jun-23,200059984,Continental Landscapes Ltd,"1,233.71"
Barrow Borough Council,Housing Benefits Admin,Professional fees,08-Jun-23,200060084,Ovaltech Ltd,650
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,01-Jun-23,200060005,Liberata Uk Ltd,776.22
Barrow Borough Council,Barrow town hall,Electricity,22-Jun-23,200060335,NPower,"6,268.51"
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,08-Jun-23,200060103,Bryan Moncur Ltd,-669.9
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,14-Jun-23,200060172,Horrocks (NorthWest) Ltd,-922
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,29-Jun-23,200060345,Progression Solicitors,"1,924.00"
Barrow Borough Council,Cyclical maintenance - HRA,Smoke alarms,29-Jun-23,200060430,Keith Wilson Elec Con Ltd,"32,909.24"
Barrow Borough Council,Frankie's Guys 05.05.23,Professional fees,01-Jun-23,200059958,David Michael Productions UK Ltd,"8,265.21"
Barrow Borough Council,Crematorium,Equipment purchase,08-Jun-23,200060086,Fibrous Ltd,732.17
Barrow Borough Council,Crematorium,Electricity,22-Jun-23,200060335,NPower,"2,735.78"
Barrow Borough Council,The markets,Buildings repairs and maintenance,22-Jun-23,200060304,Ocean Construction UK Ltd,"2,801.63"
Barrow Borough Council,Information technology,Agency staff,29-Jun-23,200060406,VennGroup Recruitment,"4,075.00"
Barrow Borough Council,Disabled Facilities Grant,Grants,01-Jun-23,200059977,Ward Contracting Ltd,"7,250.00"
Barrow Borough Council,Play Areas,Incidental costs,01-Jun-23,200060008,Play & Leisure Ltd,"14,055.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,29-Jun-23,200060460,Hughes Brothers,"18,037.58"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,29-Jun-23,200060464,DLP Services (Northern) Ltd,"4,318.67"
Barrow Borough Council,Pollution,Agency staff,14-Jun-23,200060164,Vivid Resourcing,"1,500.00"
Barrow Borough Council,Waste collection,Clothing and uniforms,29-Jun-23,200060390,Contego Safety Solutions Ltd,"1,126.80"
Barrow Borough Council,Recycling,Other expenses,29-Jun-23,200060438,Fingerprints,734.84
Barrow Borough Council,Recycling,Other expenses,29-Jun-23,200060429,Sinkfall Recycling,"2,823.68"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,29-Jun-23,200060464,DLP Services (Northern) Ltd,"28,788.63"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,01-Jun-23,200059990,Progression Solicitors,"1,077.50"
Barrow Borough Council,Cyclical maintenance - HRA,Smoke alarms,29-Jun-23,200060430,Keith Wilson Elec Con Ltd,"14,439.36"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,29-Jun-23,200060471,EE Ltd,"2,391.54"
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,29-Jun-23,200060463,TESGL Ltd,699.75
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,29-Jun-23,200060424,FTS Fire & Secuirty Ltd,957.9
Barrow Borough Council,Customer services,Agency staff,22-Jun-23,200060311,James Andrews Recruitment Solutions,"1,405.26"
Barrow Borough Council,Capitalised Planned Maintenance,Doors and windows,14-Jun-23,200060193,DLP Services (Northern) Ltd,"1,657.38"
Barrow Borough Council,Disabled Facilities Grant,Grants,29-Jun-23,200060435,Ocean Construction UK Ltd,"18,500.00"
Barrow Borough Council,A - Cast Theatre,Admissions,29-Jun-23,200060365,Cast Theatre Company,"8,918.00"
Barrow Borough Council,Pollution,Agency staff,08-Jun-23,200060062,Vivid Resourcing,"1,275.00"
Barrow Borough Council,Street cleansing,Vehicle hire,14-Jun-23,200060163,Dawson Group,"3,541.40"
Barrow Borough Council,Waste collection,Vehicle hire,14-Jun-23,200060162,CP Davidson & Sons Ltd,"4,140.00"
Barrow Borough Council,Recycling,Agency staff,08-Jun-23,200060058,ALS Managed Services,"1,183.31"
Barrow Borough Council,Recycling,Waste Transfer Charges,14-Jun-23,200060210,FCC Recycling (UK) Ltd,"58,148.59"
Barrow Borough Council,Planning Policy,Agency staff,08-Jun-23,200060059,The Oyster Partnership Ltd,"1,220.70"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,01-Jun-23,200060004,SIG Trading Ltd,"1,610.93"
Barrow Borough Council,Forum catering,Catering contract - Forum,29-Jun-23,200060465,Elior UK Ltd,608.75
Barrow Borough Council,Waste collection,Equipment purchase,14-Jun-23,200060158,Danline International Ltd,"2,900.00"
Barrow Borough Council,Development control,Agency staff,29-Jun-23,200060380,Park Avenue Recruitment Ltd,"1,690.00"
Barrow Borough Council,Waste collection,Agency staff,01-Jun-23,200060021,ALS Managed Services,"2,626.94"
Barrow Borough Council,Recycling,Buildings repairs and maintenance,22-Jun-23,200060300,Keith Wilson Elec Con Ltd,"2,774.41"
Barrow Borough Council,Recycling,Agency staff,29-Jun-23,200060395,ALS Managed Services,"1,905.16"
Barrow Borough Council,Recycling,Greenwaste recycling,22-Jun-23,200060297,Sinkfall Recycling,"10,814.08"
Barrow Borough Council,Homelessness,Professional fees,14-Jun-23,200060185,First Call,778
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,14-Jun-23,200060187,Redacted Information,"1,000.00"
Barrow Borough Council,Information technology,Licences,22-Jun-23,200060234,Vodafone Ltd,"6,018.16"
Barrow Borough Council,Barrow town hall,Electricity,22-Jun-23,200060335,NPower,"6,330.85"
Barrow Borough Council,Customer services,Agency staff,01-Jun-23,200060003,James Andrews Recruitment Solutions,"1,139.40"
Barrow Borough Council,HRA share of CDC/NDC,Professional fees,29-Jun-23,200060374,Cabinet Office,532
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,29-Jun-23,200060360,SIG Trading Ltd,581.58
Barrow Borough Council,WAF Shadow Authority,Postage,01-Jun-23,200059983,Royal Mail,691.86
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,29-Jun-23,200060345,Progression Solicitors,"1,017.50"
Barrow Borough Council,Barrow Parish Council,Postage,29-Jun-23,200060362,Democracy Counts Ltd,"32,903.65"
Barrow Borough Council,Parks and open spaces,Grounds maintenance - schedule of works,01-Jun-23,200059984,Continental Landscapes Ltd,"38,101.08"
Barrow Borough Council,Customer services,Agency staff,22-Jun-23,200060311,James Andrews Recruitment Solutions,906.25
Barrow Borough Council,Justin Moorhouse 30.04.23,Professional fees,01-Jun-23,200060007,Impatient Productions,"1,443.16"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,01-Jun-23,200059976,Keith Wilson Elec Con Ltd,"15,623.28"
Barrow Borough Council,Disabled Facilities Grant,Grants,08-Jun-23,200060089,Airey Property Developments & Adaptations,"6,690.00"
Barrow Borough Council,Tenant demand maintenance - HRA,Routine Maintenance,22-Jun-23,200060249,UK Environmental & Asbestos Solutions Ltd,"1,175.00"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,01-Jun-23,200059995,Procare Shower & Bathroom Centre Ltd,805.22
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,29-Jun-23,200060468,Ricoh UK Ltd,574.08
Barrow Borough Council,Heritage Action Zone,Agency staff,22-Jun-23,200060274,Vivid Resourcing,"1,500.00"
Barrow Borough Council,LUF - Public Realm.,Professional fees,08-Jun-23,200060105,Bob Pedley Safety Services,893.5
Barrow Borough Council,Forum 28,Buildings repairs and maintenance,29-Jun-23,200060424,FTS Fire & Secuirty Ltd,"3,884.00"
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,29-Jun-23,200060424,FTS Fire & Secuirty Ltd,633
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,08-Jun-23,200060103,Bryan Moncur Ltd,"4,785.00"
Barrow Borough Council,Pollution,Agency staff,22-Jun-23,200060274,Vivid Resourcing,"1,500.00"
Barrow Borough Council,KS Musicals (Reach for the Stars),Hire of halls,22-Jun-23,200060253,KS Musicals,"-1,053.50"
Barrow Borough Council,Disabled Facilities Grant,Grants,14-Jun-23,200060198,Lee Bowron Glazing Ltd,"8,062.77"
Barrow Borough Council,Forum catering,Catering contract - Forum,14-Jun-23,200060194,Elior UK Ltd,"2,788.00"
Barrow Borough Council,Major works maintenance - HRA,Asbestos removal,22-Jun-23,200060249,UK Environmental & Asbestos Solutions Ltd,900
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,01-Jun-23,200060005,Liberata Uk Ltd,"1,279.53"
Barrow Borough Council,Dock museum,Maintenance contracts - TSU,22-Jun-23,200060330,TESGL Ltd,561.33
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,14-Jun-23,200060187,Redacted Information,875
Barrow Borough Council,Information technology,Data Line Rental,29-Jun-23,200060358,Britannic Technologies Ltd,"2,768.39"
Barrow Borough Council,Customer services,Agency staff,01-Jun-23,200060003,James Andrews Recruitment Solutions,"1,069.38"
Barrow Borough Council,Homeless families and dispersed accommodation - HRA,Gas,01-Jun-23,200060017,British Gas Trading Ltd,677.51
Barrow Borough Council,Tenant demand maintenance - HRA,Routine Maintenance,22-Jun-23,200060304,Ocean Construction UK Ltd,960
Barrow Borough Council,Town Hall Stewards,Equipment purchase,29-Jun-23,200060449,EE Payment Processing,996
Barrow Borough Council,Crematorium,Memorials,29-Jun-23,200060417,Teleshore UK Ltd,635.08
Barrow Borough Council,Crematorium,Memorials,08-Jun-23,200060121,Dash Information Systems Ltd,870
Barrow Borough Council,Waste collection,Vehicle hire,14-Jun-23,200060162,CP Davidson & Sons Ltd,"4,140.00"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,29-Jun-23,200060440,Howdens Joinery Ltd,"1,365.45"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,29-Jun-23,200060440,Howdens Joinery Ltd,"1,401.04"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,08-Jun-23,200060092,Rexel UK Ltd,829.09
Barrow Borough Council,Disabled Facilities Grant,Grants,08-Jun-23,200060067,Larkin Engineering Services Ltd,"2,652.00"
Barrow Borough Council,Corporate management,External Audit fees,08-Jun-23,200060082,Grant Thornton UK LLP,"9,685.00"
Barrow Borough Council,Recycling,Professional fees,08-Jun-23,200060090,Liberata Uk Ltd,"2,812.50"
Barrow Borough Council,Information technology,Licences,22-Jun-23,200060230,Vodafone Ltd,"11,449.43"
Barrow Borough Council,Technical services,Consultants' fees,29-Jun-23,200060432,Bob Pedley Safety Services,780
Barrow Borough Council,HRA Estates,Other expenses,29-Jun-23,200060473,Love2Shop,610.8
Barrow Borough Council,Barrow Parish Council,Other expenses,29-Jun-23,200060362,Democracy Counts Ltd,"4,950.00"
Barrow Borough Council,Dock museum,Professional fees,14-Jun-23,200060155,Artfly,510
Barrow Borough Council,Barrow park,Grounds maintenance - other works,08-Jun-23,200060125,Neil McDougall Ltd,"1,150.00"
Barrow Borough Council,Playground,Parks & Playgrounds Inspections & maintenance - contract,08-Jun-23,200060111,Continental Landscapes Ltd,"19,353.85"
Barrow Borough Council,Cemeteries,Grounds maintenance - schedule of works,29-Jun-23,200060439,Continental Landscapes Ltd,"13,140.43"
Barrow Borough Council,Suspense accounts,Income suspense account,01-Jun-23,200059996,DWP Debt Management,"1,034.64"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,08-Jun-23,200060102,Keith Wilson Elec Con Ltd,717.93
Barrow Borough Council,Voids maintenance - HRA,Void repairs,14-Jun-23,200060220,Howdens Joinery Ltd,938.92
Barrow Borough Council,Tenant demand maintenance - HRA,Shop repairs,08-Jun-23,200060065,DSL Heating & Electrical,"5,811.00"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,08-Jun-23,200060071,Progression Solicitors,935
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,01-Jun-23,200059990,Progression Solicitors,"1,017.50"
Barrow Borough Council,Major works maintenance - HRA,Shop repairs,22-Jun-23,200060302,Bob Pedley Safety Services,"1,493.00"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,29-Jun-23,200060471,EE Ltd,"2,275.78"
Barrow Borough Council,A - Elite Dance,Recoverable charges,29-Jun-23,200060407,Elite School of Dance,"-1,148.67"
Barrow Borough Council,Barrow Parish Council,Printing and stationery,29-Jun-23,200060362,Democracy Counts Ltd,"1,057.57"
Barrow Borough Council,Parks and open spaces,Grounds maintenance - other works,08-Jun-23,200060111,Continental Landscapes Ltd,"2,032.70"
Barrow Borough Council,Estates management,Maintenance contracts - TSU,22-Jun-23,200060285,Civica UK Ltd,"23,079.00"
Barrow Borough Council,Customer services,Agency staff,22-Jun-23,200060311,James Andrews Recruitment Solutions,"1,139.40"
Barrow Borough Council,HRA Estates,Grounds maintenance - schedule of works,14-Jun-23,200060219,Continental Landscapes Ltd,"6,640.61"
Barrow Borough Council,KS Musicals (Reach for the Stars),Recoverable charges,22-Jun-23,200060253,KS Musicals,-993.33
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,29-Jun-23,200060360,SIG Trading Ltd,"3,379.21"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,29-Jun-23,200060460,Hughes Brothers,"9,383.47"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,01-Jun-23,200060036,Hughes Brothers,"2,362.12"
Barrow Borough Council,Forum 28,Licences,14-Jun-23,200060199,Spektrix Ltd,"1,430.99"
Barrow Borough Council,Forum 28,Equipment purchase,29-Jun-23,200060397,White Light Limited,"10,720.00"
Barrow Borough Council,Barrow park,Grounds maintenance - schedule of works,01-Jun-23,200059984,Continental Landscapes Ltd,"25,829.09"
Barrow Borough Council,Recycling,Waste Transfer Charges,22-Jun-23,200060297,Sinkfall Recycling,"1,178.24"
Barrow Borough Council,Information technology,Data Line Rental,22-Jun-23,200060308,Britannic Technologies Ltd,"2,168.39"
Barrow Borough Council,Customer services,Agency staff,29-Jun-23,200060359,James Andrews Recruitment Solutions,"1,042.19"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,29-Jun-23,200060430,Keith Wilson Elec Con Ltd,"5,618.90"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,08-Jun-23,200060093,Hughes Brothers,"17,660.34"
Barrow Borough Council,Current assets - stocks,Postage stock,22-Jun-23,200060320,Pitney Bowes Ltd,"2,038.44"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,14-Jun-23,200060193,DLP Services (Northern) Ltd,"25,966.71"
Barrow Borough Council,The park leisure centre,Electricity,29-Jun-23,200060470,NPower,"5,634.05"
Barrow Borough Council,Barrow park,Other bodies expenditure,22-Jun-23,200060259,Barrow BID Company Ltd,"3,223.50"
Barrow Borough Council,Crematorium,Grounds maintenance - other works,29-Jun-23,200060439,Continental Landscapes Ltd,"1,648.08"
Barrow Borough Council,Finance Department,Consultants' fees,08-Jun-23,200060054,LAVAT Consulting Ltd,"1,200.00"
Barrow Borough Council,Housing shops - HRA,Water,29-Jun-23,200060351,Water Plus Ltd,590.67
Barrow Borough Council,A - Dance Fusion,Hire of halls,29-Jun-23,200060414,Dance Fusion,"-1,880.00"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,29-Jun-23,200060449,EE Payment Processing,-600
Barrow Borough Council,Parks and open spaces,Grounds maintenance - schedule of works,08-Jun-23,200060111,Continental Landscapes Ltd,"38,101.08"
Barrow Borough Council,Coast protection,CAPITA dbs fees,22-Jun-23,200060271,WSP (Real Estate & Infrastructure) Ltd,"5,491.82"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,29-Jun-23,200060464,DLP Services (Northern) Ltd,580.56
Barrow Borough Council,Dock museum,Maintenance contracts - TSU,14-Jun-23,200060165,Phosters (FM) Ltd,625.97
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,22-Jun-23,200060313,SIG Trading Ltd,"4,892.94"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,29-Jun-23,200060460,Hughes Brothers,"29,118.35"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,08-Jun-23,200060093,Hughes Brothers,"8,613.95"
Barrow Borough Council,Cyclical maintenance - HRA,Smoke alarms,08-Jun-23,200060102,Keith Wilson Elec Con Ltd,"9,076.08"
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,29-Jun-23,200060468,Ricoh UK Ltd,545.92
Barrow Borough Council,Conducting elections,Postage,29-Jun-23,200060362,Democracy Counts Ltd,537.3
Barrow Borough Council,Dock museum,Equipment purchase,08-Jun-23,200060060,Ellab Monitoring Solutions Ltd,"2,041.98"
Barrow Borough Council,Finance Department,Staff advertising,29-Jun-23,200060367,Redactive Publishing Ltd,"6,505.60"
Barrow Borough Council,A - Dance Fever,Hire of halls,29-Jun-23,200060455,Dance Fever,"-2,232.50"
