OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,IT PROFESSIONAL SERVICES (ITPS),,09/05/2023,186755,864.73,0,as per quote #008516 v1,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,NEC Software Solutions UK Ltd,,09/05/2023,187461,829,0,Adlib Software Maintenance,271600,ICT Software Customised & Bespoke
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,COMMUNICATE TECHNOLOGY PLC,4844444,09/05/2023,187566,130.67,0,Call Charges,271700,ICT Telecommunications Fixed
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GGP Systems Limited,2685491,11/05/2023,188134,3180,0,GGP5/ NGz,270000,Information Communications Technology
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,IT PROFESSIONAL SERVICES (ITPS),,09/05/2023,188472,2.05,0,Phone Calls for 01539 737545 Town View,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,IT PROFESSIONAL SERVICES (ITPS),,18/05/2023,188473,2,0,Phone Calls for 01539 737545 Town View,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,IT PROFESSIONAL SERVICES (ITPS),,09/05/2023,188474,384,0,01539533672 WLR3 Business Line Rental,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management People,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,James Andrews Recruitment Solutions,6834852,09/05/2023,189118,1878.24,0,Payment for ,261400,HR Temporary & Agency Staff
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Case Management Account Mgmt,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01/05/2023,189151,160.81,0,Parks Fuel 2022,381600,Vehicle Mgt Leasing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,45077,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,PENNINGTONS (KENDAL) LIMITED,434649,03/05/2023,189337,2750,0,Use of Boundary Bank,182013,Environment Waste Mgt Waste Collection
