Supplier Name, Net Amount ,Spend Type,Service,Department,Account,Entry Date,Payment type
10 ABILITY LTD,"4,800.00",Sundry Subscriptions          ,Development Control           ,Community Wealth Building,General Fund,21-Feb-24,Invoiced
10 ABILITY LTD,"8,832.27",Consultants - Fees            ,Development Control           ,Community Wealth Building,General Fund,12-Feb-24,Invoiced
11KBW LTD,540,Use Of Counsel-Barristers Fees,Legal Expenses                ,Resources,General Fund,05-Feb-24,Invoiced
11KBW LTD,"2,250.00",Use Of Counsel-Barristers Fees,School Re-Organisation        ,Children & Young People,General Fund,19-Mar-24,Invoiced
11KBW LTD,"3,800.00",Use Of Counsel-Barristers Fees,SEN                           ,Children & Young People,General Fund,03-Jan-24,Invoiced
11KBW LTD,"8,316.67",Use Of Counsel-Barristers Fees,Commissioning - Head of Financ,Children & Young People,General Fund,18-Mar-24,Invoiced
11KBW LTD,"12,225.00",Use Of Counsel-Barristers Fees,Commissioning - Head of Financ,Children & Young People,General Fund,18-Mar-24,Invoiced
134 FARRINGDON ROAD LTD,611.17,Ground Rents                  ,Lease&Ground Rents-HRA        ,Homes & Neighbourhoods,HRA,12-Jan-24,Invoiced
134 FARRINGDON ROAD LTD,899,Ground Rents                  ,Lease&Ground Rents-HRA        ,Homes & Neighbourhoods,HRA,29-Jan-24,Invoiced
2 HARE COURT,500,Use Of Counsel-Barristers Fees,Legal Services costs          ,Homes & Neighbourhoods,HRA,05-Mar-24,Invoiced
2 HARE COURT,"1,137.50",Legal Expenses                ,Trading Standards             ,Homes & Neighbourhoods,General Fund,26-Jan-24,Invoiced
2 HARE COURT,"1,875.00",Use Of Counsel-Barristers Fees,Trading Standards             ,Homes & Neighbourhoods,General Fund,19-Feb-24,Invoiced
24Seven Companies Ltd,"3,600.00",Supported Accommodation       ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,21-Dec-23,Invoiced
31TEN CONSULTING LTD,"35,092.00",Consultants - Fees            ,Resident Experience Project   ,Community Engagement & Wellbeing,General Fund,11-Mar-24,Invoiced
31TEN CONSULTING LTD,"35,092.00",Consultants - Fees            ,Resident Experience Project   ,Community Engagement & Wellbeing,General Fund,11-Mar-24,Invoiced
31TEN CONSULTING LTD,"35,093.00",Consultants - Fees            ,Resident Experience Project   ,Community Engagement & Wellbeing,General Fund,31-Jan-24,Invoiced
