Supplier Name,Net Amount,Spend Type,Service,Department,Account,Entry Date,Payment type,
CALFORD SEADEN," 9,913.00 ",Consultants - Fees            ,173 HIGHBURY QUADRANT         ,Homes & Neighbourhoods,HRA,7 Jul 23,Invoiced,
CALFORD SEADEN," 10,583.18 ",Consultants - Fees            ,Vorley Road                   ,Homes & Neighbourhoods,HRA,3 Aug 23,Invoiced,
CALFORD SEADEN," 16,915.20 ",New Build-Employer Agent's Fee, Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,25 Sep 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 13,500.00 ",General Works                 ,Prior Weston Sch Playgrd Redev,Community Wealth Building,General Fund,3 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,200.00 ",Consultants - Fees            ,Disability Audit              ,Community Wealth Building,General Fund,9 Aug 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED, 640.00 ,Consultants - Fees            , Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,27 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED, 640.00 ,New Build-Employer Agent's Fee, Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,28 Jun 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED, 990.00 ,Consultants - Fees            ,173 HIGHBURY QUADRANT         ,Homes & Neighbourhoods,HRA,3 Aug 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED, 990.00 ,Other- Fees                   ,173 HIGHBURY QUADRANT         ,Homes & Neighbourhoods,HRA,3 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED, 990.00 ,Other- Fees                   ,173 HIGHBURY QUADRANT         ,Homes & Neighbourhoods,HRA,24 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,450.00 ",Consultants - Fees            , Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,22 Aug 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,450.00 ",New Build-Plan App Reports    , Bemerton South /Orkney Hse   ,Homes & Neighbourhoods,HRA,6 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,519.00 ",Clerk of works-Fees           ,Parkview Estate               ,Homes & Neighbourhoods,HRA,4 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,800.00 ",Clerk of works-Fees           ,Andover Self-Build (REFCUS)   ,Homes & Neighbourhoods,HRA,30 Jun 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 1,800.00 ",Clerk of works-Fees           ,Andover P2 (Block B2-CorkerWlk,Homes & Neighbourhoods,HRA,3 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 2,247.47 ",Clerk of works-Fees           ,Andover P2 (Block B2-CorkerWlk,Homes & Neighbourhoods,HRA,1 Aug 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 2,248.10 ",New Build-Employer Agent's Fee,Andover P2 (Block B2-CorkerWlk,Homes & Neighbourhoods,HRA,3 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 4,200.00 ",New Build-Employer Agent's Fee,Parkview Estate               ,Homes & Neighbourhoods,HRA,7 Jul 23,Invoiced,
CALFORDSEADEN HEALTH AND SAFETY LIMITED," 4,525.42 ",New Build-Employer Agent's Fee,Parkview Estate               ,Homes & Neighbourhoods,HRA,7 Jul 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,17 Jul 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,17 Jul 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,3 Aug 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,14 Aug 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,13 Sep 23,Invoiced,
CALL OUT LTD, 950.00 ,Disbursements (Court Fees Etc),Disrepair team                ,Homes & Neighbourhoods,HRA,13 Sep 23,Invoiced,
Cally News, 6.98 ,Purchases General,Post 16 Progression Team,Community Wealth Building,General Fund,30 Aug 23,Purchase Card,
Cally News, 9.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,5 Jul 23,Purchase Card,
Cally News, 9.98 ,Purchases General,ACT Education,Environment & Climate Change,General Fund,21 Jul 23,Purchase Card,
Cally News, 14.35 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,11 Jul 23,Purchase Card,
Cally News, 21.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,12 Jul 23,Purchase Card,
Cally News, 25.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,5 Jul 23,Purchase Card,
Cally News, 32.55 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,11 Jul 23,Purchase Card,
Cally News, 45.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,8 Aug 23,Purchase Card,
Cally News, 53.50 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,6 Sep 23,Purchase Card,
Cally News, 55.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,5 Jul 23,Purchase Card,
Cally News, 57.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,12 Jul 23,Purchase Card,
Cally News, 60.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,13 Sep 23,Purchase Card,
Cally News, 75.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,6 Sep 23,Purchase Card,
Cally News, 84.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,6 Sep 23,Purchase Card,
Cally News, 90.00 ,Activities,Energy Doctor,Environment & Climate Change,General Fund,9 Aug 23,Purchase Card,
Cally News, 156.30 ,Purchases General,Post 16 Progression Team,Community Wealth Building,General Fund,2 Aug 23,Purchase Card,
Cally News, 156.30 ,Purchases General,Post 16 Progression Team,Community Wealth Building,General Fund,2 Aug 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,ACT Education,Environment & Climate Change,General Fund,6 Jul 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Waste Management Support,Environment & Climate Change,General Fund,5 Jul 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Waste Management Support,Environment & Climate Change,General Fund,4 Jul 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Refuse Collection,Environment & Climate Change,General Fund,19 Sep 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Refuse Collection,Environment & Climate Change,General Fund,5 Sep 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Refuse Collection,Environment & Climate Change,General Fund,4 Sep 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Refuse Collection,Environment & Climate Change,General Fund,4 Sep 23,Purchase Card,
Cally News, 156.30 ,Travel By Public Transpt,Refuse Collection,Environment & Climate Change,General Fund,4 Sep 23,Purchase Card,
Cally News, 157.90 ,Travel By Public Transpt,Waste Management Support,Environment & Climate Change,General Fund,5 Jul 23,Purchase Card,
Cally News, 163.30 ,Travel By Public Transpt,Waste Management Support,Environment & Climate Change,General Fund,6 Jul 23,Purchase Card,
Cally Pound Plus, 1.50 ,Consumable Materials,Bright Start Islington South,Children & Young People,General Fund,18 Jul 23,Purchase Card,
Cally Pound Plus, 5.00 ,Consumable Materials,Bright Start Islington South,Children & Young People,General Fund,1 Aug 23,Purchase Card,
Cally Pound Plus, 6.00 ,Stationery,Bright Start Islington South,Children & Young People,General Fund,5 Jul 23,Purchase Card,
Cally Pound Plus, 10.50 ,Purchases General,Community Development,Homes & Neighbourhoods,HRA,25 Jul 23,Purchase Card,
Cally Pound Plus, 12.00 ,Purchases General,Community Development,Homes & Neighbourhoods,HRA,10 Aug 23,Purchase Card,
CALOR GAS LIMITED, 788.04 ,Provisions                    ,Cardfields                    ,Children & Young People,General Fund,12 Sep 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 3,180.23 ",General Fees & Services       ,Mental Health Support 18-64   ,Adult Social Services,General Fund,28 Jul 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 28,125.00 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,27 Jun 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 28,125.00 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,24 Aug 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 244,768.50 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,4 Sep 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 402,416.08 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,14 Aug 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 402,416.08 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,24 Aug 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 485,000.00 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,31 Aug 23,Invoiced,
CAMDEN & ISLINGTON NHS FOUNDATION TRUST," 1,207,248.25 ",General Fees & Services       ,Substance Misuse IDASS        ,Public Health,General Fund,29 Jun 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE, 525.00 ,Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE, 590.63 ,Non Lbi Domiciliary Care      ,Memory & Cognition Sup 75-84  ,Adult Social Services,General Fund,10 Jul 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE, 731.25 ,Non Lbi Domiciliary Care      ,Memory & Cognition Sup 75-84  ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE, 900.00 ,Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,10 Jul 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE, 956.25 ,Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,25 Sep 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,643.75 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,10 Jul 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,784.38 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,25 Sep 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,793.75 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,812.50 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,10 Jul 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,906.25 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
CAMDEN CHINESE COMMUNITY CENTRE," 2,906.25 ",Non Lbi Domiciliary Care      ,Physical Support 85+          ,Adult Social Services,General Fund,25 Sep 23,Invoiced,
CAMDEN GARDEN CENTRE," 2,416.67 ",Activities                    ,GROUNDS MAINTENANCE           ,Environment & Climate Change,General Fund,22 Sep 23,Invoiced,
Camden Garden Centre, 15.82 ,Grounds Maintenance,Greening of Barnsbury Estates ,Environment & Climate Change,General Fund,10 Aug 23,Purchase Card,
Camden Garden Centre, 52.46 ,Purchases General,Film & Video Workshop,Community Engagement & Wellbeing,General Fund,22 Aug 23,Purchase Card,
Camden Garden Centre, 103.90 ,Grounds Maintenance,Parks Management,Environment & Climate Change,General Fund,14 Aug 23,Purchase Card,
CAMDEN SOCIETY, 720.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,13 Jul 23,Invoiced,
CAMDEN SOCIETY, 720.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,13 Jul 23,Invoiced,
CAMDEN SOCIETY, 960.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,13 Jul 23,Invoiced,
CAMDEN SOCIETY, 960.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,13 Jul 23,Invoiced,
CAMDEN SOCIETY, 960.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,21 Sep 23,Invoiced,
CAMDEN SOCIETY, 960.00 ,Non Lbi Day Centre            ,Learning Disability Sup 18-64 ,Adult Social Services,General Fund,21 Sep 23,Invoiced,
CAMFIL LTD, 541.92 ,Air Filters                   ,1 Cottage Road                ,Community Wealth Building,General Fund,29 Aug 23,Invoiced,
CAMFIL LTD, 546.92 ,Air Filters                   ,1 Cottage Road                ,Community Wealth Building,General Fund,20 Sep 23,Invoiced,
CAMFIL LTD," 1,498.80 ",Air Filters                   ,1 Cottage Road                ,Community Wealth Building,General Fund,17 Jul 23,Invoiced,
CAMFIL LTD," 40,284.90 ",Air Filters                   ,1 Cottage Road                ,Community Wealth Building,General Fund,3 Jul 23,Invoiced,
CAMPBELL HARRIS TUTORS LTD," 10,555.00 ",Education Bodies              ,Independent School Fees -pre16,Children & Young People,General Fund,20 Sep 23,Invoiced,
CANAL & RIVER TRUST," 5,000.00 ",Direct Payment To N.S.O       ,Youth Commissioning           ,Children & Young People,General Fund,22 Aug 23,Invoiced,
CANAL & RIVER TRUST," 1,000.00 ",General Rents                 ,Commercial Property NNDR- HRA ,Homes & Neighbourhoods,HRA,13 Jul 23,Invoiced,
Canford Audio Plc, 53.00 ,Materials,Housing Investigations Team,Homes & Neighbourhoods,HRA,1 Sep 23,Purchase Card,
Cansford Laboratories Limited, 738.35 ,Court  Directed Assessments   ,Service Legal Costs           ,Children & Young People,General Fund,13 Sep 23,Invoiced,
Canter Levin & Berg Solicitors, 750.00 ,Costs Awarded Agst The Council,Disrepair team                ,Homes & Neighbourhoods,HRA,14 Sep 23,Invoiced,
Canter Levin & Berg Solicitors," 5,000.00 ",Costs Awarded Agst The Council,Disrepair team                ,Homes & Neighbourhoods,HRA,10 Jul 23,Invoiced,
Canva* 03907-40897355, 99.99 ,Printing,Comm Safety - Crime Vic & Off,Children & Young People,General Fund,14 Sep 23,Purchase Card,
Capita Gas, 29.50 ,Sundry Subscriptions,In-house Gas Service,Homes & Neighbourhoods,HRA,20 Jul 23,Purchase Card,
Capita Gas, 35.40 ,Purchases General,In-house Gas Service,Homes & Neighbourhoods,HRA,21 Sep 23,Purchase Card,
Capita Gas, 188.00 ,Purchases General,Contracts & Building Repairs,Community Wealth Building,General Fund,1 Aug 23,Purchase Card,
CAPITA IT SERVICES LIMITED," 44,026.35 ",Printing                      ,Central Overhead              ,Environment & Climate Change,General Fund,9 Aug 23,Invoiced,
CAPITA IT SERVICES LIMITED," 45,211.04 ",Printing                      ,Central Overhead              ,Environment & Climate Change,General Fund,17 Jul 23,Invoiced,
CAPITAL CITY COLLEGE GROUP," 7,000.00 ",Education Bodies              ,Staff Cost Centrally Retained ,Children & Young People,General Fund,25 Sep 23,Invoiced,
CAPITAL CITY COLLEGE GROUP," 12,000.00 ",Education Bodies              ,Staff Cost Centrally Retained ,Children & Young People,General Fund,25 Sep 23,Invoiced,
CAPITAL ENTERPRISE," 50,455.94 ",Activities                    ,Inclusive Knowledge Economy   ,Community Wealth Building,General Fund,13 Jul 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 2,283.00 ",Accommodation Costs           ,I-Care -NRPF                  ,Homes & Neighbourhoods,General Fund,11 Jul 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 2,359.10 ",Accommodation Costs           ,I-Care -NRPF                  ,Homes & Neighbourhoods,General Fund,1 Aug 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 2,359.10 ",Accommodation Costs           ,I-Care -NRPF                  ,Homes & Neighbourhoods,General Fund,8 Sep 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 15,093.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,8 Aug 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 15,134.20 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,5 Sep 23,Invoiced,
CAPITAL HOMES SERVICES LTD," 15,422.00 ",Private Sector Provision      ,TA Annexes and B&B            ,Homes & Neighbourhoods,General Fund,7 Jul 23,Invoiced,
CAPITAL KIDS CRICKET, 600.00 ,Agency Temporary Cover        ,Sports                        ,Children & Young People,General Fund,19 Jul 23,Invoiced,
CAPITAL LIFTS LTD," 20,823.90 ",General Works                 ,Disability Audit              ,Community Wealth Building,General Fund,7 Sep 23,Invoiced,
CAPITAL LIFTS LTD," 27,765.20 ",General Works                 ,Compliance and Modernisation  ,Community Wealth Building,General Fund,27 Jul 23,Invoiced,
Capital Restoration Ltd," 1,450.00 ",Buildings-General             ,Islington Town Hall           ,Community Wealth Building,General Fund,30 Jun 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 784.80 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,5 Jul 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 784.80 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,5 Jul 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 784.80 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,5 Jul 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 784.80 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,6 Jul 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,2 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,2 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,7 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,9 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,30 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,30 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,30 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 810.96 ,Hire Of Vehicles              ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,30 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 909.00 ,Hire Of Vehicles              ,GROUNDS MAINTENANCE           ,Environment & Climate Change,General Fund,5 Jul 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 939.30 ,Hire Of Vehicles              ,GROUNDS MAINTENANCE           ,Environment & Climate Change,General Fund,3 Aug 23,Invoiced,
CAR HIRE DAY OF SWANSEA, 939.30 ,Hire Of Vehicles              ,GROUNDS MAINTENANCE           ,Environment & Climate Change,General Fund,30 Aug 23,Invoiced,
Card Factory, 3.58 ,Purchases General,PAUSE,Children & Young People,General Fund,11 Sep 23,Purchase Card,
Card Factory, 7.76 ,Purchases General,PAUSE,Children & Young People,General Fund,6 Sep 23,Purchase Card,
Card Factory, 15.96 ,Mayors Allowance,Members Allowances,Resources,General Fund,6 Jul 23,Purchase Card,
CARE FIRST RECRUITMENT LTD, 595.00 ,General Fees & Services       ,CLA Team 2                    ,Children & Young People,General Fund,10 Jul 23,Invoiced,
CARE FIRST RECRUITMENT LTD, 595.00 ,Taxi / MiniCab Fares          ,CLA Team 2                    ,Children & Young People,General Fund,8 Aug 23,Invoiced,
CARE FIRST RECRUITMENT LTD, 595.00 ,Client Fares                  ,CLA Team 2                    ,Children & Young People,General Fund,11 Jul 23,Invoiced,
CARE FIRST RECRUITMENT LTD, 595.00 ,Client Fares                  ,CLA Team 2                    ,Children & Young People,General Fund,28 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 1,680.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,31 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 2,024.40 ",Fire Detect/Alarms/Bells/Ligts,Alsen Day Centre              ,Adult Social Services,General Fund,5 Sep 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,200.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,27 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,200.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,7 Sep 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,440.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,27 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,440.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,2 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,440.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,5 Sep 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 7,440.00 ",Residential Emi               ,Lennox House                  ,Adult Social Services,General Fund,7 Sep 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 16,925.56 ",General Rents                 ,Alsen Day Centre              ,Adult Social Services,General Fund,17 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 16,925.56 ",General Rents                 ,Alsen Day Centre              ,Adult Social Services,General Fund,19 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 16,925.56 ",General Rents                 ,Alsen Day Centre              ,Adult Social Services,General Fund,8 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 16,925.56 ",General Rents                 ,Alsen Day Centre              ,Adult Social Services,General Fund,25 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 16,925.56 ",General Rents                 ,Alsen Day Centre              ,Adult Social Services,General Fund,11 Sep 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 32,631.09 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,16 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 49,212.32 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,16 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 51,262.80 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,26 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 52,288.04 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,26 Jul 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 53,521.11 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,16 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 53,542.65 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,23 Aug 23,Invoiced,
CARE UK COMMUNITY P'SHIPS LTD," 55,363.88 ",Direct Payment To N.S.O       ,127 Highbury New Park         ,Adult Social Services,General Fund,26 Jul 23,Invoiced,
CAREOLINE CARERS SERVICES LTD, 560.50 ,General Fees & Services       ,CIN Finsbury                  ,Children & Young People,General Fund,14 Aug 23,Invoiced,
CAREVA LTD," 1,058.40 ",Sessional Fees                ,Fostering                     ,Children & Young People,General Fund,25 Sep 23,Invoiced,
CAREVA LTD," 1,267.37 ",Sessional Fees                ,Fostering                     ,Children & Young People,General Fund,3 Aug 23,Invoiced,
CAREVA LTD," 1,440.50 ",Sessional Fees                ,Fostering                     ,Children & Young People,General Fund,28 Jun 23,Invoiced,
CAREVA LTD," 1,858.10 ",Sessional Fees                ,Fostering                     ,Children & Young People,General Fund,3 Aug 23,Invoiced,
Carrier Bag Shop, 59.16 ,Purchases General,Bemerton Children's Centre,Children & Young People,General Fund,15 Aug 23,Purchase Card,
CARTER BROWN THE EXPERT SERVICE LIMITED," 2,192.00 ",Court  Directed Assessments   ,Service Legal Costs           ,Children & Young People,General Fund,26 Jul 23,Invoiced,
CARTER BROWN THE EXPERT SERVICE LIMITED," 2,472.00 ",Disbursements (Court Fees Etc),CIN Highbury                  ,Children & Young People,General Fund,21 Jul 23,Invoiced,
Cartridge Save, 214.64 ,Stationery,Debtors Review,Resources,General Fund,4 Sep 23,Purchase Card,
CARVERHAGGARD LIMITED," 2,194.00 ",General Works                 ,GGF - Chapel Market           ,Environment & Climate Change,General Fund,2 Aug 23,Invoiced,
CARVERHAGGARD LIMITED," 4,333.00 ",General Works                 ,GGF - Chapel Market           ,Environment & Climate Change,General Fund,1 Sep 23,Invoiced,
CARVERHAGGARD LIMITED," 5,308.00 ",General Works                 ,GGF - Chapel Market           ,Environment & Climate Change,General Fund,10 Jul 23,Invoiced,
CASPARI FOUNDATION, 811.00 ,Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,2 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,067.00 ",Private Sector Provision      ,Adoption Support Fund         ,Children & Young People,General Fund,2 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,250.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,2 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,482.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,1 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,482.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,1 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,482.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,1 Aug 23,Invoiced,
CASPARI FOUNDATION," 1,802.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,28 Jul 23,Invoiced,
CASTLE POINT GAS & HEATING CO LTD, 598.49 ,Capital Expenditure/Fee Costs ,Individual Gas                ,Homes & Neighbourhoods,HRA,17 Jul 23,Invoiced,
CASTLE POINT GAS & HEATING CO LTD, 748.00 ,Capital Expenditure/Fee Costs ,Individual Gas                ,Homes & Neighbourhoods,HRA,17 Jul 23,Invoiced,
CASTLE POINT GAS & HEATING CO LTD," 1,109.42 ",Capital Expenditure/Fee Costs ,Individual Gas                ,Homes & Neighbourhoods,HRA,25 Sep 23,Invoiced,
CASTLE POINT GAS & HEATING CO LTD," 1,263.00 ",Capital Expenditure/Fee Costs ,Individual Gas                ,Homes & Neighbourhoods,HRA,7 Aug 23,Invoiced,
