Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,01/10/2024,"£6,680.00",Public Liability
7br,03/10/2024,"£3,735.00",Public Liability
Abbeygate Garages,15/08/2024,"£1,560.72",Vehicle Repairs
Abbeygate Garages,09/09/2024,"£1,062.05",Vehicle Repairs
Abbeygate Garages,18/09/2024,"£3,794.67",Vehicle Repairs
Aero Healthcare,24/09/2024,"£1,155.70",First Aid Equipment / Consumables
Agiito Limited,05/09/2024,"£4,400.79",Hotel Accommodation
Agiito Limited,12/09/2024,£866.83,Hotel Accommodation
Agiito Limited,19/09/2024,"£4,662.10",Public Transport
Agiito Limited,20/09/2024,"£6,532.07",Hotel Accommodation
Agiito Limited,27/09/2024,"£2,331.79",Hotel Accommodation
Agiito Limited,02/10/2024,"£7,245.11",Public Transport
Ai Training Services Limited,10/09/2024,"£6,930.00",External Training Course
Airmax Remote Limited,30/09/2024,"£1,350.00",Dashcams & Telematics (Equip & Maint)
Airwave Solutions Limited,11/10/2024,"£79,790.65",Airwave
Allstar Business Solutions,30/09/2024,"£51,577.51",Vehicle Fuel
Allstar Business Solutions,15/10/2024,"£51,200.57",Vehicle Fuel
Altberg Limited,04/10/2024,"£1,216.20",Clothing and Uniforms
Ambitious Pr,11/09/2024,"£4,295.00",Promotional material
Amr Electrical Services Limited,09/09/2024,"£3,987.63",Building Works
Amr Electrical Services Limited,17/09/2024,"£11,316.99",Building Works
Amr Electrical Services Limited,25/09/2024,"£4,678.46",Maintenance
Amr Electrical Services Limited,03/10/2024,"£3,283.63",Maintenance
Amr Mechanical Services Limited,17/09/2024,"£12,181.40",Building Works
Amr Mechanical Services Limited,20/09/2024,"£2,089.03",Maintenance
Amr Mechanical Services Limited,27/09/2024,"£2,611.19",Maintenance
Amr Mechanical Services Limited,03/10/2024,"£3,597.32",Maintenance
Anglia Ruskin University,02/09/2024,"£29,397.94",DHEP Training Costs
Anglia Ruskin University,16/09/2024,"£21,691.67",DHEP Training Costs
"Anglo Scottish Equipment
(Southern) Limited",30/09/2024,£728.55,Rent
Apex Signs And Engraving Limited,19/09/2024,£535.00,Maintenance
Apex Signs And Engraving Limited,30/09/2024,"£1,016.00",Maintenance
Armstrong Watson Llp,28/06/2024,"£19,900.00",Grants
Aspen Int Limited,25/09/2024,"£3,550.08",Clothing and Uniforms
"Autoquip (Gb) Garage Equipment
Limited",18/09/2024,£638.00,Vehicle Workshop Equipment
"AVR GROUP LIMITED T/A
ALERTCOM",01/10/2024,"£2,504.00",Telecom Forensics
Ax,02/10/2024,"£4,670.40",Vehicle Insurance
Ballicom Limited,18/09/2024,"£2,256.00",Hardware - purchase
Bechtle Limited,18/09/2024,£601.78,Hardware
British Telecommunications Plc,15/09/2024,"£3,242.73",Intruder Alarms
British Telecommunications Plc,01/10/2024,"£3,250.00",Network Connectivity
"Broadland Gate Estate
Management Limited",01/10/2024,"£3,755.92",Service Charge
Broadside Sailing,21/09/2024,"£1,410.00",Training Materials and Study Costs
"Busseys And Sabberton Bros
Limited",16/09/2024,"£1,844.68",Vehicle Repairs
Bylaugh Park Partners,29/08/2024,"£1,260.00",Refreshments at Meetings
C Signs And Graphics Limited,01/10/2024,"£2,233.75",Vehicles - Spares
C W Headdress Limited,25/09/2024,"£1,490.00",Clothing and Uniforms
Cbre Managed Services Limited,30/09/2024,"£5,470.52",Maintenance
Cbre Managed Services Limited,30/09/2024,"£32,435.53",Grounds & Caretaking Contract
Chaplin Farrant Limited,30/09/2024,"£17,468.86",Building Works
Citysprint (Uk) Limited,30/09/2024,£838.91,Courier Costs
"Cjs Event Solutions Limited (Cjs Uk
Management Limited)",05/09/2024,"£1,298.00",Conference and Seminar Fees
"Cjs Event Solutions Limited (Cjs Uk
Management Limited)",10/10/2024,"£1,000.00",Conference and Seminar Fees
Cleartone Telecoms Limited,02/10/2024,£528.00,Hardware
Cloudbreak Analysis Limited,20/09/2024,"£10,470.00",Training Materials and Study Costs
College Of Policing,12/09/2024,£872.50,External Training Course
College Of Policing,16/09/2024,"£12,371.70",Assessment Centres
College Of Policing,18/09/2024,"£7,488.26",External Training Course
College Of Policing,25/09/2024,"£2,248.00",External Training Course
Comms Express Limited,25/09/2024,"£16,065.72",Hardware
Constant Cooling Limited,30/08/2024,"£2,044.60",Maintenance
Constant Cooling Limited,11/09/2024,"£1,008.00",Maintenance
Constant Cooling Limited,30/09/2024,£561.51,Maintenance
"Crawford And Company Adjusters
(Uk) Limited",04/10/2024,"£4,059.18",Employers Liability
D.Tec International Limited,06/09/2024,"£7,618.50",Drug Wipes
"Dell Computer Corporation
Limited",12/09/2024,"£4,718.20",Hardware
"Dell Computer Corporation
Limited",25/09/2024,"£43,779.40",Hardware
"Dell Computer Corporation
Limited",03/10/2024,"£5,622.74",Hardware
Desira Group,20/09/2024,£551.93,Vehicles - Spares
Desira Group,03/10/2024,£928.65,Vehicles - Spares
Dp Medical Systems Limited,06/09/2024,£533.40,Medical and Hygiene Supplies
Dun & Bradstreet Limited,06/09/2024,"£10,240.00",Software Licences
E Rand & Sons Limited,30/09/2024,"£2,750.00",Maintenance
"East Fire Extinguisher And Alarms
Uk Limited",30/08/2024,"£1,565.53",Maintenance
"East Fire Extinguisher And Alarms
Uk Limited",17/09/2024,£802.00,Maintenance
"East Fire Extinguisher And Alarms
Uk Limited",30/09/2024,"£1,025.17",Maintenance
Eddisons Commercial Limited,27/09/2024,"£4,500.00",Consultant Valuer Fees
Elior Uk,10/09/2024,£800.00,Conference and Seminar Fees
Enigma Estates Limited,29/09/2024,"£10,750.00",Rent
Enterprise Rent-A-Car,30/08/2024,£719.36,Long Term Hire of Vehicles
Enterprise Rent-A-Car,02/09/2024,"£1,248.80",Long Term Hire of Vehicles
Enterprise Rent-A-Car,10/09/2024,£599.22,Vehicle Insurance
Enterprise Rent-A-Car,16/09/2024,"£1,374.24",Long Term Hire of Vehicles
Enterprise Rent-A-Car,30/09/2024,£624.40,Long Term Hire of Vehicles
Espo,12/09/2024,£796.00,"Furniture, Fixtures and Fittings"
Espo,25/09/2024,"£1,113.00",Building Works
Espo,01/10/2024,£524.00,Building Works
Esri (Uk) Limited,24/09/2024,"£96,812.54",Software - Maintenance
Esri (Uk) Limited,30/09/2024,"£3,010.00",Consultants Fees
Ets Sales And Hire Limited,19/09/2024,"£1,600.00",Hire of Non Operational Equipment
"Fast Lane Consulting And
Education Services Limited",25/09/2024,"£19,699.00",Data - Consultancy - Implementation
Fma,30/09/2024,"£18,112.50",FMA Services
Fmg Repair Services Limited,06/09/2024,"£6,490.81",Vehicle Insurance
Fmg Repair Services Limited,17/09/2024,"£4,685.85",Vehicle Insurance
Fmg Repair Services Limited,23/09/2024,"£3,481.19",Vehicle Insurance
Fmg Repair Services Limited,26/09/2024,"£5,709.92",Vehicle Insurance
Fmg Repair Services Limited,30/09/2024,"£5,891.58",Vehicle Insurance
Fmg Repair Services Limited,04/10/2024,"£9,453.27",Vehicle Insurance
"Ford Motor Company Limited T/A
Parts Plus",18/09/2024,£614.57,Vehicles - Spares
Forensic Pathology Services,13/09/2024,"£3,295.00",Pathologists Fees
Forensic Pathology Services,27/09/2024,"£3,295.00",Pathologists Fees
Fuchs Lubricants (Uk) Plc,17/09/2024,£533.00,Vehicles - Spares
Giles Brothers Garage,09/09/2024,£593.89,Vehicle Repairs
Goodyear Tyres Uk Limited,12/09/2024,"£1,170.74",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,24/09/2024,"£1,756.17",Vehicles - Tyres and Tubes
Gresham Office Furniture Limited,20/09/2024,"£67,352.78",Building Works
Gresham Office Furniture Limited,24/09/2024,"£2,160.00",PFI Furniture & Equipment Purchases
Gresham Office Furniture Limited,01/10/2024,"£1,008.00","Furniture, Fixtures and Fittings"
Group 1 Norwich Bmw,13/09/2024,£555.16,Vehicles - Spares
"H&G Technical Solutions Scotland
Limited",16/09/2024,"£12,100.00",Infrastructure Maintenance
Harleston Engineering Limited,11/09/2024,"£1,437.00",Hardware
Health And Safety Executive (Hse),19/09/2024,£904.80,Professional Fees
Higgs Newton Kenyon Solicitors,03/10/2024,"£6,000.00",Public Liability
Higgs Newton Kenyon Solicitors,09/10/2024,"£5,000.00",Public Liability
Hylton Gott Limited,30/09/2024,£811.66,Vehicle Repairs
Indigo Solutions Limited,02/10/2024,£870.87,Neuro Diversity
Ingleton Wood Limited,30/09/2024,£899.10,Fees - Other
Injenuity Limited,30/09/2024,£600.00,Software - Maintenance
Integrated Water Services Limited,27/09/2024,"£2,126.85",Building Statutory - Water
Intramark Group Limited,16/09/2024,"£1,488.00",Clothing and Uniforms
Intramark Group Limited,30/09/2024,"£4,474.55",Clothing and Uniforms
Jockey Club Racecourses Limited,15/10/2024,"£1,710.00",Hire of Rooms/Premises
"Justice Support Services (Nfk And
Sfk) Limited",01/10/2024,"£779,088.35",PFI Main Contract
Keela International Limited,17/09/2024,"£2,048.80",Clothing and Uniforms
Keela International Limited,01/10/2024,£653.24,Clothing and Uniforms
Keeler Recruitment Limited,16/09/2024,"£7,688.00",External Training Course
Languageline Solutions,30/09/2024,"£17,739.06",Interpreters Fees
Laser Tech Uk Limited,05/09/2024,"£1,170.00",Roads Policing Equipment
Marsh Limited,01/10/2024,"£374,798.12",Employers Liability
Marsh Limited,07/10/2024,"£72,272.48",Property Related
Marsh Limited,09/10/2024,"£475,448.96",Vehicle Insurance
"Matrix Managed Marketplaces
Limited",12/09/2024,"£1,640.00",Other Third Party Payments
"Matrix Managed Marketplaces
Limited",26/09/2024,"£4,704.00",Consultants Fees
"Matrix Managed Marketplaces
Limited",03/10/2024,"£4,920.00",Other Third Party Payments
Mc Products Uk Limited,16/09/2024,"£1,363.80",Clothing and Uniforms
"Media And Communication
(Best4systems)",03/10/2024,"£2,023.50",Hardware
Mehler Vario System Gmbh,26/09/2024,"£4,115.30",Clothing and Uniforms
Mitie Care And Custody Limited,01/10/2024,"£104,855.41",FME Contract Payments
Mjs Projects (March) Limited,08/10/2024,"£183,585.62",Building Works
Mll Telecom Limited,17/09/2024,"£5,296.94",Network Connectivity
Mll Telecom Limited,01/10/2024,"£134,053.64",Network Connectivity
Mountain Healthcare Limited,01/10/2024,"£59,495.87",SARC Doctors
Mws Weighing Solutions,19/08/2024,£900.00,Other Operational Expenses
Ndi Technologies Limited,24/08/2023,"£2,000.00",Software - Maintenance
Ndi Technologies Limited,24/09/2024,"£1,900.00",Software - Maintenance
"Nec Software Solutions Uk
Limited",17/09/2024,"£49,181.00",Software Licences
Norfolk County Council,10/09/2024,"£43,760.00",Partnership Grants
Norfolk County Council,30/09/2024,"£60,929.46",Rent
Norfolk County Council,02/10/2024,"£59,762.00",Other Partnerships
Norfolk County Council,10/10/2024,"£49,360.00",Other Partnerships
Norfolk Dry Cleaners Limited,30/09/2024,£730.42,Clothing and Uniforms
Norwich City Council,26/02/2024,"£1,646.70",Business Rates
Norwich City Council,11/06/2024,"£4,500.00",Rent
Norwich City Council,02/10/2024,"£3,806.00",Business Rates
Npower Limited,16/08/2024,"£26,705.09",Utilities
Npower Limited,16/09/2024,"£27,190.55",Utilities
Npower Limited,03/10/2024,"£1,115.47",Utilities
Npower Limited,16/10/2024,"£125,699.14",Utilities
Octagon House Chambers,04/10/2024,"£6,300.00",Legal Costs
Octagon House Chambers,21/10/2024,"£2,175.00",Legal Costs
Oeconnection,30/09/2024,"£8,334.49",Vehicles - Spares
Oleeo Limited,23/09/2024,"£10,000.00",Data - Consultancy - Implementation
Optima Health,30/09/2024,"£4,775.00",SMP Doctors Fees
Oxford University Press,07/06/2024,"£7,310.00",Books and Publications
Paypoint Network Limited,02/10/2024,£630.00,Telecom Forensics
"Peter Williams Limited, Autobody
Services And Wymondham
Recovery Services",31/07/2024,"£2,410.60",MOT Test
"Peter Williams Limited, Autobody
Services And Wymondham
Recovery Services",31/08/2024,"£2,916.25",MOT Test
"Peter Williams Limited, Autobody
Services And Wymondham
Recovery Services",30/09/2024,"£2,089.55",MOT Test
Phoenix Software Limited,17/09/2024,"£90,341.38",Software Licences
"Pitney Bowes Software Europe
Limited",24/09/2024,"£34,625.08",Postage Costs
Point South Limited,24/09/2024,"£1,835.20",Clothing and Uniforms
"Polcomm Training And
Development (Pctd) Limited",16/09/2024,"£1,600.00",External Training Course
Probrand Limited,23/09/2024,£746.00,Hardware - purchase
Pvl Uk Limited,12/06/2024,"£1,575.16",Vehicles - Spares
Pvl Uk Limited,20/09/2024,"£1,110.64",Vehicles - Spares
Pvl Uk Limited,03/10/2024,"£1,255.32",Specialist Operational Training Equipment
Qa Limited,30/08/2024,"£82,723.25",External Training Course
Qa Limited,10/09/2024,"£170,446.50",External Training Course
Quadient Uk Limited,05/10/2024,"£15,000.00",Postage Costs
R G Carter Cambridge Limited,19/09/2024,"£20,637.62",Maintenance
R G Carter Cambridge Limited,20/09/2024,"£37,744.92",Maintenance
R G Carter Cambridge Limited,02/10/2024,"£15,671.48",Building Works
Randstad Solutions Limited,11/09/2024,"£14,613.41",Data - Consultancy - Implementation
Randstad Solutions Limited,18/09/2024,"£16,440.98",Agency / Temp Staff
Randstad Solutions Limited,25/09/2024,"£14,926.17",Data - Consultancy - Implementation
Randstad Solutions Limited,02/10/2024,"£13,126.28",Agency / Temp Staff
"Recipero Limited (Call Credit
Information Limited )",27/09/2024,"£43,992.00",Software - Maintenance
"Red Snapper Managed Services
Limited",17/09/2024,"£13,333.34",Professional Fees
Royal Mail,13/09/2024,£580.63,Postage Costs
Royal Mail,20/09/2024,£773.60,Postage Costs
Royal Mail,27/09/2024,£574.52,Postage Costs
Royal Mail,04/10/2024,£613.00,Postage Costs
Rs Components Limited,10/09/2024,£680.14,Vehicles - Spares
Rs Van Interiors,10/09/2024,"£1,570.00",Vehicles - Road
Rsg Engineering Limited,18/09/2024,£804.63,Vehicles - Spares
Safariland Uk,01/08/2024,"£18,019.20",Clothing and Uniforms
Safariland Uk,04/09/2024,£563.10,Clothing and Uniforms
Safelives,10/10/2024,"£40,780.00",Professional Fees
Sbfm Limited,15/08/2024,"£12,970.20",Cleaning Contract
Sbfm Limited,01/09/2024,"£58,625.42",Cleaning Contract
Sbi Tacpro Limited,17/09/2024,"£1,414.82",Clothing and Uniforms
"Sfj Awards Skills For Justice
(Enterprises) Limited",30/09/2024,£955.50,Registration Fees
Shire Wm Trophies,26/07/2024,£548.38,Long Service Retirement Award
"Simpson Associates Information
Services Limited",30/09/2024,"£51,125.00",Systems Development
Softcat Limited,12/09/2024,"£1,967.50",Hardware
Softcat Limited,01/10/2024,"£4,661.47",Hardware-Maintenance
"Software One (Formerly
Comparex Uk Limited)",23/09/2024,"£1,059.26",Software - Maintenance
Solicitors Regulation Authority,03/10/2024,"£2,382.00",Subscriptions
Sonic Communications Limited,09/09/2024,"£2,720.00",Clothing and Uniforms
Sp Services (Uk) Limited,05/09/2024,"£1,253.00",First Aid Equipment / Consumables
Spanset Limited,26/09/2024,"£1,456.90",Specialist Operational Equipment
Specialist Power Systems Limited,03/10/2024,"£9,144.00",Hardware
