Supplier Name,Supplier Number,Invoice Number,Description,Invoice Date,Payment Date,Invoice Amount (Gross),,
Ford Smart Mobility UK Ltd,61680,INV00039277DCR,Vehicle Services equipment - Integrated maint. info. system,44985,45170,-3513.6,,
Ford Smart Mobility UK Ltd,61680,INV00039277DINV,Vehicle Services equipment - Integrated maint. info. system,44985,45170,3513.6,,
Abianda,27696,ABA23/015,Human resources (HR) services,45161,45174,76726,,
Accenture UK Ltd,13423,3003621652,Information Technology Service Delivery - Telecommunication Services,45145,45174,83662.2,,
Adler and Allan Ltd,12092,262553,Reactive Maintenance,45163,45174,371.7,,
Adler and Allan Ltd,12092,262569,Reactive Maintenance,45163,45174,597.42,,
Aero Healthcare Ltd,15452,INUK0008520,Emergency & medical products,45110,45174,700.92,,
Aero Healthcare Ltd,15452,INUK0010135,Emergency & medical products,45135,45174,553.68,,
Aero Healthcare Ltd,15452,INUK0008310,Emergency & medical products,45110,45174,885.36,,
Aero Healthcare Ltd,15452,INUK0008881,Emergency & medical products,45117,45174,254.52,,
Aero Healthcare Ltd,15452,INUK0009304,Emergency & medical products,45124,45174,300,,
Aero Healthcare Ltd,15452,INUK0008316,Emergency & medical products,45107,45174,428.52,,
Aero Healthcare Ltd,15452,INUK0008311,Emergency & medical products,45107,45174,300,,
Aero Healthcare Ltd,15452,INUK0008888,Emergency & medical products,45117,45174,672.96,,
Aero Healthcare Ltd,15452,INUK0008772,Emergency & medical products,45113,45174,397.49,,
Aero Healthcare Ltd,15452,INUK0008371,Emergency & medical products,45110,45174,329.33,,
Allstar Business Solutions Ltd,19466,E2017478010,Fuels,45153,45174,24238.69,,
Aspen International Ltd,12098,INV-0574,Education & Training - Services ,45167,45174,1524,,
Atalian Servest Ltd,16937,UK07-PIN-015323,Planned Maintenance,45162,45174,1618.55,,
Atalian Servest Ltd,16937,UK07-PIN-015322,Reactive Maintenance,45162,45174,9351.32,,
Atalian Servest Ltd,16937,048657,AUC - Property - Purchases,45163,45174,345859.03,,
Atos IT Services UK Ltd,12563,5584426647,Computer Equip. & Accessories,45145,45174,17294.95,,
Atos IT Services UK Ltd,12563,5584425676,"IT Services - S/ware, h/ware engn. ",45134,45174,281091.3,,
Atos IT Services UK Ltd,12563,5584426771,Computer Equip. & Accessories,45147,45174,375.08,,
Atos IT Services UK Ltd,12563,5584426772,Computer Equip. & Accessories,45147,45174,835.57,,
Atos IT Services UK Ltd,12563,5584426670,Computer Equip. & Accessories,45146,45174,1003.39,,
Atos IT Services UK Ltd,12563,5584426456,Computer Equip. & Accessories,45140,45174,1085.76,,
Atos IT Services UK Ltd,12563,5584426463,Computer Equip. & Accessories,45140,45174,7600.32,,
Atos IT Services UK Ltd,12563,5584426608,Computer Equip. & Accessories,45145,45174,8832.48,,
Atos IT Services UK Ltd,12563,5584426625,Computer Equip. & Accessories,45145,45174,8996.22,,
Atos IT Services UK Ltd,12563,5584426600,Computer Equip. & Accessories,45145,45174,10097.36,,
Atos IT Services UK Ltd,12563,5584426613,Computer Equip. & Accessories,45145,45174,10768.49,,
Atos IT Services UK Ltd,12563,5584426617,Computer Equip. & Accessories,45145,45174,13115.59,,
Atos IT Services UK Ltd,12563,5584425175,Computer Equip. & Accessories,45132,45174,18314.4,,
Atos IT Services UK Ltd,12563,5584426596,Computer Equip. & Accessories,45145,45174,18878.63,,
Atos IT Services UK Ltd,12563,5584426597,Computer Equip. & Accessories,45145,45174,20865.85,,
Atos IT Services UK Ltd,12563,5584426624,Computer Equip. & Accessories,45145,45174,20865.85,,
Atos IT Services UK Ltd,12563,5584426586,Computer Equip. & Accessories,45145,45174,25963.31,,
Atos IT Services UK Ltd,12563,5584426652,Computer Equip. & Accessories,45145,45174,30545,,
Atos IT Services UK Ltd,12563,5584426654,Computer Equip. & Accessories,45145,45174,57436.32,,
Atos IT Services UK Ltd,12563,5584426655,Computer Equip. & Accessories,45145,45174,173350.45,,
Atos IT Services UK Ltd,12563,5584426669,"IT Services - S/ware, h/ware engn. ",45146,45174,24175.62,,
Axon Public Safety UK Ltd,15345,INUK002253,Light weapons & ammunition - Firearms ,45163,45174,27900,,
Axon Public Safety UK Ltd,15345,INUK002240,Light weapons & ammunition - Firearms ,45161,45174,168960,,
Babcock Critical Services Ltd,19817,1800001658,Vehicle repair or maint. serv. - repair/maintainance ,45131,45174,457265.39,,
Beechwood Equipment Ltd,12577,4782,Light weapons & ammunition - Accessories ,45113,45174,5227.2,,
Belong Making Justice Happen,64400,B2312,Human resources (HR) services,45131,45174,11250,,
Beyond Communications Ltd,12957,011161,Building Maintenance - Interior design or decorating,45084,45174,4302,,
BGE Digital Ltd,17545,24879,Security Surveillance ,45167,45174,421.79,,
BGE Digital Ltd,17545,24881,Security Surveillance - Security hardware,45167,45174,5871.82,,
Bloom Procurement Services Ltd,16884,SIN045328,Management Consulting - Business & corporate ,45161,45174,1881.6,,
Bloom Procurement Services Ltd,16884,SIN045326,Management Consulting - Business & corporate ,45161,45174,7972.8,,
Bloom Procurement Services Ltd,16884,SIN045358,Management Consulting - Business & corporate ,45162,45174,35910,,
BMW UK Ltd,18692,7101265705,Other Operational Expenses,45147,45174,19320,,
Browne Jacobson LLP,62623,1032283,Legal Professional Fees,45160,45174,70664.4,,
BT Global Services,13013,633668,Telecommunications media serv. - Telephone comms.,45134,45174,695.08,,
BT Global Services,13013,631559,Telecommunications media serv. - Telephone comms.,45112,45174,817.66,,
BT Global Services,13013,627939,Telecommunications media serv. - Telephone comms.,45069,45174,1964.96,,
BT Global Services,13013,626614,Telecommunications media serv. - Telephone comms.,45048,45174,5394.04,,
BT Global Services,13013,621059,Telecommunications media serv. - Telephone comms.,44987,45174,8310.61,,
BT Global Services,13013,622578,Telecommunications media serv. - Telephone comms.,45005,45174,12799.68,,
C M Language Services Ltd,12942,CLA-230804-K5A,Interpreters Fees,45142,45174,269.82,,
C M Language Services Ltd,12942,CLA-230718-46U,Interpreters Fees,45125,45174,366.07,,
C M Language Services Ltd,12942,CLA-230718-T59,Interpreters Fees,45125,45174,366.3,,
C M Language Services Ltd,12942,CLA-230718-PHO,Interpreters Fees,45125,45174,369.84,,
C M Language Services Ltd,12942,CLA-230718-ISK,Interpreters Fees,45125,45174,370.75,,
C M Language Services Ltd,12942,CLA-230718-8OH,Interpreters Fees,45125,45174,381.95,,
Calibration Engineering Services Ltd,19549,73898,Vehicle Components & Systems ,45145,45174,705,,
Calibration Engineering Services Ltd,19549,73899,Vehicle repair or maint. serv. - repair/maintainance ,45145,45174,1620,,
Capgemini UK Plc,12301,2600110358978,IT Services ,44984,45174,37466.69,,
Capgemini UK Plc,12301,2600110385210,Computer Equip. & Accessories,45163,45174,-1853.01,,
Capgemini UK Plc,12301,2600110375569,Computer Equip. & Accessories,45090,45174,1853.01,,
Capgemini UK Plc,12301,2600110366891,Audio & Visual equipment - Phone and video conference equipment and hardware and controllers,45016,45174,1112.58,,
Capgemini UK Plc,12301,2600110381603,Computer Equip. & Accessories,45138,45174,2357.17,,
Capgemini UK Plc,12301,2600110385431,Computer Equip. & Accessories,45167,45174,-133837.79,,
Capgemini UK Plc,12301,2600110385472,Computer Equip. & Accessories,45167,45174,-130086.79,,
Capgemini UK Plc,12301,2600110385395,Computer Equip. & Accessories,45167,45174,-118999.54,,
Capgemini UK Plc,12301,2600110385435,Computer Equip. & Accessories,45167,45174,-45263.05,,
Capgemini UK Plc,12301,2600110379384,Computer Equip. & Accessories,45116,45174,280.16,,
Capgemini UK Plc,12301,2600110380670,Computer Equip. & Accessories,45128,45174,591.9,,
Capgemini UK Plc,12301,2600110375326,Computer Equip. & Accessories,45089,45174,5593.39,,
Capgemini UK Plc,12301,2600110346314,Computer Equip. & Accessories,44886,45174,14968.32,,
Capgemini UK Plc,12301,2600110316127,Computer Equip. & Accessories,44671,45174,26520.16,,
Capgemini UK Plc,12301,2600110328148,Computer Equip. & Accessories,44753,45174,27970.91,,
