Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   2,,,,,,
Start Date:  30 April 2023,,,,,,
End Date:   27 May 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901694179,12 May 2023,"94,987,089.04",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON LTD,Franchise/Concession Fixed Fee,1020\5110275127,26 May 2023,"18,710,410.46",
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110273495,24 May 2023,"18,269,265.38",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048862,12 May 2023,"15,743,571.20",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048850,12 May 2023,"14,060,872.93",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048857,12 May 2023,"12,934,108.27",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006\1900048856,12 May 2023,"11,465,657.78",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048854,12 May 2023,"11,138,823.36",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900048860,12 May 2023,"10,618,266.35",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110276767,24 May 2023,"8,987,230.13",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900048851,12 May 2023,"7,472,290.97",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048848,12 May 2023,"6,812,060.16",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900048864,12 May 2023,"6,519,757.48",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001\5110261513,17 May 2023,"5,654,342.95",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110269850,12 May 2023,"5,257,564.09",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901694180,12 May 2023,"5,130,207.81",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048946,26 May 2023,"4,941,955.46",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048934,26 May 2023,"4,544,344.19",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048849,12 May 2023,"4,484,171.68",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900048861,12 May 2023,"4,278,013.01",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048941,26 May 2023,"4,205,386.29",
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Property Letting Costs,1005\5110271945,17 May 2023,"4,096,000.00",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900048863,12 May 2023,"4,075,847.56",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900048852,12 May 2023,"3,790,758.38",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110266794,24 May 2023,"3,727,933.28",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048938,26 May 2023,"3,697,348.56",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006\1900048940,26 May 2023,"3,640,428.69",
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Civil Engineering Construction Works,1031\5110273936,24 May 2023,"3,551,984.28",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900048944,26 May 2023,"3,463,599.10",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002\5110261154,03 May 2023,"3,117,732.85",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110262729,17 May 2023,"3,010,192.01",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110262732,17 May 2023,"3,010,192.01",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006\1900048858,12 May 2023,"2,836,461.13",
TFL CORPORATE,SAP UK LTD,Computer Software,1001\5110257706,03 May 2023,"2,791,872.66",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110262613,17 May 2023,"2,789,807.99",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110262730,17 May 2023,"2,789,807.99",
LONDON UNDERGROUND LTD,ELEPHANT & CASTLE PROPERTIES CO LTD,Civil Engineering Construction Works,1005\5110266410,24 May 2023,"2,594,750.00",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110266800,24 May 2023,"2,491,206.55",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900048935,26 May 2023,"2,350,234.98",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110272642,17 May 2023,"2,328,407.01",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900048859,12 May 2023,"2,148,489.21",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,Track General Maintenance,1005\5110265717,02 May 2023,"2,145,064.21",
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Civil Engineering Construction Works,1031\5110273934,26 May 2023,"2,136,849.33",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048932,26 May 2023,"2,111,566.93",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900048948,26 May 2023,"2,093,144.01",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,MR Construction Costs,1005\5110271071,24 May 2023,"1,902,754.72",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Cameras,1005\5110269486,10 May 2023,"1,829,783.23",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900048855,12 May 2023,"1,789,531.84",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004\1901694175,10 May 2023,"1,771,569.35",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110272637,17 May 2023,"1,730,000.00",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5110260592,04 May 2023,"1,719,668.08",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Road Maintenance,1002\5110276447,24 May 2023,"1,700,100.73",
TRANSPORT TRADING LTD,THAMES CLIPPERS,Gross Sales Clearance,1004\800048021,05 May 2023,"1,559,049.80",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Building Maintenance & Repairs,1002\5110275499,24 May 2023,"1,518,765.88",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110263159,02 May 2023,"1,475,489.60",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110269843,24 May 2023,"1,455,576.11",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048933,26 May 2023,"1,398,179.52",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900048945,26 May 2023,"1,373,972.27",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900048947,26 May 2023,"1,291,382.90",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Cameras,1002\5110267003,24 May 2023,"1,260,253.15",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110265772,10 May 2023,"1,218,779.06",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002\5110276316,24 May 2023,"1,183,557.16",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110269853,12 May 2023,"1,180,164.51",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110276303,26 May 2023,"1,159,228.09",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002\5110276318,24 May 2023,"1,157,413.32",
SURFACE TRANSPORT CORP,TTC 2000 LIMITED,Contracted Services - Roads,1002\5110272136,16 May 2023,"1,153,084.02",
TFL CORPORATE,SYMETRI LIMITED,Computer Software,1001\5110264679,15 May 2023,"1,143,757.50",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900048936,26 May 2023,"1,125,373.43",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Security Equipment,1005\5110265690,11 May 2023,"1,012,614.48",
DOCKLANDS LIGHT RAILWAY,BUCKINGHAM GROUP CONTRACTING LTD,Franchise/Concession Fixed Fee,1012\5110271072,24 May 2023,"979,263.11",
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110270142,12 May 2023,"976,705.00",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110266755,24 May 2023,"972,677.77",
RFL (IINFRASTRUCTURE) LTD,MOTT MACDONALD LIMITED,Professional Engineering Services,1025\5110257351,03 May 2023,"967,384.72",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006\1900048942,26 May 2023,"917,204.32",
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110272616,18 May 2023,"875,517.00",
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012\5110272015,19 May 2023,"870,292.20",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110269754,24 May 2023,"863,388.41",
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110270139,12 May 2023,"839,562.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110264057,17 May 2023,"824,655.00",
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5110267719,24 May 2023,"819,097.19",
TFL CORPORATE,HCL TECHNOLOGIES UK LTD,Software Maintenance,1001\5110257727,26 May 2023,"800,000.00",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Management & Support Consultancy,1002\5110265668,09 May 2023,"795,797.27",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006\1900048853,12 May 2023,"788,177.18",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110264056,17 May 2023,"763,940.75",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF WALTHAM FOREST,Borough Services - Claim Against Pr Yr Accrual,1002\1900074887,24 May 2023,"756,409.08",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002\5110263182,04 May 2023,"750,212.07",
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5110264735,25 May 2023,"748,776.77",
TFL CORPORATE,SAP UK LTD,Computer Hardware,1001\5110262061,23 May 2023,"748,417.20",
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005\5110246638,05 May 2023,"736,949.86",
TFL CORPORATE,BYTES SOFTWARE SERVICES,Computer Software,1001\5110263700,22 May 2023,"735,617.10",
LONDON UNDERGROUND LTD,SOUTH WESTERN RAILWAY,National Rail Qualifying Expenditure Charges,1005\5110270135,12 May 2023,"723,050.00",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002\5110275494,24 May 2023,"710,484.32",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900048943,26 May 2023,"649,404.64",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002\1900075189,16 May 2023,"647,890.12",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110262233,03 May 2023,"646,234.59",
LONDON UNDERGROUND LTD,EMERSON NETWORK POWER LTD,Maintenance of Plant & Equipment,1005\5110250479,16 May 2023,"644,025.00",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110257411,02 May 2023,"615,263.42",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5110262596,09 May 2023,"611,885.52",
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5110275932,26 May 2023,"602,228.34",
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002\5110275530,24 May 2023,"600,385.89",
