Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   3,,,,,,
Start Date:  28 May 2023,,,,,,
End Date:   24 June 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
RFL (IINFRASTRUCTURE) LTD,C E F,Civil Engineering Construction Works,1025\5110279919,07 Jun 2023,"3,087.21",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170114,07 Jun 2023,"3,084.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171174,14 Jun 2023,"3,084.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171175,14 Jun 2023,"3,084.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171619,14 Jun 2023,"3,084.00",
LONDON UNDERGROUND LTD,BT SERVICE AGILITY,Telephony Fixed,1005\1900260680,14 Jun 2023,"3,082.69",
LONDON UNDERGROUND LTD,DESIGNPLAN LIGHTING LTD,Electrical Equipment Maintenance,1005\5110272945,07 Jun 2023,"3,082.00",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005\5110268779,06 Jun 2023,"3,081.84",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170373,07 Jun 2023,"3,080.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171151,14 Jun 2023,"3,080.00",
LONDON UNDERGROUND LTD,CITY OF LONDON INCOME NO. 1,Purchase of Land & Buildings,1005\1900262071,16 Jun 2023,"3,078.90",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170478,07 Jun 2023,"3,076.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170858,14 Jun 2023,"3,076.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170740,07 Jun 2023,"3,074.12",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171096,14 Jun 2023,"3,074.12",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170153,07 Jun 2023,"3,072.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170924,14 Jun 2023,"3,072.00",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5110286892,20 Jun 2023,"3,071.93",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169444,31 May 2023,"3,070.63",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172556,21 Jun 2023,"3,070.63",
LONDON UNDERGROUND LTD,HOWELLS RAILWAY PRODUCTS LTD,Stock of Signals and Electricals,1005\5110290079,21 Jun 2023,"3,070.00",
PUBLIC CARRIAGE OFFICE,O2 UK LTD,Telephony Mobile,1003\1900058087,16 Jun 2023,"3,069.17",
SURFACE TRANSPORT CORP,MEDIAEDGE,Advertising,1002\5110276971,06 Jun 2023,"3,058.56",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171519,14 Jun 2023,"3,055.68",
LUL NOMINEE SSL LIMITED,HAYLEY GROUP PLC,Fleet,1031\5110276741,20 Jun 2023,"3,055.00",
SURFACE TRANSPORT CORP,REDSPEED INTERNATIONAL  LTD,Computer Software,1002\5110276796,14 Jun 2023,"3,054.80",
SURFACE TRANSPORT CORP,REDSPEED INTERNATIONAL  LTD,Computer Software,1002\5110276800,14 Jun 2023,"3,054.80",
SURFACE TRANSPORT CORP,REDSPEED INTERNATIONAL  LTD,Computer Software,1002\5110276802,14 Jun 2023,"3,054.80",
SURFACE TRANSPORT CORP,NATIONWIDE TRAFFIC SOLUTIONS LTD ST,General Fees & Charges,1002\1900075692,21 Jun 2023,"3,050.00",
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004\1901694699,31 May 2023,"3,046.00",
LONDON UNDERGROUND LTD,LEVITON MANUFACTURING UK LIMITED,Stock of Signals and Electricals,1005\5110287290,21 Jun 2023,"3,045.79",
SURFACE TRANSPORT CORP,SKY HIGH PLC,Professional Engineering Services,1002\5110251174,05 Jun 2023,"3,045.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695036,16 Jun 2023,"3,042.00",
RAIL FOR LONDON LIMITED,LANES GROUP PLC,Building Maintenance & Repairs,1020\5110275973,14 Jun 2023,"3,041.81",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169716,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169723,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170121,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170343,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170605,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170606,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170611,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170728,07 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171133,14 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171237,14 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171238,14 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171398,14 Jun 2023,"3,040.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171612,14 Jun 2023,"3,040.80",
TFL CORPORATE,MOTT MACDONALD LIMITED,Planning & Development Consultancy,1001\5110281659,08 Jun 2023,"3,040.25",
LONDON RIVER SERVICES LTD,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1007\5110272021,07 Jun 2023,"3,034.69",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169664,07 Jun 2023,"3,034.33",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170964,14 Jun 2023,"3,034.33",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172539,21 Jun 2023,"3,034.33",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900173161,21 Jun 2023,"3,032.64",
LUL NOMINEE SSL LIMITED,SWEETNAM & BRADLEY LTD,Stock of Fleet,1031\5110250232,05 Jun 2023,"3,030.00",
LONDON UNDERGROUND LTD,MITSUBISHI ELECTRIC EUROPE BV,Fleet,1005\5110280559,23 Jun 2023,"3,029.00",
LONDON UNDERGROUND LTD,NCCT LTD,Civil Engineering Construction Works,1005\5110284198,12 Jun 2023,"3,028.44",
LONDON UNDERGROUND LTD,NCCT LTD,Franchise/Concession Fixed Fee,1005\5110284196,13 Jun 2023,"3,028.44",
LONDON BUS SERVICES LTD,O2 UK LTD,Telephony Mobile,1006\1900049015,16 Jun 2023,"3,021.20",
TRANSPORT TRADING LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1004\5110278818,21 Jun 2023,"3,020.46",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169449,31 May 2023,"3,019.96",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172518,21 Jun 2023,"3,019.96",
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Printing,1001\5110283469,06 Jun 2023,"3,019.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168821,31 May 2023,"3,017.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169908,07 Jun 2023,"3,017.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171765,14 Jun 2023,"3,017.60",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005\5110276280,20 Jun 2023,"3,013.25",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695040,16 Jun 2023,"3,013.20",
LONDON UNDERGROUND LTD,C E F,Building Maintenance & Repairs,1005\5110279946,13 Jun 2023,"3,010.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172349,21 Jun 2023,"3,004.75",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169890,07 Jun 2023,"3,004.04",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170463,07 Jun 2023,"3,004.04",
TTL PROPERTIES LTD,MOTT MACDONALD LIMITED,Planning & Development Consultancy,1040\5110273124,07 Jun 2023,"3,001.84",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110278271,30 May 2023,"3,000.00",
LUL NOMINEE BCV LIMITED,DPMS LTD,Track General Maintenance,1033\5110280203,31 May 2023,"3,000.00",
LONDON UNDERGROUND LTD,COMMISSIONING MANAGEMENT LTD,Connect PFI Service Costs,1005\5110281835,02 Jun 2023,"3,000.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110249759,02 Jun 2023,"3,000.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110281105,05 Jun 2023,"3,000.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110281118,05 Jun 2023,"3,000.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110263244,06 Jun 2023,"3,000.00",
LONDON UNDERGROUND LTD,LEVITT BERNSTEIN ASSOCIATES LIMITED,Planning & Development Consultancy,1005\5110281981,06 Jun 2023,"3,000.00",
TRANSPORT TRADING LTD,NOVACROFT DIRECT LTD,Ticket & Pass Production,1004\5110281797,12 Jun 2023,"3,000.00",
TFL CORPORATE,UNDERGROUND POEMS CIC,Production Artwork And Design For Marketing,1001\5110288955,21 Jun 2023,"3,000.00",
LONDON UNDERGROUND LTD,SOLUTION RAIL LIMITED,Connect PFI Service Costs,1005\5110290869,22 Jun 2023,"3,000.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695039,16 Jun 2023,"2,998.80",
LONDON UNDERGROUND LTD,VIKING PRECISION ENGINEERS LTD,Stock of Fleet,1005\5110290196,21 Jun 2023,"2,998.70",
TRANSPORT TRADING LTD,LONDON BOROUGH OF CAMDEN,Rates,1004\1901694652,31 May 2023,"2,995.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695026,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695029,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695030,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695033,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695034,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695035,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695037,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695038,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695041,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695042,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695043,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695044,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695045,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695046,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695047,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695048,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695050,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695052,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695053,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695059,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695060,16 Jun 2023,"2,994.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695018,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695025,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695027,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695028,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695031,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695032,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695054,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695056,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695057,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695058,16 Jun 2023,"2,992.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695019,16 Jun 2023,"2,990.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695024,16 Jun 2023,"2,990.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695049,16 Jun 2023,"2,990.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695051,16 Jun 2023,"2,990.00",
TFL CORPORATE,INSIGHT EXECUTIVE GROUP LIMITED,Management & Support Consultancy,1001\5110284369,14 Jun 2023,"2,988.00",
SURFACE TRANSPORT CORP,CSTS LTD,Road Maintenance,1002\5110277446,07 Jun 2023,"2,978.05",
TTL PROPERTIES LTD,BURGES SALMON LLP,Legal Fees,1040\5110284423,09 Jun 2023,"2,977.00",
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004\1901694686,31 May 2023,"2,974.00",
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004\1101169381,07 Jun 2023,"2,971.55",
LONDON UNDERGROUND LTD,ELECTROHM RESISTORS LTD,Stock of Fleet,1005\5110280991,21 Jun 2023,"2,970.00",
TFL CORPORATE,DAISY CORPORATE SERVICES TRADINGLTD,Telephony Fixed,1001\5110267370,30 May 2023,"2,969.07",
LUL NOMINEE SSL LIMITED,HOLBRO ENGINEERING LTD,Stock of Fleet,1031\5110286697,13 Jun 2023,"2,964.50",
LONDON UNDERGROUND LTD,D & D RAIL LTD,Escalators,1005\5110283369,12 Jun 2023,"2,960.00",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110278897,21 Jun 2023,"2,956.62",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Fleet,1005\5110276151,19 Jun 2023,"2,953.60",
LUL NOMINEE SSL LIMITED,A&A ELECTRICAL DISTRIBUTORS LTD,Stock of Fleet,1031\5110288039,15 Jun 2023,"2,952.60",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005\5110268778,06 Jun 2023,"2,947.25",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170036,07 Jun 2023,"2,947.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170170,07 Jun 2023,"2,947.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170198,07 Jun 2023,"2,947.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170913,14 Jun 2023,"2,947.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171058,14 Jun 2023,"2,947.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110284464,08 Jun 2023,"2,945.00",
TFL CORPORATE,INVESTIGO,Management & Support Consultancy,1001\5110284525,08 Jun 2023,"2,945.00",
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT,Stock of Fleet,1005\5110270152,31 May 2023,"2,943.24",
LUL NOMINEE BCV LIMITED,PROGRESS RAIL SERVICES UK LTD,Stock Of Track,1033\5110276753,12 Jun 2023,"2,940.76",
TRANSPORT TRADING LTD,COMPUTACENTER PLC,Computer Hardware,1004\5110277469,20 Jun 2023,"2,931.25",
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Furniture & Equipment,1005\5110268511,02 Jun 2023,"2,927.88",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170989,14 Jun 2023,"2,927.53",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170650,07 Jun 2023,"2,927.05",
TFL CORPORATE,VCCP GROUP LLP,Production Artwork And Design For Marketing,1001\5110268662,31 May 2023,"2,920.00",
LONDON UNDERGROUND LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1005\1900262508,20 Jun 2023,"2,919.01",
LUL NOMINEE BCV LIMITED,PARKSIDE STEEL (STOCKHOLDERS),Track General Maintenance,1033\5110280561,31 May 2023,"2,919.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172348,21 Jun 2023,"2,918.90",
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004\1901694710,31 May 2023,"2,918.00",
PUBLIC CARRIAGE OFFICE,NSL LIMITED,Management & Support Consultancy,1003\5110274241,01 Jun 2023,"2,917.99",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168570,31 May 2023,"2,916.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171115,14 Jun 2023,"2,916.00",
TRANSPORT TRADING LTD,SENATOR INTERNATIONAL LTD,Furniture & Equipment,1004\5110277642,20 Jun 2023,"2,916.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172902,21 Jun 2023,"2,916.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169458,31 May 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169665,07 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169718,07 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170436,07 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170550,07 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170973,14 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171110,14 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171633,14 Jun 2023,"2,915.80",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169279,31 May 2023,"2,915.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169448,31 May 2023,"2,915.20",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172032,21 Jun 2023,"2,915.20",
LUL NOMINEE BCV LIMITED,DERLIN CONSTRUCTION LTD,Fleet,1033\5110289006,21 Jun 2023,"2,915.00",
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005\5110277919,19 Jun 2023,"2,910.93",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170594,07 Jun 2023,"2,904.42",
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Protective Clothing,1005\5110286973,13 Jun 2023,"2,902.68",
LONDON UNDERGROUND LTD,TYLER BROS LTD,Escalators,1005\5110282479,06 Jun 2023,"2,900.00",
TRANSPORT TRADING LTD,O2 UK LTD,Telephony Mobile,1004\1901695061,16 Jun 2023,"2,900.00",
LONDON UNDERGROUND LTD,FAIRHURST GROUP LLP,Building Maintenance & Repairs,1005\5110273475,12 Jun 2023,"2,895.00",
DIAL A RIDE,UNIVERSAL TYRE & AUTOCENTRES,Vehicle Purchases,1010\5110283280,08 Jun 2023,"2,893.18",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168911,31 May 2023,"2,892.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF BRENT,Rates,1004\1901694641,31 May 2023,"2,892.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172391,21 Jun 2023,"2,892.00",
LONDON UNDERGROUND LTD,LAVAZZA PROFESSIONAL UK LTD,Vending Machine Supplies & Rental,1005\1900262516,21 Jun 2023,"2,891.67",
LONDON UNDERGROUND LTD,MITSUBISHI ELECTRIC EUROPE BV,Fleet,1005\5110280238,23 Jun 2023,"2,890.70",
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005\5110273896,14 Jun 2023,"2,890.00",
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005\5110273897,14 Jun 2023,"2,890.00",
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005\5110273898,14 Jun 2023,"2,890.00",
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005\5110273899,14 Jun 2023,"2,890.00",
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005\5110278720,21 Jun 2023,"2,890.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF ENFIELD,Rates,1004\1901694671,31 May 2023,"2,889.00",
LUL NOMINEE BCV LIMITED,CRANESERVE LIMITED,Equipment Repairs & Maintenance,1033\5110285542,12 Jun 2023,"2,887.00",
TRANSPORT TRADING LTD,SENATOR INTERNATIONAL LTD,Furniture & Equipment,1004\5110273108,07 Jun 2023,"2,883.60",
RFL (IINFRASTRUCTURE) LTD,AMBA HYDRAULICS LTD,Plant & Equipment Purchases,1025\5110282430,15 Jun 2023,"2,881.72",
TFL CORPORATE,SKILLS TRAINING CENTRE LTD,Staff Training,1001\5110280135,31 May 2023,"2,880.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172740,21 Jun 2023,"2,878.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171308,14 Jun 2023,"2,876.88",
LUL NOMINEE BCV LIMITED,PROGRESS RAIL SERVICES UK LTD,Stock Of Track,1033\5110273514,06 Jun 2023,"2,874.08",
LUL NOMINEE SSL LIMITED,PRV ENGINEERING LTD,Stock of Fleet,1031\5110284986,21 Jun 2023,"2,872.50",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900168930,31 May 2023,"2,871.95",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170593,07 Jun 2023,"2,871.95",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171574,14 Jun 2023,"2,871.95",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900172551,21 Jun 2023,"2,866.56",
LONDON UNDERGROUND LTD,CWW ENGINEERS SUPPLY CO LTD,Maintenance Materials,1005\5110276374,14 Jun 2023,"2,866.50",
LONDON UNDERGROUND LTD,BOC GASES,Plant & Equipment Purchases,1005\5110271585,06 Jun 2023,"2,864.88",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005\5110279275,21 Jun 2023,"2,863.62",
DOCKLANDS LIGHT RAILWAY,VCCP GROUP LLP,Production Artwork And Design For Marketing,1012\5110268666,31 May 2023,"2,860.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169955,07 Jun 2023,"2,857.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169956,07 Jun 2023,"2,857.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169877,07 Jun 2023,"2,857.12",
TRANSPORT TRADING LTD,COMPUTACENTER PLC,Management & Support Consultancy,1004\5110269505,06 Jun 2023,"2,853.18",
TRANSPORT TRADING LTD,ROYAL BOROUGH KENSINGTON & CHELSEA,Rates,1004\1901694723,31 May 2023,"2,844.80",
TRANSPORT TRADING LTD,CITY OF LONDON ,Rates,1004\1901694656,31 May 2023,"2,840.00",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900169862,07 Jun 2023,"2,837.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170126,07 Jun 2023,"2,837.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170171,07 Jun 2023,"2,837.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900170958,14 Jun 2023,"2,837.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171079,14 Jun 2023,"2,837.60",
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001\1900171187,14 Jun 2023,"2,837.60",
RFL (IINFRASTRUCTURE) LTD,C E F,Electrical Equipment Maintenance,1025\5110279928,14 Jun 2023,"2,837.21",
LONDON BUS SERVICES LTD,O2 UK LTD,Telephony Mobile,1006\1900049016,16 Jun 2023,"2,837.03",
LONDON UNDERGROUND LTD,BOC GASES,Plant & Equipment Purchases,1005\5110276113,14 Jun 2023,"2,836.53",
