Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:  7,,,,,,,,,,
Start Date:  17 September 2023,,,,,,,,,,
End Date: 14 October 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901697595,29 Sep 2023,"£97,147,410",,,,,
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110341749,13 Oct 2023,"£24,584,484",,,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110328158,26 Sep 2023,"£19,873,740",,,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110341383,13 Oct 2023,"£19,114,612",,,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049449,29 Sep 2023,"£15,861,209",,,,,
TTL PROPERTIES LTD,Ashurst LLP,Purchase of Land & Buildings,1040/1900006265,29 Sep 2023,"£15,072,665",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049437,29 Sep 2023,"£14,514,316",,,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049444,29 Sep 2023,"£13,383,277",,,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049441,29 Sep 2023,"£11,824,022",,,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049443,29 Sep 2023,"£11,167,432",,,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049447,29 Sep 2023,"£10,965,861",,,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901697586,27 Sep 2023,"£9,709,704",,,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110341183,09 Oct 2023,"£8,810,743",,,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110336252,11 Oct 2023,"£8,045,326",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049438,29 Sep 2023,"£7,347,102",,,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049435,29 Sep 2023,"£7,137,212",,,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049451,29 Sep 2023,"£6,807,080",,,,,
TFL CORPORATE,Ashurst Client account (London),Purchase of Land & Buildings,1001/1900190549,26 Sep 2023,"£6,336,479",,,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110331451,27 Sep 2023,"£5,763,211",,,,,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110328160,11 Oct 2023,"£5,654,343",,,,,
RAIL FOR LONDON LIMITED,London Rail Leasing Limited,Vehicle Operating Leases,1020/5110333072,29 Sep 2023,"£5,493,238",,,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901697596,29 Sep 2023,"£5,119,731",,,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049501,13 Oct 2023,"£5,043,398",,,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049448,29 Sep 2023,"£4,833,535",,,,,
