Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  6,,,,,,
Start Date:  20 August 2023,,,,,,
End Date: 16 September 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901696935,01 Sep 2023,"93,417,498.31",
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110326204,15 Sep 2023,"24,224,689.44",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110316023,22 Aug 2023,"19,958,446.06",
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110327786,13 Sep 2023,"16,185,237.05",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049365,01 Sep 2023,"15,936,425.03",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049353,01 Sep 2023,"14,417,441.09",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049360,01 Sep 2023,"13,547,601.53",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049357,01 Sep 2023,"11,967,644.37",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049359,01 Sep 2023,"11,189,692.55",
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049363,01 Sep 2023,"10,555,535.89",
TFL CORPORATE,London Transport Insurance Guernsey,General Insurance,1001/5110310882,23 Aug 2023,"10,452,337.97",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901696806,30 Aug 2023,"10,302,256.56",
TFL CORPORATE,HMCTS – London,Exceptional - Non Transformation,1001/1900183824,21 Aug 2023,"10,234,574.00",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110326979,11 Sep 2023,"8,792,031.03",
